EMPTY 5 6
PRINT 8
EMPTY 14 24
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 8 1
SET 0 9 1
SET 0 13 1
SET 0 16 1
SET 0 17 1
SET 0 18 1
SET 0 19 1
SET 0 22 1
SET 0 23 1
SET 1 1 1
SET 1 2 1
SET 1 6 1
SET 1 7 1
SET 1 10 1
SET 1 12 1
SET 1 13 1
SET 1 16 1
SET 1 17 1
SET 1 21 1
SET 2 0 1
SET 2 1 1
SET 2 2 1
SET 2 5 1
SET 2 6 1
SET 2 7 1
SET 2 8 1
SET 2 10 1
SET 2 11 1
SET 2 13 1
SET 2 14 1
SET 2 20 1
SET 2 22 1
SET 2 23 1
SET 3 0 1
SET 3 1 1
SET 3 4 1
SET 3 5 1
SET 3 6 1
SET 3 8 1
SET 3 9 1
SET 3 10 1
SET 3 21 1
SET 3 22 1
SET 3 23 1
SET 4 2 1
SET 4 7 1
SET 4 9 1
SET 4 11 1
SET 4 13 1
SET 4 14 1
SET 4 15 1
SET 4 16 1
SET 4 19 1
SET 4 21 1
SET 4 22 1
SET 5 0 1
SET 5 1 1
SET 5 3 1
SET 5 4 1
SET 5 6 1
SET 5 8 1
SET 5 9 1
SET 5 10 1
SET 5 12 1
SET 5 13 1
SET 5 14 1
SET 5 18 1
SET 5 21 1
SET 6 0 1
SET 6 1 1
SET 6 2 1
SET 6 4 1
SET 6 5 1
SET 6 6 1
SET 6 7 1
SET 6 10 1
SET 6 11 1
SET 6 12 1
SET 6 15 1
SET 6 17 1
SET 6 19 1
SET 6 20 1
SET 6 21 1
SET 6 23 1
SET 7 0 1
SET 7 2 1
SET 7 3 1
SET 7 5 1
SET 7 6 1
SET 7 8 1
SET 7 9 1
SET 7 11 1
SET 7 12 1
SET 7 16 1
SET 7 17 1
SET 7 18 1
SET 7 19 1
SET 7 20 1
SET 7 21 1
SET 7 22 1
SET 8 0 1
SET 8 3 1
SET 8 4 1
SET 8 6 1
SET 8 8 1
SET 8 10 1
SET 8 11 1
SET 8 12 1
SET 8 13 1
SET 8 14 1
SET 8 15 1
SET 8 17 1
SET 8 21 1
SET 8 23 1
SET 9 1 1
SET 9 2 1
SET 9 3 1
SET 9 8 1
SET 9 10 1
SET 9 11 1
SET 9 15 1
SET 9 17 1
SET 9 19 1
SET 10 3 1
SET 10 4 1
SET 10 8 1
SET 10 12 1
SET 10 13 1
SET 10 14 1
SET 10 16 1
SET 10 18 1
SET 10 20 1
SET 10 21 1
SET 10 22 1
SET 10 23 1
SET 11 0 1
SET 11 1 1
SET 11 3 1
SET 11 4 1
SET 11 9 1
SET 11 17 1
SET 11 18 1
SET 11 19 1
SET 11 23 1
SET 12 0 1
SET 12 1 1
SET 12 3 1
SET 12 4 1
SET 12 8 1
SET 12 9 1
SET 12 13 1
SET 12 15 1
SET 12 18 1
SET 12 19 1
SET 12 20 1
SET 12 23 1
SET 13 0 1
SET 13 1 1
SET 13 4 1
SET 13 5 1
SET 13 7 1
SET 13 9 1
SET 13 10 1
SET 13 12 1
SET 13 13 1
SET 13 18 1
SET 13 19 1
SET 13 21 1
SET 13 23 1
PRINT 3
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-07-4-1.txt
PRINT 5
VAL 1 2
VAL 2 12
VAL 22 1
SET 0 0 0
SET 0 1 1
SET 0 4 0
SET 0 6 0
SET 0 7 0
SET 0 8 0
SET 0 9 0
SET 0 12 0
SET 0 14 1
SET 0 15 1
SET 0 16 1
SET 0 17 1
SET 0 18 0
SET 0 25 1
SET 0 26 0
SET 0 27 1
SET 1 0 0
SET 1 1 0
SET 1 2 1
SET 1 5 0
SET 1 6 0
SET 1 7 1
SET 1 10 0
SET 1 12 1
SET 1 13 0
SET 1 16 0
SET 1 17 1
SET 1 18 0
SET 1 19 1
SET 1 21 0
SET 1 22 0
SET 1 23 0
SET 1 24 1
SET 1 26 0
SET 1 27 0
SET 2 1 0
SET 2 2 0
SET 2 5 0
SET 2 8 1
SET 2 10 1
SET 2 11 0
SET 2 12 1
SET 2 14 0
SET 2 16 0
SET 2 17 0
SET 2 19 0
SET 2 21 0
SET 2 23 0
SET 2 25 1
SET 3 1 1
SET 3 2 0
SET 3 4 1
SET 3 8 0
SET 3 12 1
SET 3 14 1
SET 3 19 1
SET 3 20 0
SET 3 25 0
SET 3 27 1
SET 4 4 1
SET 4 9 1
SET 4 12 1
SET 4 13 0
SET 4 14 0
SET 4 15 1
SET 4 17 0
SET 4 19 0
SET 4 21 1
SET 4 22 0
SET 4 24 0
SET 4 25 1
