EMPTY 2 9
WRITE Stamina.txt
EMPTY 2 15
SET 0 0 1
SET 0 1 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 1 0 1
SET 1 1 1
SET 1 6 1
SET 1 7 1
SET 1 10 1
SET 1 13 1
SET 1 14 1
WRITE Entirety.txt
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-09-4-0.txt
WRITE Mckenna.txt
VAL 4 0
VAL 19 17
VAL 27 8
SET 0 1 0
SET 0 2 1
SET 0 5 0
SET 0 8 1
SET 0 13 0
SET 0 14 0
SET 0 15 1
SET 0 17 0
SET 1 0 0
SET 1 2 0
SET 1 3 0
SET 1 5 0
SET 1 7 1
SET 1 9 1
SET 1 11 1
SET 1 15 0
SET 1 19 1
SET 2 1 0
SET 2 2 0
SET 2 4 0
SET 2 5 0
SET 2 6 0
SET 2 7 1
SET 2 10 1
SET 2 13 1
SET 2 15 1
SET 2 16 1
SET 2 19 0
SET 3 1 1
SET 3 2 0
SET 3 7 0
SET 3 8 1
SET 3 9 0
SET 3 13 0
SET 3 15 0
SET 3 16 0
SET 3 17 1
SET 3 18 1
SET 4 1 0
SET 4 5 0
SET 4 8 0
SET 4 9 1
SET 4 13 0
SET 4 14 0
SET 4 16 0
SET 4 18 0
SET 4 19 1
SET 5 1 1
SET 5 2 0
SET 5 4 1
SET 5 5 0
SET 5 6 1
SET 5 8 0
SET 5 9 0
SET 5 12 0
SET 5 13 0
SET 5 16 1
SET 5 18 0
SET 5 19 0
SET 6 2 1
SET 6 3 0
SET 6 9 0
SET 6 12 0
SET 6 14 0
SET 6 18 0
SET 7 0 0
SET 7 4 0
SET 7 6 1
SET 7 10 0
SET 7 11 0
SET 7 12 0
SET 7 13 0
SET 7 14 0
SET 7 18 1
SET 7 19 0
SET 8 0 0
SET 8 3 1
SET 8 5 1
SET 8 6 0
SET 8 11 0
SET 8 13 0
SET 8 15 1
SET 8 16 1
SET 8 17 0
SET 8 18 1
SET 8 19 0
SET 9 0 1
SET 9 2 0
SET 9 4 1
SET 9 5 1
SET 9 8 0
SET 9 9 1
SET 9 11 0
SET 9 12 1
SET 9 13 1
SET 9 14 1
SET 9 15 0
SET 9 17 0
SET 9 19 0
SET 10 0 1
SET 10 1 1
SET 10 2 1
SET 10 5 1
SET 10 6 1
SET 10 7 0
SET 10 10 1
SET 10 11 1
SET 10 12 0
SET 10 13 1
SET 10 14 1
SET 10 15 1
SET 10 17 0
SET 10 18 0
SET 11 0 0
SET 11 1 1
SET 11 3 1
SET 11 5 0
SET 11 12 0
SET 11 14 1
SET 11 15 1
SET 12 0 1
SET 12 1 1
SET 12 5 0
SET 12 6 0
SET 12 7 0
SET 12 8 1
SET 12 10 1
SET 12 11 0
SET 12 12 0
SET 12 14 1
SET 12 17 1
SET 12 18 1
SET 13 0 0
SET 13 3 1
SET 13 6 1
SET 13 10 0
SET 13 11 0
SET 13 14 1
SET 13 16 0
SET 13 18 1
SET 14 0 0
SET 14 1 0
SET 14 2 1
SET 14 3 0
SET 14 5 0
SET 14 7 1
SET 14 9 0
SET 14 12 1
SET 14 13 1
SET 14 14 0
SET 14 16 1
SET 14 17 0
SET 14 18 1
SET 15 2 0
SET 15 3 1
SET 15 4 0
SET 15 9 1
SET 15 10 0
SET 15 13 1
SET 15 14 1
SET 15 16 1
SET 15 17 1
SET 15 19 1
SET 16 0 0
SET 16 4 0
SET 16 6 0
SET 16 7 1
SET 16 11 1
SET 16 12 0
SET 16 15 1
SET 17 2 1
SET 17 5 0
SET 17 9 0
SET 17 11 1
SET 17 12 1
SET 17 13 1
SET 17 14 0
SET 17 15 1
SET 17 17 0
SET 17 18 1
SET 18 2 1
SET 18 3 1
SET 18 5 1
SET 18 8 1
SET 18 11 0
SET 18 15 0
SET 18 19 1
SET 19 2 1
SET 19 3 1
SET 19 4 1
SET 19 6 1
SET 19 7 0
SET 19 12 0
SET 19 13 1
SET 19 15 1
SET 19 16 0
SET 19 17 0
SET 19 19 0
SET 20 0 0
SET 20 1 1
SET 20 2 1
SET 20 6 1
SET 20 7 0
SET 20 10 0
SET 20 13 1
SET 20 15 0
SET 20 18 1
SET 20 19 1
SET 21 1 0
SET 21 3 1
SET 21 4 0
SET 21 5 0
SET 21 6 1
SET 21 7 0
SET 21 8 1
SET 21 9 0
SET 21 12 0
SET 21 15 1
SET 21 19 1
SET 22 0 1
SET 22 1 1
SET 22 2 0
SET 22 3 1
SET 22 6 0
SET 22 7 1
SET 22 10 0
SET 22 11 1
SET 22 14 1
SET 22 15 0
SET 22 16 1
SET 22 17 1
SET 22 18 0
SET 22 19 0
SET 23 0 1
SET 23 3 0
SET 23 8 0
SET 23 9 0
SET 23 13 0
SET 23 17 1
SET 23 18 1
SET 24 1 0
SET 24 4 0
SET 24 5 0
SET 24 8 0
SET 24 13 0
SET 24 14 1
SET 24 16 0
SET 25 0 1
SET 25 1 0
SET 25 2 1
SET 25 4 0
SET 25 6 0
SET 25 8 1
SET 25 9 0
SET 25 14 0
SET 25 15 0
SET 25 16 1
SET 25 18 1
SET 26 0 0
SET 26 3 1
SET 26 5 0
SET 26 7 0
SET 26 8 1
SET 26 12 1
SET 26 16 0
SET 27 0 0
SET 27 2 1
SET 27 3 0
SET 27 8 1
SET 27 11 0
SET 27 12 0
SET 27 13 1
SET 27 15 0
SET 27 18 1
SET 28 0 1
SET 28 2 0
SET 28 3 0
SET 28 5 0
SET 28 9 0
SET 28 12 0
SET 28 14 1
SET 28 15 0
SET 28 16 1
SET 28 17 1
SET 29 0 0
SET 29 1 0
SET 29 2 1
