EMPTY 16 10
WRITE Tappa.txt
EMPTY 4 7
SET 0 2 1
SET 0 4 1
SET 2 2 1
SET 2 3 1
SET 2 6 1
SET 3 0 1
SET 3 2 1
SET 3 4 1
SET 3 6 1
WRITE Espouse.txt
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-09-4-3.txt
WRITE Bonnie.txt
VAL 19 13
VAL 34 9
VAL 25 13
SET 0 3 0
SET 0 4 0
SET 0 5 0
SET 0 7 1
SET 0 8 1
SET 0 9 0
SET 1 0 0
SET 1 2 0
SET 1 4 1
SET 1 6 0
SET 1 7 1
SET 1 9 0
SET 1 10 1
SET 1 12 1
SET 2 0 1
SET 2 1 0
SET 2 3 0
SET 2 5 1
SET 2 6 1
SET 2 8 0
SET 2 9 1
SET 2 11 1
SET 2 12 1
SET 2 15 1
SET 3 2 0
SET 3 3 1
SET 3 5 1
SET 3 6 1
SET 3 7 1
SET 3 11 0
SET 3 12 1
SET 3 14 1
SET 4 0 1
SET 4 1 0
SET 4 2 1
SET 4 3 0
SET 4 4 0
SET 4 5 1
SET 4 8 1
SET 4 12 0
SET 4 13 0
SET 4 14 0
SET 4 15 0
SET 5 0 0
SET 5 1 0
SET 5 3 0
SET 5 4 1
SET 5 6 0
SET 5 9 0
SET 5 10 1
SET 5 12 0
SET 5 13 1
SET 5 15 1
SET 6 1 0
SET 6 2 0
SET 6 4 0
SET 6 6 0
SET 6 9 0
SET 6 10 0
SET 6 14 1
SET 6 15 1
SET 7 1 1
SET 7 2 0
SET 7 3 0
SET 7 4 1
SET 7 6 1
SET 7 7 0
SET 7 8 0
SET 7 10 0
SET 7 12 0
SET 7 13 0
SET 7 14 0
SET 7 15 1
SET 8 0 0
SET 8 3 1
SET 8 5 0
SET 8 8 1
SET 8 9 1
SET 8 12 0
SET 9 1 1
SET 9 3 1
SET 9 4 0
SET 9 5 1
SET 9 6 0
SET 9 7 0
SET 9 8 1
SET 9 9 1
SET 9 10 0
SET 9 11 0
SET 9 13 0
SET 9 14 0
SET 9 15 1
SET 10 3 0
SET 10 4 1
SET 10 5 0
SET 10 6 1
SET 10 9 1
SET 10 10 1
SET 10 11 0
SET 11 0 0
SET 11 1 1
SET 11 2 1
SET 11 3 1
SET 11 5 1
SET 11 8 1
SET 11 9 0
SET 11 10 1
SET 11 14 0
SET 11 15 0
SET 12 1 0
SET 12 2 0
SET 12 3 1
SET 12 4 1
SET 12 8 0
SET 12 10 1
SET 12 11 0
SET 12 14 1
SET 13 1 0
SET 13 2 1
SET 13 3 0
SET 13 5 1
SET 13 6 0
SET 13 8 0
SET 13 10 0
SET 13 14 1
SET 14 1 1
SET 14 12 1
SET 14 14 0
SET 15 0 0
SET 15 1 0
SET 15 4 1
SET 15 6 1
SET 15 8 0
SET 15 10 0
SET 15 12 1
SET 15 13 1
SET 16 1 1
SET 16 2 1
SET 16 5 1
SET 16 7 0
SET 16 15 0
SET 17 1 0
SET 17 8 0
SET 17 12 0
SET 17 13 1
SET 18 0 1
SET 18 1 1
SET 18 4 0
SET 18 7 0
SET 18 10 0
SET 18 12 1
SET 18 13 0
SET 19 0 1
SET 19 1 1
SET 19 2 1
SET 19 6 0
SET 19 7 0
SET 19 8 1
SET 19 9 1
SET 19 12 0
SET 19 13 1
SET 19 15 1
SET 20 0 0
SET 20 2 0
SET 20 3 0
SET 20 4 0
SET 20 5 1
SET 20 9 1
SET 20 13 0
SET 20 15 1
SET 21 0 0
SET 21 2 0
SET 21 5 0
SET 21 6 1
SET 21 7 1
SET 21 9 1
SET 21 11 0
SET 21 13 1
SET 21 14 0
SET 22 0 0
SET 22 3 0
SET 22 5 1
SET 22 7 1
SET 22 9 0
SET 22 10 1
SET 22 14 1
SET 22 15 0
SET 23 0 1
SET 23 2 0
SET 23 5 1
SET 23 8 1
SET 23 9 1
SET 23 10 0
SET 23 11 1
SET 23 15 1
SET 24 0 0
SET 24 1 1
SET 24 2 0
SET 24 3 1
SET 24 4 1
SET 24 7 0
SET 24 8 0
SET 24 9 0
SET 24 12 1
SET 24 13 0
SET 24 14 1
SET 24 15 1
SET 25 0 1
SET 25 1 0
SET 25 5 0
SET 25 6 0
SET 25 8 1
SET 25 12 1
SET 25 13 0
SET 25 15 1
SET 26 0 0
SET 26 2 0
SET 26 4 1
SET 26 5 0
SET 26 6 0
SET 26 8 0
SET 26 9 1
SET 26 10 1
SET 26 11 1
SET 26 14 0
SET 26 15 0
SET 27 0 1
SET 27 1 0
SET 27 2 1
SET 27 3 0
SET 27 5 1
SET 27 7 0
SET 27 10 1
SET 27 12 0
SET 27 13 1
SET 27 14 1
SET 28 0 0
SET 28 1 0
SET 28 2 0
SET 28 3 0
SET 28 5 0
SET 28 6 1
SET 28 7 1
SET 28 12 1
SET 28 13 0
SET 28 15 0
SET 29 2 1
SET 29 6 0
SET 29 10 0
SET 29 13 0
SET 29 14 0
SET 29 15 0
SET 30 1 0
SET 30 2 1
SET 30 5 1
SET 30 6 0
SET 30 8 0
SET 30 10 1
SET 30 11 0
SET 30 12 1
SET 30 15 0
SET 31 2 0
SET 31 3 1
SET 31 7 0
SET 31 8 1
SET 31 9 0
SET 31 10 0
SET 31 12 0
SET 31 13 1
SET 31 14 0
SET 32 1 1
SET 32 3 1
SET 32 8 0
SET 32 9 0
SET 32 11 1
SET 32 12 1
SET 32 14 1
SET 33 1 1
SET 33 6 1
SET 33 8 1
SET 33 14 1
SET 33 15 0
SET 34 0 0
SET 34 4 0
SET 34 6 0
SET 34 7 1
SET 34 8 1
SET 34 11 0
SET 34 12 1
SET 34 13 0
SET 35 0 1
SET 35 5 0
SET 35 7 0
SET 35 9 1
SET 35 11 1
SET 35 12 1
WRITE Wept.txt
VAL 4 3
VAL 6 3
VAL 9 3
