EMPTY 15 10
WRITE Sashay.txt
EMPTY 7 25
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 9 1
SET 0 10 1
SET 0 14 1
SET 0 17 1
SET 0 18 1
SET 0 19 1
SET 0 20 1
SET 0 23 1
SET 0 24 1
SET 1 1 1
SET 1 2 1
SET 1 6 1
SET 1 7 1
SET 1 10 1
SET 1 12 1
SET 1 13 1
SET 1 16 1
SET 1 17 1
SET 1 21 1
SET 1 24 1
SET 2 0 1
SET 2 1 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 7 1
SET 2 9 1
SET 2 10 1
SET 2 12 1
SET 2 13 1
SET 2 19 1
SET 2 21 1
SET 2 22 1
SET 2 23 1
SET 2 24 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 6 1
SET 3 7 1
SET 3 8 1
SET 3 19 1
SET 3 20 1
SET 3 21 1
SET 3 24 1
SET 4 4 1
SET 4 6 1
SET 4 8 1
SET 4 10 1
SET 4 11 1
SET 4 12 1
SET 4 13 1
SET 4 16 1
SET 4 18 1
SET 4 19 1
SET 4 21 1
SET 4 22 1
SET 4 24 1
SET 5 0 1
SET 5 2 1
SET 5 4 1
SET 5 5 1
SET 5 6 1
SET 5 8 1
SET 5 9 1
SET 5 10 1
SET 5 14 1
SET 5 17 1
SET 5 20 1
SET 5 21 1
SET 5 22 1
SET 5 24 1
SET 6 0 1
SET 6 1 1
SET 6 2 1
SET 6 5 1
SET 6 6 1
SET 6 7 1
SET 6 10 1
SET 6 12 1
SET 6 14 1
SET 6 15 1
SET 6 16 1
SET 6 18 1
SET 6 19 1
SET 6 21 1
SET 6 22 1
SET 6 24 1
WRITE Volt.txt
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-07-4-0.txt
WRITE Mackey.txt
VAL 9 26
VAL 24 31
VAL 15 15
SET 0 1 0
SET 0 2 0
SET 0 3 1
SET 0 6 1
SET 0 7 1
SET 0 9 1
SET 0 13 0
SET 0 14 1
SET 0 17 1
SET 0 18 0
SET 0 19 1
SET 0 24 1
SET 0 25 1
SET 0 26 1
SET 0 27 0
SET 0 30 0
SET 0 31 0
SET 1 0 1
SET 1 1 0
SET 1 2 1
SET 1 3 0
SET 1 4 1
SET 1 5 1
SET 1 8 0
SET 1 9 0
SET 1 12 0
SET 1 15 0
SET 1 19 0
SET 1 21 0
SET 1 22 1
SET 1 24 0
SET 1 27 0
SET 1 28 0
SET 1 29 0
SET 1 31 1
SET 2 0 0
SET 2 2 0
SET 2 3 1
SET 2 8 1
SET 2 10 0
SET 2 11 1
SET 2 14 0
SET 2 17 1
SET 2 18 1
SET 2 21 0
SET 2 23 1
SET 2 25 0
SET 2 29 0
SET 2 30 0
SET 2 31 0
SET 3 0 0
SET 3 1 0
SET 3 3 0
SET 3 5 1
SET 3 6 1
SET 3 17 0
SET 3 19 1
SET 3 21 0
SET 3 22 0
SET 3 23 0
SET 3 24 1
SET 4 0 0
SET 4 2 1
SET 4 6 0
SET 4 8 1
SET 4 9 0
SET 4 14 0
SET 4 16 1
SET 4 19 0
SET 4 21 1
SET 4 23 0
SET 4 24 1
SET 4 27 1
SET 4 28 0
SET 4 31 1
SET 5 0 0
SET 5 1 0
SET 5 2 1
SET 5 3 0
SET 5 4 0
SET 5 6 0
SET 5 7 1
SET 5 9 0
SET 5 11 0
SET 5 12 0
SET 5 15 1
SET 5 16 0
SET 5 18 1
SET 5 21 1
SET 5 22 0
SET 5 23 1
SET 5 25 1
SET 5 26 0
SET 5 29 1
SET 5 30 0
SET 5 31 1
SET 6 1 0
SET 6 3 1
SET 6 5 0
SET 6 6 0
SET 6 10 0
SET 6 11 1
SET 6 13 0
SET 6 19 1
SET 6 21 0
SET 6 23 0
SET 6 27 0
SET 6 31 0
SET 7 0 1
SET 7 4 1
SET 7 7 0
SET 7 9 0
SET 7 11 0
SET 7 12 0
SET 7 13 0
SET 7 14 0
SET 7 20 1
SET 7 22 0
SET 7 23 1
SET 7 27 1
SET 7 29 1
SET 7 30 1
SET 7 31 1
SET 8 0 0
SET 8 1 0
SET 8 2 1
SET 8 3 0
SET 8 4 1
SET 8 7 1
SET 8 8 0
SET 8 9 1
SET 8 10 1
SET 8 11 1
SET 8 13 0
SET 8 16 0
SET 8 17 0
SET 8 19 1
SET 8 20 1
SET 8 27 0
SET 8 28 1
SET 8 29 1
SET 9 2 0
SET 9 6 0
SET 9 7 0
SET 9 11 1
SET 9 12 0
SET 9 16 1
SET 9 17 1
SET 9 18 0
SET 9 20 0
SET 9 21 0
SET 9 23 0
SET 9 24 0
SET 9 29 1
SET 9 30 1
SET 10 0 1
SET 10 1 0
SET 10 5 1
SET 10 8 1
SET 10 12 0
SET 10 13 0
SET 10 14 0
SET 10 15 1
SET 10 16 1
SET 10 18 1
SET 10 20 1
SET 10 22 0
SET 10 28 1
SET 10 29 0
SET 10 31 1
SET 11 0 0
SET 11 4 1
SET 11 5 0
SET 11 7 1
SET 11 8 1
SET 11 9 1
SET 11 11 0
SET 11 15 0
SET 11 16 0
SET 11 17 1
SET 11 18 1
SET 11 22 0
SET 11 24 1
SET 11 25 0
SET 11 26 0
SET 11 28 1
SET 11 29 1
SET 12 2 1
SET 12 10 1
SET 12 15 0
SET 12 19 0
SET 12 24 0
SET 12 25 0
SET 12 26 1
SET 13 2 1
SET 13 3 1
SET 13 5 1
SET 13 7 0
SET 13 10 0
SET 13 12 0
SET 13 16 0
SET 13 17 0
SET 13 19 1
SET 13 22 1
SET 13 24 1
SET 13 25 1
SET 13 26 0
SET 13 27 1
SET 13 29 1
SET 13 30 0
SET 13 31 0
SET 14 1 1
SET 14 4 1
SET 14 5 0
SET 14 6 1
SET 14 8 1
SET 14 9 0
SET 14 12 0
SET 14 13 0
SET 14 14 1
SET 14 16 0
SET 14 19 0
SET 14 20 0
SET 14 23 1
SET 14 24 1
SET 14 25 1
SET 14 26 1
SET 14 27 0
SET 14 28 0
SET 14 29 1
SET 14 31 0
SET 15 2 1
SET 15 3 0
SET 15 5 1
SET 15 6 0
SET 15 10 0
SET 15 11 1
SET 15 12 1
SET 15 13 0
SET 15 17 0
SET 15 18 0
SET 15 21 0
SET 15 23 1
SET 15 29 0
SET 15 31 1
SET 16 1 1
SET 16 2 0
SET 16 3 1
SET 16 5 0
SET 16 7 0
SET 16 8 1
SET 16 9 1
SET 16 11 0
SET 16 12 0
SET 16 16 1
SET 16 18 0
SET 16 21 0
SET 16 22 0
SET 16 23 1
SET 16 24 0
SET 16 25 1
SET 16 28 0
SET 16 29 1
SET 16 30 1
SET 16 31 1
SET 17 1 1
SET 17 2 0
SET 17 4 0
SET 17 5 1
SET 17 8 0
SET 17 9 1
SET 17 11 0
SET 17 12 1
SET 17 14 0
SET 17 15 0
SET 17 17 0
SET 17 18 1
SET 17 19 0
SET 17 20 1
SET 17 22 1
SET 17 23 0
SET 17 24 0
SET 17 25 0
SET 17 26 1
SET 17 30 1
SET 17 31 1
SET 18 4 1
SET 18 5 0
SET 18 9 0
SET 18 11 1
SET 18 15 0
SET 18 18 0
SET 18 19 1
SET 18 20 0
SET 18 21 1
SET 18 22 1
SET 18 23 1
SET 18 27 1
SET 18 28 1
SET 18 31 1
SET 19 0 1
SET 19 1 0
SET 19 5 1
SET 19 6 0
SET 19 7 1
SET 19 8 1
SET 19 9 1
SET 19 10 0
SET 19 12 1
SET 19 13 0
SET 19 14 1
SET 19 15 0
SET 19 17 0
SET 19 18 1
SET 19 19 0
SET 19 20 0
SET 19 22 1
SET 19 23 1
SET 19 28 1
SET 19 29 1
SET 19 31 0
SET 20 0 0
SET 20 4 1
SET 20 14 0
SET 20 15 1
SET 20 16 0
SET 20 17 0
SET 20 20 0
SET 20 22 0
SET 20 26 1
SET 20 30 1
SET 21 2 0
SET 21 4 1
SET 21 8 0
SET 21 11 1
SET 21 13 1
SET 21 14 1
SET 21 16 0
SET 21 18 0
SET 21 19 0
SET 21 20 1
SET 21 24 1
SET 21 25 0
SET 21 26 1
SET 21 28 0
SET 21 30 1
SET 22 0 1
SET 22 4 0
SET 22 6 0
SET 22 7 1
SET 22 10 0
SET 22 11 0
SET 22 12 0
SET 22 13 1
SET 22 14 1
SET 22 16 1
SET 22 18 1
SET 22 20 0
SET 22 22 0
SET 22 23 0
SET 22 24 1
SET 22 26 0
SET 22 28 1
SET 22 30 0
SET 22 31 1
SET 23 1 1
SET 23 2 1
SET 23 3 1
SET 23 5 0
SET 23 9 0
SET 23 13 0
SET 23 17 1
SET 23 19 1
SET 23 21 0
SET 23 23 0
SET 23 24 1
SET 23 25 1
SET 23 27 0
SET 23 29 1
SET 23 30 0
SET 23 31 0
SET 24 3 1
SET 24 4 1
SET 24 5 1
SET 24 6 0
SET 24 7 0
SET 24 8 0
SET 24 9 1
SET 24 10 0
SET 24 14 1
SET 24 15 0
SET 24 18 0
SET 24 19 0
SET 24 22 0
SET 24 26 1
