EMPTY 13 13
WRITE Generous.txt
EMPTY 9 17
SET 0 0 1
SET 0 1 1
SET 0 3 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 0 14 1
SET 0 15 1
SET 1 1 1
SET 1 2 1
SET 1 5 1
SET 1 7 1
SET 1 9 1
SET 1 15 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 7 1
SET 2 10 1
SET 2 12 1
SET 2 14 1
SET 2 15 1
SET 2 16 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 5 1
SET 3 6 1
SET 3 8 1
SET 3 9 1
SET 3 14 1
SET 3 15 1
SET 4 0 1
SET 4 1 1
SET 4 2 1
SET 4 3 1
SET 4 7 1
SET 4 12 1
SET 4 16 1
SET 5 0 1
SET 5 8 1
SET 5 9 1
SET 5 11 1
SET 5 15 1
SET 6 0 1
SET 6 1 1
SET 6 4 1
SET 6 9 1
SET 6 10 1
SET 6 11 1
SET 6 12 1
SET 6 13 1
SET 6 14 1
SET 6 16 1
SET 7 2 1
SET 7 5 1
SET 7 7 1
SET 7 8 1
SET 7 10 1
SET 7 12 1
SET 7 13 1
SET 7 14 1
SET 7 16 1
SET 8 0 1
SET 8 1 1
SET 8 4 1
SET 8 5 1
SET 8 6 1
SET 8 13 1
SET 8 14 1
WRITE Ballyhoo.txt
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-07-4-1.txt
WRITE Lawrence.txt
VAL 7 9
VAL 21 0
VAL 13 6
SET 0 0 1
SET 0 3 1
SET 0 4 0
SET 0 5 1
SET 0 6 0
SET 0 7 0
SET 0 9 1
SET 0 10 0
SET 1 1 0
SET 1 3 1
SET 1 5 0
SET 1 6 0
SET 1 7 1
SET 1 9 0
SET 1 10 0
SET 2 1 1
SET 2 3 0
SET 2 4 0
SET 2 7 0
SET 2 9 1
SET 2 10 0
SET 3 1 1
SET 3 2 1
SET 3 3 0
SET 3 4 1
SET 3 5 0
SET 3 6 0
SET 3 7 0
SET 3 9 0
SET 3 10 1
SET 3 11 0
SET 4 0 0
SET 4 2 0
SET 4 3 1
SET 4 4 0
SET 4 5 0
SET 4 9 0
SET 4 10 1
SET 5 0 1
SET 5 1 0
SET 5 5 1
SET 5 7 1
SET 5 8 1
SET 5 10 0
SET 6 6 1
SET 6 7 0
SET 6 8 1
SET 6 10 0
SET 7 0 1
SET 7 1 0
SET 7 2 1
SET 7 4 0
SET 7 5 1
SET 7 7 1
SET 7 9 1
SET 7 11 0
SET 8 0 0
SET 8 1 0
SET 8 3 0
SET 8 5 0
SET 8 6 1
SET 8 7 0
SET 8 9 1
SET 8 11 1
SET 9 0 0
SET 9 1 1
SET 9 2 0
SET 9 3 0
SET 9 4 0
SET 9 8 1
SET 10 1 0
SET 10 2 1
SET 10 4 1
SET 10 7 0
SET 10 10 0
SET 11 0 0
SET 11 4 0
SET 11 7 0
SET 11 8 1
SET 11 9 1
SET 11 11 0
SET 12 3 1
SET 12 4 1
SET 12 7 0
SET 12 8 0
SET 12 10 1
SET 13 4 0
SET 13 5 0
SET 13 8 0
SET 13 9 0
SET 13 10 1
SET 14 0 0
SET 14 3 1
SET 14 4 0
SET 14 8 1
SET 14 10 0
SET 15 0 0
SET 15 1 0
SET 15 4 0
SET 15 7 0
SET 15 10 0
SET 16 0 0
SET 16 3 1
SET 16 8 0
SET 16 10 1
SET 17 5 1
SET 17 7 1
SET 17 8 0
SET 17 9 1
SET 18 0 1
SET 18 2 0
SET 18 4 0
SET 18 6 1
SET 18 7 1
SET 18 10 1
SET 19 2 1
SET 19 4 0
SET 19 5 0
SET 19 6 0
SET 19 7 1
SET 19 11 1
SET 20 1 0
SET 20 2 1
SET 20 4 0
SET 20 5 1
SET 20 6 0
SET 20 7 1
SET 20 8 0
SET 20 9 1
SET 20 10 0
SET 20 11 0
SET 21 1 1
SET 21 2 0
SET 21 4 1
SET 21 6 0
SET 21 8 0
SET 21 10 0
SET 22 1 1
SET 22 2 1
SET 22 7 0
SET 22 9 0
SET 22 10 0
SET 22 11 0
SET 23 4 1
SET 23 7 0
SET 23 8 1
SET 23 10 0
SET 23 11 0
SET 24 0 1
SET 24 2 0
SET 24 5 1
SET 24 7 0
SET 24 8 1
SET 24 10 0
SET 25 0 0
SET 25 2 0
SET 25 3 1
SET 25 6 1
SET 25 7 0
SET 25 9 0
SET 25 10 1
SET 26 0 0
SET 26 1 0
SET 26 2 1
SET 26 3 0
SET 26 5 0
SET 26 7 1
SET 26 8 0
SET 26 9 0
SET 26 10 0
SET 26 11 1
SET 27 0 1
SET 27 3 1
SET 27 4 1
SET 27 6 0
SET 27 9 0
SET 27 10 0
SET 27 11 0
WRITE Sure.txt
VAL 17 11
VAL 20 7
VAL 4 11
