READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-06-4-3.txt
STORE Template
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-10-4-2.txt
STORE Footage
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-10-06-4-2.txt
STORE Galen
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-08-4-4.txt
STORE Consistent
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-02-3-3.txt
STORE Caldera
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-12-4-3.txt
STORE Revocable
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-06-4-0.txt
STORE Perfunctory
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-08-4-4.txt
STORE Forgo
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-11-02-4-0.txt
STORE Amethystine
EMPTY 13 15
SET 0 0 1
SET 0 1 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 8 1
SET 0 9 1
SET 0 14 1
SET 1 0 1
SET 1 3 1
SET 1 6 1
SET 1 7 1
SET 1 8 1
SET 1 11 1
SET 1 12 1
SET 1 14 1
SET 2 2 1
SET 2 3 1
SET 2 6 1
SET 2 7 1
SET 2 8 1
SET 2 10 1
SET 2 11 1
SET 3 0 1
SET 3 1 1
SET 3 6 1
SET 3 9 1
SET 3 12 1
SET 3 13 1
SET 3 14 1
SET 4 0 1
SET 4 1 1
SET 4 3 1
SET 4 8 1
SET 4 9 1
SET 4 13 1
SET 5 2 1
SET 5 3 1
SET 5 4 1
SET 5 5 1
SET 5 6 1
SET 5 7 1
SET 5 8 1
SET 5 9 1
SET 5 10 1
SET 5 11 1
SET 6 0 1
SET 6 1 1
SET 6 3 1
SET 6 4 1
SET 6 5 1
SET 6 6 1
SET 6 8 1
SET 6 10 1
SET 6 12 1
SET 7 2 1
SET 7 3 1
SET 7 5 1
SET 7 8 1
SET 7 11 1
SET 7 14 1
SET 8 1 1
SET 8 5 1
SET 8 9 1
SET 8 10 1
SET 8 11 1
SET 8 13 1
SET 8 14 1
SET 9 1 1
SET 9 2 1
SET 9 6 1
SET 9 11 1
SET 9 12 1
SET 10 1 1
SET 10 2 1
SET 10 4 1
SET 10 6 1
SET 10 10 1
SET 10 13 1
SET 11 1 1
SET 11 4 1
SET 11 7 1
SET 11 10 1
SET 11 11 1
SET 11 12 1
SET 12 5 1
SET 12 7 1
SET 12 8 1
SET 12 11 1
SET 12 13 1
SUBMATRIX 0 1 2 3 6 10 11
PRINT 17
EMPTY 9 10
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 8 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 5 1
SET 1 7 1
SET 1 9 1
SET 2 0 1
SET 2 1 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 8 1
SET 2 9 1
SET 3 0 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 8 1
SET 4 0 1
SET 4 2 1
SET 4 9 1
SET 5 2 1
SET 5 3 1
SET 5 4 1
SET 5 5 1
SET 5 7 1
SET 5 8 1
SET 5 9 1
SET 6 0 1
SET 6 1 1
SET 6 2 1
SET 6 3 1
SET 6 7 1
SET 6 8 1
SET 6 9 1
SET 7 3 1
SET 7 6 1
SET 7 7 1
SET 7 8 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 8 5 1
SET 8 7 1
SET 8 8 1
SUBMATRIX 0 1 4 6
PRINT 2
EMPTY 13 17
SET 0 1 1
SET 0 4 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 10 1
SET 0 13 1
SET 0 15 1
SET 1 1 1
SET 1 3 1
SET 1 5 1
SET 1 6 1
SET 1 8 1
SET 1 9 1
SET 1 11 1
SET 1 13 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 2 0 1
SET 2 1 1
SET 2 2 1
SET 2 4 1
SET 2 5 1
SET 2 10 1
SET 2 12 1
SET 2 14 1
SET 2 16 1
SET 3 1 1
SET 3 3 1
SET 3 4 1
SET 3 8 1
SET 3 9 1
SET 3 12 1
SET 3 13 1
SET 3 16 1
SET 4 0 1
SET 4 1 1
SET 4 2 1
SET 4 4 1
SET 4 7 1
SET 4 8 1
SET 4 9 1
SET 4 11 1
SET 4 12 1
SET 4 13 1
SET 4 14 1
SET 4 15 1
SET 4 16 1
SET 5 0 1
SET 5 2 1
SET 5 8 1
SET 5 10 1
SET 5 11 1
SET 5 12 1
SET 5 13 1
SET 5 14 1
SET 5 15 1
SET 5 16 1
SET 6 0 1
SET 6 1 1
SET 6 3 1
SET 6 6 1
SET 6 8 1
SET 6 10 1
SET 6 16 1
SET 7 0 1
SET 7 2 1
SET 7 4 1
SET 7 7 1
SET 7 11 1
SET 7 12 1
SET 7 15 1
SET 7 16 1
SET 8 0 1
SET 8 4 1
SET 8 7 1
SET 8 9 1
SET 8 12 1
SET 8 15 1
SET 8 16 1
SET 9 1 1
SET 9 2 1
SET 9 3 1
SET 9 4 1
SET 9 5 1
SET 9 7 1
SET 9 9 1
SET 9 11 1
SET 9 12 1
SET 9 15 1
SET 9 16 1
SET 10 0 1
SET 10 1 1
SET 10 3 1
SET 10 4 1
SET 10 7 1
SET 10 13 1
SET 10 14 1
SET 11 1 1
SET 11 4 1
SET 11 6 1
SET 11 7 1
SET 11 8 1
SET 11 9 1
SET 11 12 1
SET 12 0 1
SET 12 7 1
SET 12 8 1
SET 12 10 1
SET 12 11 1
SET 12 13 1
SET 12 15 1
SET 12 16 1
