READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-07-4-2.txt
STORE Demark
EMPTY 15 25
SET 0 0 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 10 1
SET 0 11 1
SET 0 15 1
SET 0 18 1
SET 0 19 1
SET 0 20 1
SET 0 21 1
SET 0 24 1
SET 1 0 1
SET 1 2 1
SET 1 3 1
SET 1 7 1
SET 1 8 1
SET 1 11 1
SET 1 13 1
SET 1 14 1
SET 1 17 1
SET 1 18 1
SET 1 22 1
SET 2 0 1
SET 2 1 1
SET 2 2 1
SET 2 5 1
SET 2 6 1
SET 2 7 1
SET 2 8 1
SET 2 10 1
SET 2 11 1
SET 2 13 1
SET 2 14 1
SET 2 20 1
SET 2 22 1
SET 2 23 1
SET 2 24 1
SET 3 0 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 3 7 1
SET 3 8 1
SET 3 9 1
SET 3 20 1
SET 3 21 1
SET 3 22 1
SET 4 0 1
SET 4 5 1
SET 4 7 1
SET 4 9 1
SET 4 11 1
SET 4 12 1
SET 4 13 1
SET 4 14 1
SET 4 17 1
SET 4 19 1
SET 4 20 1
SET 4 22 1
SET 4 23 1
SET 5 0 1
SET 5 1 1
SET 5 3 1
SET 5 5 1
SET 5 6 1
SET 5 7 1
SET 5 9 1
SET 5 10 1
SET 5 11 1
SET 5 15 1
SET 5 18 1
SET 5 21 1
SET 5 22 1
SET 5 23 1
SET 6 0 1
SET 6 1 1
SET 6 2 1
SET 6 3 1
SET 6 6 1
SET 6 7 1
SET 6 8 1
SET 6 11 1
SET 6 13 1
SET 6 15 1
SET 6 16 1
SET 6 17 1
SET 6 19 1
SET 6 20 1
SET 6 22 1
SET 6 23 1
SET 7 0 1
SET 7 1 1
SET 7 3 1
SET 7 4 1
SET 7 6 1
SET 7 7 1
SET 7 11 1
SET 7 12 1
SET 7 13 1
SET 7 14 1
SET 7 15 1
SET 7 16 1
SET 7 17 1
SET 7 19 1
SET 7 22 1
SET 7 23 1
SET 8 0 1
SET 8 2 1
SET 8 4 1
SET 8 5 1
SET 8 6 1
SET 8 7 1
SET 8 8 1
SET 8 9 1
SET 8 11 1
SET 8 15 1
SET 8 17 1
SET 8 19 1
SET 8 20 1
SET 8 21 1
SET 9 1 1
SET 9 3 1
