READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-09-4-0.txt
STORE Molybdenite
VAL 33 7
EMPTY 3 20
STORE Economic
ALL
VAL 1 17
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-03-4-4.txt
STORE Edging
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-09-4-1.txt
STORE Borax
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-10-05-4-0.txt
STORE Pigeon
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-05-4-0.txt
STORE Portraiture
EMPTY 2 4
SET 0 2 1
SET 0 3 1
SET 1 0 1
SET 1 2 1
SET 1 3 1
STORE Hyades
SET 0 2 0
SET 0 3 0
SET 1 1 1
SET 1 2 0
SET 1 3 0
STORE Treetop
EMPTY 6 22
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 6 1
SET 0 7 1
SET 0 9 1
SET 0 12 1
SET 0 13 1
SET 0 16 1
SET 0 17 1
SET 0 18 1
SET 0 20 1
SET 0 21 1
SET 1 3 1
SET 1 4 1
SET 1 9 1
SET 1 12 1
SET 1 15 1
SET 1 16 1
SET 1 17 1
SET 1 18 1
SET 1 19 1
SET 1 21 1
SET 2 4 1
SET 2 5 1
SET 2 9 1
SET 2 13 1
SET 2 14 1
SET 2 15 1
SET 2 16 1
SET 2 17 1
SET 2 18 1
SET 2 19 1
SET 2 20 1
SET 2 21 1
SET 3 0 1
SET 3 4 1
SET 3 5 1
SET 3 7 1
SET 3 8 1
SET 3 9 1
SET 3 10 1
SET 3 12 1
SET 3 14 1
SET 3 16 1
SET 3 21 1
SET 4 0 1
SET 4 2 1
SET 4 5 1
SET 4 8 1
SET 4 11 1
SET 4 13 1
SET 4 17 1
SET 4 21 1
SET 5 0 1
SET 5 1 1
SET 5 3 1
SET 5 4 1
SET 5 6 1
SET 5 7 1
SET 5 11 1
SET 5 16 1
SET 5 17 1
SET 5 21 1
STORE Personage
SET 0 0 1
SET 0 1 0
SET 0 3 0
SET 0 4 1
SET 0 6 0
SET 0 7 0
SET 0 8 1
SET 0 9 0
SET 0 11 1
SET 0 12 0
SET 0 13 0
SET 0 14 1
SET 0 16 0
SET 0 18 0
SET 0 21 0
SET 1 1 1
SET 1 2 1
SET 1 4 0
SET 1 9 0
SET 1 11 1
SET 1 12 0
SET 1 13 1
SET 1 14 1
SET 1 15 0
SET 1 16 0
SET 1 18 0
SET 2 4 0
SET 2 5 0
SET 2 6 1
SET 2 8 1
SET 2 10 1
SET 2 12 1
SET 2 13 0
SET 2 15 0
SET 2 16 0
SET 2 17 0
SET 3 0 0
SET 3 1 1
SET 3 6 1
SET 3 7 0
SET 3 9 0
SET 3 13 1
SET 3 15 1
SET 3 17 1
SET 3 18 1
SET 4 1 1
SET 4 2 0
SET 4 3 1
SET 4 4 1
SET 4 8 0
SET 4 9 1
SET 4 17 0
SET 4 20 1
SET 4 21 0
SET 5 0 0
SET 5 2 1
SET 5 8 1
SET 5 9 1
SET 5 10 1
SET 5 12 1
SET 5 18 1
SET 5 21 0
STORE Fieldwork
VAL 2 11
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-10-4-0.txt
STORE Liverpudlian
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-03-3-3.txt
STORE Pip
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-07-4-2.txt
STORE Pecos
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-07-4-2.txt
STORE Legend
RECALL Edging
PRINT 4
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-05-4-0.txt
STORE Pronoun
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-05-4-4.txt
STORE Consternate
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-04-4-4.txt
STORE Isotropy
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-03-3-2.txt
STORE Juror
RECALL Fieldwork
SUBMATRIX 1 2 5
PRINT 13
EMPTY 6 4
SET 0 2 1
SET 0 3 1
SET 1 2 1
SET 2 0 1
SET 2 3 1
SET 3 2 1
SET 3 3 1
SET 4 0 1
SET 4 1 1
SET 5 0 1
SET 5 2 1
STORE Barberry
ALL
RECALL Isotropy
WRITE Einstein.txt
EMPTY 12 16
SET 0 0 1
SET 0 2 1
SET 0 3 1
SET 0 5 1
SET 0 6 1
SET 0 8 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 0 14 1
SET 0 15 1
SET 1 0 1
SET 1 2 1
SET 1 3 1
SET 1 8 1
SET 1 10 1
SET 1 12 1
SET 1 14 1
SET 2 0 1
SET 2 2 1
SET 2 3 1
SET 2 7 1
SET 2 8 1
SET 2 11 1
SET 2 12 1
SET 2 15 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 4 1
SET 3 7 1
SET 3 8 1
SET 3 9 1
SET 3 11 1
SET 3 12 1
SET 3 13 1
SET 3 14 1
SET 3 15 1
SET 4 0 1
SET 4 1 1
SET 4 3 1
SET 4 9 1
SET 4 11 1
SET 4 12 1
SET 4 13 1
SET 4 14 1
SET 4 15 1
SET 5 0 1
SET 5 1 1
SET 5 2 1
SET 5 3 1
SET 5 5 1
SET 5 8 1
SET 5 10 1
SET 5 12 1
SET 6 2 1
SET 6 3 1
SET 6 5 1
SET 6 7 1
SET 6 10 1
SET 6 14 1
SET 6 15 1
SET 7 2 1
SET 7 3 1
SET 7 4 1
SET 7 8 1
SET 7 11 1
SET 7 13 1
SET 8 0 1
SET 8 3 1
SET 8 4 1
SET 8 6 1
SET 8 7 1
SET 8 8 1
SET 8 9 1
SET 8 10 1
SET 8 12 1
SET 8 14 1
SET 9 0 1
SET 9 1 1
SET 9 4 1
SET 9 5 1
SET 9 6 1
SET 9 7 1
SET 9 9 1
SET 9 10 1
SET 9 13 1
SET 10 3 1
SET 10 4 1
SET 10 8 1
SET 10 11 1
SET 10 13 1
SET 10 14 1
SET 10 15 1
SET 11 0 1
SET 11 3 1
SET 11 8 1
SET 11 15 1
STORE Handlebar
RECALL Treetop
WRITE Advance.txt
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-03-4-3.txt
STORE Busy
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-02-4-4.txt
STORE Disperse
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-06-4-0.txt
STORE Americium
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-05-4-1.txt
STORE Fishmonger
RECALL Consternate
WRITE Collusion.txt
RECALL Busy
PRINT 1
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-11-4-4.txt
STORE Advertise
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-11-4-3.txt
STORE Pluck
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-04-4-0.txt
STORE Boon
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-12-4-2.txt
STORE Keddah
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-12-4-3.txt
STORE Ministry
SUM Keddah Ministry
STORE Columbine
PRINT 4
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-11-4-3.txt
STORE Schoolmarm
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-05-4-1.txt
STORE Shrivel
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-03-4-4.txt
STORE Wry
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-02-4-4.txt
STORE Commute
RECALL Advertise
+= 10 39
STORE Extant
WRITE Stationery.txt
RECALL Consternate
PRINT 17
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-04-4-2.txt
STORE Capacitor
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-08-4-0.txt
STORE Frolic
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-05-3-0.txt
STORE Cordial
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-11-4-3.txt
STORE Reverse
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-10-4-3.txt
STORE Collarbone
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-05-4-1.txt
STORE Decline
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-09-4-1.txt
STORE Croquet
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-06-4-3.txt
STORE Malaise
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-02-3-2.txt
STORE Elephant
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-06-4-0.txt
STORE Ogress
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-11-02-4-2.txt
STORE Adolph
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-06-4-0.txt
STORE Scalar
RECALL Wallboard
