READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-04-3-1.txt
STORE Honduras
EMPTY 5 20
SET 0 3 1
SET 0 5 1
SET 0 17 1
SET 0 18 1
SET 1 1 1
SET 1 2 1
SET 1 4 1
SET 1 6 1
SET 1 8 1
SET 1 9 1
SET 1 10 1
SET 1 11 1
SET 1 12 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 1 17 1
SET 2 3 1
SET 2 4 1
SET 2 6 1
SET 2 8 1
SET 2 15 1
SET 2 16 1
SET 2 19 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 3 8 1
SET 3 13 1
SET 3 14 1
SET 3 15 1
SET 3 17 1
SET 3 18 1
SET 3 19 1
SET 4 0 1
SET 4 2 1
SET 4 3 1
SET 4 4 1
SET 4 7 1
SET 4 8 1
SET 4 9 1
SET 4 10 1
SET 4 11 1
SET 4 12 1
SET 4 13 1
SET 4 16 1
SET 4 18 1
SET 4 19 1
STORE Cranston
SET 0 0 1
SET 0 2 1
SET 0 3 0
SET 0 6 1
SET 0 8 1
SET 0 9 1
SET 0 10 1
SET 0 11 1
SET 0 17 0
SET 1 0 1
SET 1 2 0
SET 1 3 1
SET 1 8 0
SET 1 10 0
SET 1 12 0
SET 1 14 0
SET 1 16 0
SET 1 17 0
SET 1 19 1
SET 2 0 1
SET 2 3 0
SET 2 5 1
SET 2 7 1
SET 2 9 1
SET 2 12 1
SET 2 13 1
SET 2 14 1
SET 2 15 0
SET 2 16 0
SET 2 17 1
SET 3 2 0
SET 3 4 0
SET 3 7 1
SET 3 11 1
SET 3 12 1
SET 3 15 0
SET 3 17 0
SET 4 0 0
SET 4 1 1
SET 4 4 0
SET 4 5 1
SET 4 7 0
SET 4 10 0
SET 4 11 0
SET 4 13 0
SET 4 15 1
SET 4 16 0
SET 4 18 0
SET 4 19 0
STORE Amphibious
EMPTY 10 11
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 7 1
SET 1 9 1
SET 2 1 1
SET 2 7 1
SET 2 8 1
SET 2 10 1
SET 3 2 1
SET 3 3 1
SET 3 5 1
SET 3 7 1
SET 3 8 1
SET 4 0 1
SET 4 3 1
SET 4 5 1
SET 4 9 1
SET 4 10 1
SET 5 0 1
SET 5 1 1
SET 5 2 1
SET 5 3 1
SET 5 4 1
SET 5 5 1
SET 5 7 1
SET 5 10 1
SET 6 1 1
SET 6 3 1
SET 6 4 1
SET 6 5 1
SET 7 0 1
SET 7 1 1
SET 7 2 1
SET 7 3 1
SET 7 9 1
SET 7 10 1
SET 8 0 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 8 4 1
SET 8 6 1
SET 8 7 1
SET 8 8 1
SET 8 10 1
SET 9 2 1
SET 9 3 1
SET 9 4 1
STORE Psychoacoustic
SET 0 3 0
SET 0 4 0
SET 0 5 1
SET 0 6 0
SET 0 8 0
SET 0 10 1
SET 1 4 0
SET 1 5 0
SET 1 6 1
SET 1 9 0
SET 1 10 1
SET 2 1 0
SET 2 2 1
SET 2 5 1
SET 2 6 1
SET 2 9 1
SET 2 10 0
SET 3 0 1
SET 3 2 0
SET 3 4 1
SET 3 6 1
SET 3 7 0
SET 3 9 1
SET 3 10 1
SET 4 0 0
SET 4 3 0
SET 4 10 0
SET 5 2 0
SET 5 3 0
SET 5 5 0
SET 5 6 1
SET 5 7 0
SET 5 10 0
SET 6 0 1
SET 6 2 1
SET 6 4 0
SET 6 5 0
SET 6 7 1
SET 7 2 0
SET 7 3 0
SET 7 4 1
SET 7 5 1
SET 7 6 1
SET 7 10 0
SET 8 0 0
SET 8 1 0
SET 8 3 0
SET 8 5 1
SET 8 6 0
SET 8 8 0
SET 8 9 1
SET 8 10 0
SET 9 0 1
SET 9 1 1
SET 9 3 0
SET 9 5 1
SET 9 8 1
SET 9 10 1
STORE Truancy
VAL 9 8
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-07-4-3.txt
STORE Submersible
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-03-4-2.txt
STORE Nip
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-12-4-3.txt
STORE Urgency
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-10-4-4.txt
STORE Coagulate
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-06-4-2.txt
STORE Disulfide
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-04-4-3.txt
STORE Voluminous
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-09-4-0.txt
STORE Collegian
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-04-4-0.txt
STORE Extrusive
VAL 12 9
RECALL Voluminous
WRITE Hostess.txt
EMPTY 14 6
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 1 0 1
SET 1 1 1
SET 1 4 1
SET 1 5 1
SET 2 1 1
SET 2 2 1
SET 3 0 1
SET 3 1 1
SET 3 4 1
SET 4 0 1
SET 4 1 1
SET 4 2 1
SET 5 1 1
SET 5 3 1
SET 5 5 1
SET 6 0 1
SET 6 1 1
SET 6 3 1
SET 6 4 1
SET 6 5 1
SET 7 2 1
SET 7 3 1
SET 7 4 1
SET 8 5 1
SET 9 0 1
SET 9 3 1
SET 9 4 1
SET 9 5 1
SET 10 3 1
SET 10 5 1
SET 11 2 1
SET 11 5 1
SET 12 3 1
SET 13 1 1
SET 13 3 1
STORE Lunatic
SET 0 0 1
SET 0 1 0
SET 0 3 0
SET 0 4 1
SET 0 5 1
SET 1 0 0
SET 1 2 1
SET 1 3 1
SET 1 4 0
SET 2 0 1
SET 2 1 0
SET 2 3 1
SET 3 0 0
SET 3 4 0
SET 4 1 0
SET 4 4 1
SET 4 5 1
SET 5 0 1
SET 5 1 0
SET 5 2 1
SET 5 5 0
SET 6 0 0
SET 6 1 0
SET 6 2 1
SET 6 4 0
SET 7 0 1
SET 8 0 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 9 0 0
SET 9 1 1
SET 9 4 0
SET 9 5 0
SET 10 2 1
SET 10 3 0
SET 10 5 0
SET 11 0 1
SET 11 1 1
SET 11 2 0
SET 12 4 1
