READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-07-4-4.txt
STORE Twinkle
RECALL Twinkle
PRINT 8
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-10-04-4-2.txt
STORE Express
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-03-3-3.txt
STORE Followeth
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-10-03-4-1.txt
STORE Hydrostatic
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-05-4-1.txt
STORE Commissariat
EMPTY 14 2
SET 0 0 1
SET 0 1 1
SET 1 0 1
SET 1 1 1
SET 2 0 1
SET 2 1 1
SET 3 0 1
SET 3 1 1
SET 4 0 1
SET 4 1 1
SET 5 0 1
SET 6 1 1
SET 7 0 1
SET 8 1 1
SET 9 1 1
SET 10 1 1
SET 13 1 1
STORE Maitre
EMPTY 11 12
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 9 1
SET 0 11 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 9 1
SET 1 10 1
SET 2 0 1
SET 2 1 1
SET 2 6 1
SET 2 7 1
SET 2 9 1
SET 2 10 1
SET 2 11 1
SET 3 0 1
SET 3 4 1
SET 3 9 1
SET 4 1 1
SET 4 2 1
SET 4 10 1
SET 4 11 1
SET 5 1 1
SET 5 5 1
SET 5 7 1
SET 5 8 1
SET 5 11 1
SET 6 4 1
SET 6 5 1
SET 6 6 1
SET 6 7 1
SET 6 8 1
SET 6 9 1
SET 6 11 1
SET 7 2 1
SET 7 5 1
SET 7 7 1
SET 7 8 1
SET 7 10 1
SET 8 0 1
SET 8 1 1
SET 8 2 1
SET 8 4 1
SET 8 5 1
SET 8 6 1
SET 8 9 1
SET 8 10 1
SET 8 11 1
SET 9 6 1
SET 9 7 1
SET 9 11 1
SET 10 0 1
SET 10 2 1
SET 10 4 1
SET 10 5 1
SET 10 6 1
SET 10 8 1
SET 10 10 1
STORE Forget
SET 0 1 1
SET 0 3 0
SET 0 4 0
SET 0 5 0
SET 0 6 0
SET 0 7 1
SET 0 8 1
SET 0 11 0
SET 1 0 1
SET 1 1 0
SET 1 2 0
SET 1 3 0
SET 1 5 0
SET 1 7 1
SET 1 9 0
SET 1 11 1
SET 2 0 0
SET 2 2 1
SET 2 4 1
SET 2 5 1
SET 2 10 0
SET 2 11 0
SET 3 0 0
SET 3 3 1
SET 3 4 0
SET 3 8 1
SET 3 9 0
SET 4 1 0
SET 4 2 0
SET 4 3 1
SET 4 5 1
SET 4 7 1
SET 4 8 1
SET 5 0 1
SET 5 2 1
SET 6 1 1
SET 6 6 0
SET 6 9 0
SET 6 10 1
SET 6 11 0
SET 7 0 1
SET 7 1 1
SET 7 5 0
SET 7 7 0
SET 7 8 0
SET 7 10 0
SET 7 11 1
SET 8 0 0
SET 8 5 0
SET 8 9 0
SET 9 0 1
SET 9 1 1
SET 9 2 1
SET 9 6 0
SET 9 8 1
SET 9 9 1
SET 9 10 1
SET 10 0 0
SET 10 2 0
SET 10 4 0
SET 10 5 0
SET 10 6 0
SET 10 7 1
SET 10 8 0
SET 10 10 0
SET 10 11 1
STORE Macromolecule
EMPTY 5 4
SET 0 0 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 2 0 1
SET 2 1 1
SET 3 1 1
SET 3 2 1
SET 4 0 1
SET 4 2 1
STORE Deluxe
SET 0 0 0
SET 1 0 0
SET 1 3 0
SET 2 0 0
SET 2 2 1
SET 3 0 1
SET 3 2 0
SET 3 3 1
SET 4 2 0
STORE Eloise
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-12-4-4.txt
STORE Initiate
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-03-4-3.txt
STORE Squeal
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-04-4-4.txt
STORE Pusey
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-10-4-2.txt
STORE Murmur
RECALL Squeal
SUBMATRIX 0 1 2 3 5 6 9 10 11
WRITE Homeopath.txt
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-11-4-4.txt
STORE Parallelepiped
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-07-4-3.txt
STORE Levin
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-02-4-3.txt
STORE Restrain
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-03-4-2.txt
STORE Lieutenant
ALL
EMPTY 4 25
SET 0 1 1
SET 0 4 1
SET 0 5 1
SET 0 7 1
SET 0 9 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 17 1
SET 0 18 1
SET 0 19 1
SET 0 21 1
SET 0 22 1
SET 0 23 1
SET 1 1 1
SET 1 2 1
SET 1 6 1
SET 1 7 1
SET 1 9 1
SET 1 10 1
SET 1 11 1
SET 1 13 1
SET 1 16 1
SET 1 18 1
SET 1 20 1
SET 1 24 1
SET 2 2 1
SET 2 3 1
SET 2 5 1
SET 2 7 1
SET 2 11 1
SET 2 12 1
SET 2 13 1
SET 2 14 1
SET 2 16 1
SET 2 18 1
SET 2 22 1
SET 3 1 1
SET 3 2 1
SET 3 5 1
SET 3 6 1
SET 3 9 1
SET 3 12 1
SET 3 13 1
SET 3 14 1
SET 3 17 1
SET 3 18 1
SET 3 20 1
SET 3 24 1
STORE Sandalwood
SET 0 0 1
SET 0 2 1
SET 0 5 0
SET 0 6 1
SET 0 7 0
SET 0 9 0
