READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-03-4-1.txt
STORE Classic
EMPTY 3 18
SET 0 0 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 10 1
SET 0 11 1
SET 0 15 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 6 1
SET 1 7 1
SET 1 9 1
SET 1 10 1
SET 1 14 1
SET 1 15 1
SET 2 0 1
SET 2 2 1
SET 2 3 1
SET 2 6 1
SET 2 7 1
SET 2 11 1
SET 2 14 1
SET 2 15 1
SET 2 16 1
STORE Trimer
SET 0 0 0
SET 0 1 1
SET 0 2 1
SET 0 5 0
SET 0 7 1
SET 0 9 1
SET 0 11 0
SET 0 15 0
SET 0 16 1
SET 1 8 1
SET 1 9 0
SET 1 11 1
SET 1 12 1
SET 1 14 0
SET 1 15 0
SET 2 0 0
SET 2 2 0
SET 2 3 0
SET 2 5 1
SET 2 10 1
SET 2 11 0
SET 2 14 0
SET 2 16 0
SET 2 17 1
STORE Irradiate
EMPTY 9 6
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 1 1 1
SET 1 3 1
SET 1 4 1
SET 2 0 1
SET 2 1 1
SET 2 3 1
SET 2 4 1
SET 3 0 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 4 0 1
SET 4 1 1
SET 4 2 1
SET 5 0 1
SET 5 3 1
SET 6 0 1
SET 6 1 1
SET 6 2 1
SET 6 4 1
SET 6 5 1
SET 7 0 1
SET 7 1 1
SET 7 4 1
SET 7 5 1
SET 8 0 1
SET 8 3 1
SET 8 5 1
STORE Diocesan
SET 0 4 0
SET 0 5 1
SET 1 0 1
SET 1 1 0
SET 1 2 1
SET 1 4 0
SET 1 5 1
SET 2 1 0
SET 2 2 1
SET 2 4 0
SET 2 5 1
SET 3 2 0
SET 3 3 0
SET 3 5 1
SET 4 3 1
SET 4 4 1
SET 5 4 1
SET 6 1 0
SET 7 2 1
SET 7 3 1
SET 7 4 0
SET 8 0 0
STORE Prosperous
RECALL Classic
WRITE Solvate.txt
EMPTY 10 18
SET 0 0 1
SET 0 5 1
SET 0 7 1
SET 0 8 1
SET 0 12 1
SET 0 14 1
SET 0 16 1
SET 1 6 1
SET 1 7 1
SET 1 11 1
SET 1 15 1
