READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-03-4-0.txt
STORE Suffer
RECALL Suffer
+= 11 6
STORE Indefinite
WRITE Lantern.txt
EMPTY 5 9
STORE Near
VAL 3 4
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-07-4-0.txt
STORE Charity
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-06-4-1.txt
STORE Panicky
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-06-4-1.txt
STORE Hierarchic
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-03-3-4.txt
STORE Smithy
VAL 5 0
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-07-4-2.txt
STORE Vivace
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-05-4-3.txt
STORE Coniferous
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-04-3-0.txt
STORE Increment
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-10-4-4.txt
STORE Continuation
ALL
VAL 28 2
RECALL Charity
PRINT 13
EMPTY 13 24
SET 0 0 1
SET 0 1 1
SET 0 3 1
SET 0 5 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 10 1
SET 0 11 1
SET 0 13 1
SET 0 14 1
SET 0 15 1
SET 0 16 1
SET 0 22 1
SET 0 23 1
SET 1 1 1
SET 1 3 1
SET 1 10 1
SET 1 11 1
SET 1 14 1
SET 1 17 1
SET 1 18 1
SET 1 19 1
SET 1 20 1
SET 1 23 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 8 1
SET 2 9 1
SET 2 10 1
SET 2 11 1
SET 2 13 1
SET 2 14 1
SET 2 15 1
SET 2 18 1
SET 2 19 1
SET 2 20 1
SET 2 21 1
SET 2 22 1
SET 2 23 1
SET 3 0 1
SET 3 3 1
SET 3 5 1
SET 3 6 1
SET 3 7 1
SET 3 9 1
SET 3 12 1
SET 3 13 1
SET 3 15 1
SET 3 16 1
SET 3 17 1
SET 3 18 1
SET 4 1 1
SET 4 3 1
SET 4 4 1
SET 4 6 1
SET 4 7 1
SET 4 9 1
SET 4 12 1
SET 4 14 1
SET 4 18 1
SET 4 22 1
SET 4 23 1
SET 5 3 1
SET 5 4 1
SET 5 5 1
SET 5 6 1
SET 5 7 1
SET 5 8 1
SET 5 11 1
SET 5 12 1
SET 5 13 1
SET 5 16 1
SET 5 18 1
SET 5 22 1
SET 6 0 1
SET 6 2 1
SET 6 3 1
SET 6 6 1
SET 6 7 1
SET 6 8 1
SET 6 9 1
SET 6 13 1
SET 6 14 1
SET 6 16 1
SET 6 17 1
SET 6 18 1
SET 6 20 1
SET 6 23 1
SET 7 0 1
SET 7 3 1
SET 7 6 1
SET 7 11 1
SET 7 13 1
SET 7 14 1
SET 7 15 1
SET 7 16 1
SET 7 17 1
SET 7 19 1
SET 7 20 1
SET 7 21 1
SET 7 22 1
SET 8 0 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 8 4 1
SET 8 5 1
SET 8 7 1
SET 8 9 1
SET 8 12 1
SET 8 18 1
SET 8 19 1
SET 8 21 1
SET 9 0 1
SET 9 1 1
SET 9 3 1
SET 9 5 1
SET 9 6 1
SET 9 9 1
SET 9 12 1
SET 9 14 1
SET 9 18 1
SET 9 19 1
SET 9 20 1
SET 9 21 1
SET 9 22 1
SET 9 23 1
SET 10 0 1
SET 10 1 1
SET 10 3 1
SET 10 6 1
SET 10 8 1
SET 10 10 1
SET 10 11 1
SET 10 12 1
SET 10 18 1
SET 10 19 1
SET 10 20 1
SET 10 21 1
SET 11 3 1
SET 11 4 1
SET 11 5 1
SET 11 6 1
SET 11 7 1
SET 11 8 1
SET 11 9 1
SET 11 11 1
SET 11 12 1
SET 11 13 1
SET 11 15 1
SET 11 18 1
SET 11 19 1
SET 11 20 1
SET 12 3 1
SET 12 4 1
SET 12 5 1
SET 12 8 1
SET 12 10 1
SET 12 12 1
SET 12 13 1
SET 12 14 1
SET 12 15 1
SET 12 16 1
SET 12 17 1
SET 12 20 1
SET 12 21 1
STORE Trevelyan
SET 0 1 0
SET 0 5 0
SET 0 6 1
SET 0 11 0
SET 0 12 1
SET 0 13 0
SET 0 14 0
SET 0 17 1
SET 0 18 1
SET 0 20 1
SET 0 21 1
SET 0 23 0
SET 1 1 0
SET 1 3 0
SET 1 4 1
SET 1 8 1
SET 1 16 1
SET 1 17 0
SET 1 18 0
SET 1 19 0
SET 1 20 0
SET 1 21 1
SET 1 22 1
SET 2 0 1
SET 2 5 0
SET 2 6 0
SET 2 10 0
SET 2 11 0
SET 2 12 1
SET 2 15 0
SET 2 17 1
SET 2 18 0
SET 2 19 0
SET 2 20 0
SET 2 22 0
SET 3 2 1
SET 3 3 0
SET 3 4 1
SET 3 5 0
SET 3 8 1
SET 3 9 0
SET 3 10 1
SET 3 11 1
SET 3 12 0
SET 3 13 0
SET 3 14 1
SET 3 15 0
SET 3 17 0
SET 3 19 1
SET 3 20 1
SET 4 4 0
SET 4 5 1
SET 4 10 1
SET 4 11 1
SET 4 12 0
SET 4 15 1
SET 4 19 1
SET 4 21 1
SET 4 23 0
SET 5 2 1
SET 5 4 0
SET 5 5 0
SET 5 7 0
SET 5 9 1
SET 5 10 1
SET 5 11 0
SET 5 12 0
SET 5 13 0
SET 5 15 1
SET 5 16 0
SET 5 17 1
SET 5 18 0
SET 5 19 1
SET 5 20 1
SET 5 21 1
SET 5 22 0
SET 5 23 1
SET 6 1 1
SET 6 2 0
SET 6 3 0
SET 6 4 1
SET 6 5 1
SET 6 7 0
