READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-05-3-1.txt
STORE Policeman
EMPTY 11 19
SET 0 3 1
SET 0 5 1
SET 0 17 1
SET 0 18 1
SET 1 2 1
SET 1 3 1
SET 1 5 1
SET 1 7 1
SET 1 9 1
SET 1 10 1
SET 1 11 1
SET 1 12 1
SET 1 13 1
SET 1 15 1
SET 1 16 1
SET 1 17 1
SET 1 18 1
SET 2 5 1
SET 2 6 1
SET 2 8 1
SET 2 10 1
SET 2 17 1
SET 2 18 1
SET 3 2 1
SET 3 5 1
SET 3 6 1
SET 3 7 1
SET 3 8 1
SET 3 11 1
SET 3 16 1
SET 3 17 1
SET 3 18 1
SET 4 1 1
SET 4 2 1
SET 4 3 1
SET 4 4 1
SET 4 6 1
SET 4 7 1
SET 4 8 1
SET 4 11 1
SET 4 12 1
SET 4 13 1
SET 4 14 1
SET 4 15 1
SET 4 16 1
SET 4 17 1
SET 5 1 1
SET 5 3 1
SET 5 4 1
SET 5 5 1
SET 5 7 1
SET 5 10 1
SET 5 11 1
SET 5 13 1
SET 5 14 1
SET 5 15 1
SET 5 16 1
SET 6 4 1
SET 6 6 1
SET 6 7 1
SET 6 9 1
SET 6 10 1
SET 6 12 1
SET 6 15 1
SET 6 17 1
SET 7 2 1
SET 7 6 1
SET 7 7 1
SET 7 11 1
SET 7 12 1
SET 7 13 1
SET 7 14 1
SET 7 15 1
SET 7 16 1
SET 8 0 1
SET 8 1 1
SET 8 2 1
SET 8 5 1
SET 8 7 1
SET 8 11 1
SET 8 13 1
SET 8 15 1
SET 8 16 1
SET 9 0 1
SET 9 1 1
SET 9 2 1
SET 9 3 1
SET 9 7 1
SET 9 8 1
SET 9 10 1
SET 9 11 1
SET 9 12 1
SET 9 14 1
SET 9 17 1
SET 9 18 1
SET 10 2 1
SET 10 5 1
SET 10 10 1
SET 10 12 1
SET 10 13 1
SET 10 14 1
SET 10 15 1
SET 10 16 1
SET 10 18 1
STORE Nora
EMPTY 2 23
SET 0 0 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 9 1
SET 0 11 1
SET 0 14 1
SET 0 20 1
SET 0 21 1
SET 1 0 1
SET 1 3 1
SET 1 4 1
SET 1 6 1
SET 1 8 1
SET 1 9 1
SET 1 12 1
SET 1 15 1
SET 1 17 1
SET 1 21 1
SET 1 22 1
STORE Kernel
SET 0 1 1
SET 0 6 0
SET 0 9 0
SET 0 10 1
SET 0 11 0
SET 0 12 1
SET 0 15 1
SET 0 16 1
SET 0 20 0
SET 0 21 0
SET 0 22 1
SET 1 1 1
SET 1 2 1
SET 1 3 0
SET 1 4 0
SET 1 6 0
SET 1 10 1
SET 1 11 1
SET 1 13 1
SET 1 14 1
SET 1 15 0
SET 1 16 1
SET 1 18 1
SET 1 20 1
SET 1 21 0
SET 1 22 0
STORE Radiochemistry
EMPTY 2 20
SET 0 0 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 12 1
SET 0 14 1
SET 0 16 1
SET 0 17 1
SET 0 18 1
SET 0 19 1
SET 1 0 1
SET 1 1 1
SET 1 4 1
SET 1 5 1
SET 1 8 1
SET 1 11 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 1 17 1
SET 1 18 1
STORE Dental
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 7 0
SET 0 10 1
SET 0 12 0
SET 0 14 0
SET 0 17 0
SET 0 18 0
SET 0 19 0
SET 1 1 0
SET 1 2 1
SET 1 3 1
SET 1 4 0
SET 1 5 0
SET 1 6 1
SET 1 11 0
SET 1 13 1
SET 1 17 0
SET 1 18 0
STORE Domestic
EMPTY 11 19
SET 0 3 1
SET 0 4 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 12 1
SET 0 16 1
SET 0 18 1
SET 1 0 1
SET 1 2 1
SET 1 4 1
SET 1 6 1
SET 1 7 1
SET 1 8 1
SET 1 10 1
SET 1 11 1
SET 1 14 1
SET 1 16 1
SET 1 18 1
SET 2 0 1
SET 2 1 1
SET 2 6 1
SET 2 8 1
SET 2 10 1
SET 2 11 1
SET 2 12 1
SET 2 14 1
SET 2 15 1
SET 2 16 1
SET 3 0 1
SET 3 1 1
SET 3 4 1
SET 3 5 1
SET 3 7 1
SET 3 8 1
SET 3 12 1
SET 3 13 1
SET 3 16 1
SET 3 18 1
SET 4 0 1
SET 4 1 1
SET 4 6 1
SET 4 8 1
SET 4 10 1
SET 4 11 1
SET 4 12 1
SET 4 14 1
SET 4 15 1
SET 4 16 1
SET 5 0 1
SET 5 1 1
SET 5 2 1
SET 5 9 1
SET 5 10 1
SET 5 13 1
SET 5 14 1
SET 5 15 1
SET 6 0 1
SET 6 2 1
SET 6 5 1
SET 6 8 1
SET 6 12 1
SET 6 16 1
SET 6 18 1
SET 7 2 1
SET 7 4 1
SET 7 6 1
SET 7 7 1
SET 7 9 1
SET 7 10 1
SET 7 11 1
SET 7 13 1
SET 7 14 1
SET 7 16 1
SET 7 17 1
SET 8 2 1
SET 8 7 1
SET 8 9 1
SET 8 11 1
SET 8 12 1
SET 8 13 1
SET 8 15 1
SET 8 16 1
SET 9 2 1
SET 9 3 1
SET 9 5 1
SET 9 6 1
SET 9 8 1
SET 9 9 1
SET 9 10 1
SET 9 12 1
SET 9 13 1
SET 9 14 1
SET 9 15 1
SET 9 17 1
SET 10 0 1
SET 10 2 1
SET 10 7 1
SET 10 11 1
SET 10 12 1
SET 10 16 1
STORE Bouncy
SUM Nora Bouncy
STORE Intersect
PRINT 4
RECALL Nora
WRITE Lazarus.txt
RECALL Intersect
SWAP 8 3
STORE Fairgoer
WRITE Adelia.txt
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-11-4-0.txt
STORE Inductance
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-12-4-1.txt
STORE Fedora
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-09-4-1.txt
STORE Southern
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-03-3-2.txt
STORE Marshal
RECALL Brandy
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-03-4-2.txt
STORE Circumpolar
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-11-02-4-3.txt
STORE Feminine
