READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-11-4-2.txt
STORE Madeline
RECALL Madeline
SUBMATRIX 0 1 2 4 6 8 9 10 11 12 13 14 15 16 17 18 20 22 23 24 25 27 28 31 33 34 35 36 38 39 41
PRINT 14
VAL 23 17
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-12-4-1.txt
STORE Vantage
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-08-4-1.txt
STORE Wolfish
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-03-4-0.txt
STORE Shelter
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-03-4-1.txt
STORE Fabric
ALL
RECALL Madeline
+= 28 14
STORE Paramus
PRINT 9
RECALL Shelter
WRITE Skullduggery.txt
EMPTY 5 15
SET 0 2 1
SET 0 5 1
SET 0 8 1
SET 0 9 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 14 1
SET 1 4 1
SET 1 5 1
SET 1 9 1
SET 1 13 1
SET 1 14 1
SET 2 0 1
SET 2 1 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 7 1
SET 2 11 1
SET 2 12 1
SET 2 14 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 4 1
SET 3 6 1
SET 3 8 1
SET 3 13 1
SET 3 14 1
SET 4 1 1
SET 4 4 1
SET 4 7 1
SET 4 10 1
SET 4 12 1
STORE Alpheratz
SET 0 1 1
SET 0 2 0
SET 0 6 1
SET 0 7 1
SET 0 8 0
SET 0 11 0
SET 0 13 1
SET 0 14 0
SET 1 2 1
SET 1 4 0
SET 1 5 0
SET 1 7 1
SET 1 8 1
SET 1 9 0
SET 1 12 1
SET 1 14 0
SET 2 1 0
SET 2 3 0
SET 2 4 0
SET 2 5 0
SET 2 7 0
SET 2 9 1
SET 2 11 0
SET 2 14 0
SET 3 1 0
SET 3 2 0
SET 3 3 1
SET 3 4 0
SET 3 7 1
SET 3 13 0
SET 3 14 0
SET 4 3 1
SET 4 9 1
SET 4 10 0
SET 4 11 1
SET 4 12 0
STORE Craftspeople
EMPTY 3 5
SET 0 1 1
SET 0 3 1
SET 0 4 1
SET 1 0 1
SET 1 2 1
SET 1 4 1
SET 2 3 1
SET 2 4 1
STORE Thimble
SET 0 0 1
SET 0 4 0
SET 1 0 0
SET 1 1 1
SET 1 3 1
SET 1 4 0
SET 2 0 1
SET 2 2 1
SET 2 3 0
STORE Visage
EMPTY 8 11
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 10 1
SET 1 0 1
SET 1 1 1
SET 1 5 1
SET 1 7 1
SET 1 9 1
SET 2 5 1
SET 2 8 1
SET 2 9 1
SET 2 10 1
SET 3 0 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 3 6 1
SET 3 7 1
SET 3 8 1
SET 4 1 1
SET 4 2 1
SET 4 3 1
SET 4 7 1
SET 4 10 1
SET 5 0 1
SET 5 1 1
SET 5 4 1
SET 5 5 1
SET 5 6 1
SET 5 8 1
SET 5 10 1
SET 6 0 1
SET 6 4 1
SET 6 5 1
SET 6 9 1
SET 6 10 1
SET 7 2 1
SET 7 4 1
SET 7 7 1
SET 7 10 1
STORE Slip
SET 0 3 0
SET 0 5 1
SET 0 6 0
SET 0 8 0
SET 1 0 0
SET 1 3 1
SET 1 4 1
SET 1 5 0
SET 1 6 1
SET 2 0 1
SET 2 1 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 6 1
SET 2 10 0
SET 3 0 0
SET 3 2 0
