READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-11-4-0.txt
STORE Ashland
VAL 28 10
VAL 24 13
RECALL Ashland
WRITE Stableman.txt
EMPTY 16 19
STORE Kochab
RECALL Kochab
WRITE Argentina.txt
RECALL Kochab
PRINT 8
EMPTY 13 7
SET 0 0 1
SET 0 1 1
SET 0 5 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 2 0 1
SET 2 1 1
SET 2 3 1
SET 2 4 1
SET 3 1 1
SET 3 2 1
SET 3 5 1
SET 4 0 1
SET 4 1 1
SET 4 4 1
SET 4 5 1
SET 5 2 1
SET 5 5 1
SET 5 6 1
SET 6 0 1
SET 6 3 1
SET 6 4 1
SET 6 5 1
SET 6 6 1
SET 7 1 1
SET 7 2 1
SET 7 4 1
SET 7 5 1
SET 8 4 1
SET 8 6 1
SET 9 0 1
SET 9 1 1
SET 9 2 1
SET 9 5 1
SET 9 6 1
SET 10 0 1
SET 10 2 1
SET 10 3 1
SET 10 4 1
SET 12 1 1
SET 12 2 1
SET 12 3 1
SET 12 6 1
STORE Vientiane
SET 0 0 0
SET 0 1 0
SET 0 4 1
SET 0 5 0
SET 0 6 1
SET 1 2 0
SET 1 5 1
SET 1 6 1
SET 2 0 0
SET 2 1 0
SET 2 2 1
SET 2 3 0
SET 2 5 1
SET 3 0 1
SET 3 2 0
SET 3 3 1
SET 3 4 1
SET 3 5 0
SET 3 6 1
SET 4 0 0
SET 4 2 1
SET 4 3 1
SET 4 4 0
SET 4 6 1
SET 5 0 1
SET 5 2 0
SET 5 4 1
SET 5 5 0
SET 5 6 0
SET 6 6 0
SET 7 0 1
SET 7 3 1
SET 7 4 0
SET 7 5 0
SET 7 6 1
SET 8 0 1
SET 8 1 1
SET 9 0 0
SET 9 3 1
SET 10 0 0
SET 10 1 1
SET 10 3 0
SET 10 5 1
SET 11 0 1
SET 11 1 1
SET 11 3 1
SET 11 4 1
SET 12 4 1
SET 12 5 1
STORE Terminable
EMPTY 8 23
SET 0 0 1
SET 0 3 1
SET 0 4 1
SET 0 6 1
SET 0 8 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 0 14 1
SET 0 15 1
SET 0 17 1
SET 0 21 1
SET 1 0 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 9 1
SET 1 11 1
SET 1 12 1
SET 1 16 1
SET 1 18 1
SET 1 20 1
SET 2 5 1
SET 2 6 1
SET 2 10 1
SET 2 14 1
SET 2 15 1
SET 2 16 1
SET 2 18 1
SET 2 20 1
SET 2 22 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 6 1
SET 3 7 1
SET 3 12 1
SET 3 20 1
SET 3 21 1
SET 3 22 1
SET 4 3 1
SET 4 4 1
SET 4 5 1
SET 4 7 1
SET 4 8 1
SET 4 12 1
SET 4 13 1
SET 4 17 1
SET 4 19 1
SET 4 22 1
SET 5 0 1
SET 5 1 1
SET 5 4 1
SET 5 5 1
SET 5 6 1
SET 5 9 1
SET 5 10 1
SET 5 12 1
SET 5 14 1
SET 5 15 1
SET 5 17 1
SET 5 18 1
SET 6 0 1
SET 6 1 1
SET 6 3 1
SET 6 5 1
SET 6 6 1
SET 6 8 1
SET 6 10 1
SET 6 13 1
SET 6 16 1
SET 6 18 1
SET 7 3 1
SET 7 6 1
SET 7 7 1
SET 7 8 1
SET 7 9 1
SET 7 11 1
SET 7 13 1
SET 7 15 1
SET 7 17 1
SET 7 19 1
SET 7 22 1
STORE Segovia
SET 0 1 1
SET 0 3 0
SET 0 5 1
SET 0 6 0
SET 0 9 1
SET 0 10 0
SET 0 11 0
SET 0 12 0
SET 0 13 0
SET 0 15 0
SET 0 16 1
SET 1 0 0
SET 1 2 0
SET 1 3 0
SET 1 4 0
SET 1 6 1
SET 1 8 1
SET 1 10 1
SET 1 14 1
SET 1 16 0
SET 1 18 0
SET 1 20 0
SET 2 1 1
SET 2 3 1
SET 2 4 1
SET 2 5 0
SET 2 8 1
SET 2 11 1
SET 2 12 1
SET 2 13 1
SET 2 15 0
SET 2 16 0
SET 2 17 1
SET 2 18 0
SET 2 19 1
SET 2 20 0
SET 2 21 1
SET 3 0 0
SET 3 4 0
SET 3 11 1
SET 3 13 1
SET 3 15 1
SET 3 16 1
SET 3 18 1
SET 3 22 0
SET 4 0 1
SET 4 1 1
SET 4 3 0
SET 4 5 0
SET 4 7 0
SET 4 8 0
SET 4 10 1
SET 4 13 0
SET 4 14 1
SET 4 18 1
SET 4 19 0
SET 4 22 0
SET 5 1 0
SET 5 3 1
SET 5 5 0
SET 5 7 1
SET 5 8 1
SET 5 12 0
SET 5 13 1
SET 5 20 1
SET 6 0 0
SET 6 1 0
SET 6 2 1
SET 6 7 1
SET 6 11 1
SET 6 12 1
SET 6 14 1
SET 6 15 1
SET 6 16 0
SET 6 21 1
SET 7 0 1
SET 7 4 1
SET 7 5 1
SET 7 6 0
SET 7 7 0
SET 7 10 1
SET 7 11 0
SET 7 14 1
SET 7 15 0
SET 7 16 1
SET 7 17 0
SET 7 20 1
SET 7 22 0
STORE Rudiment
EMPTY 8 12
SET 0 0 1
SET 0 1 1
SET 0 3 1
SET 0 5 1
SET 0 10 1
SET 0 11 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 5 1
SET 1 7 1
SET 1 9 1
SET 1 11 1
SET 2 0 1
SET 2 1 1
SET 2 2 1
SET 2 5 1
SET 2 9 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 7 1
