READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-04-4-4.txt
STORE Involute
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-11-4-0.txt
STORE Hap
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-03-4-0.txt
STORE Ackley
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-11-4-2.txt
STORE Someplace
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-04-4-2.txt
STORE Mastodon
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-07-4-2.txt
STORE Gaylord
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-02-4-1.txt
STORE Metric
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-06-4-4.txt
STORE Jinx
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-02-4-3.txt
STORE Furry
RECALL Jinx
SUBMATRIX 4 5 7 8 9 11 15 16 17 18 19 21
WRITE Mallow.txt
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-11-03-4-0.txt
STORE Partner
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-02-4-2.txt
STORE Blonde
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-07-4-3.txt
STORE Justine
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-10-06-4-4.txt
STORE Infimum
EMPTY 14 21
SET 0 0 1
SET 0 3 1
SET 0 4 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 11 1
SET 0 12 1
SET 0 16 1
SET 0 17 1
SET 1 1 1
SET 1 4 1
SET 1 7 1
SET 1 8 1
SET 1 9 1
SET 1 10 1
SET 1 11 1
SET 1 13 1
SET 1 18 1
SET 1 19 1
SET 2 2 1
SET 2 6 1
SET 2 7 1
SET 2 8 1
SET 2 9 1
SET 2 10 1
SET 2 11 1
SET 2 12 1
SET 2 13 1
SET 2 14 1
SET 2 15 1
SET 2 19 1
SET 2 20 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 6 1
SET 3 8 1
SET 3 10 1
SET 3 15 1
SET 3 16 1
SET 3 18 1
SET 4 0 1
SET 4 3 1
SET 4 6 1
SET 4 8 1
SET 4 12 1
SET 4 16 1
SET 4 17 1
SET 4 18 1
SET 4 20 1
SET 5 0 1
SET 5 2 1
SET 5 3 1
SET 5 7 1
SET 5 12 1
SET 5 13 1
SET 5 17 1
SET 5 18 1
SET 5 20 1
SET 6 1 1
SET 6 5 1
SET 6 8 1
SET 6 11 1
SET 6 14 1
SET 6 17 1
SET 6 20 1
SET 7 0 1
SET 7 1 1
SET 7 9 1
SET 7 11 1
SET 7 12 1
SET 7 15 1
SET 7 17 1
SET 7 19 1
SET 8 5 1
SET 8 7 1
SET 8 8 1
SET 8 9 1
