READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-09-4-0.txt
STORE Bethesda
RECALL Dribble
EMPTY 12 9
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 4 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 7 1
SET 2 1 1
SET 2 2 1
SET 2 5 1
SET 2 7 1
SET 3 0 1
SET 3 6 1
SET 4 2 1
SET 4 3 1
SET 4 4 1
SET 4 5 1
SET 4 6 1
SET 5 0 1
SET 5 2 1
SET 5 4 1
SET 5 5 1
SET 5 6 1
SET 5 7 1
SET 5 8 1
SET 6 0 1
SET 6 3 1
SET 6 4 1
SET 6 6 1
SET 6 7 1
SET 7 3 1
SET 7 4 1
SET 7 6 1
SET 7 7 1
SET 7 8 1
SET 8 0 1
SET 8 4 1
SET 9 0 1
SET 9 4 1
SET 9 5 1
SET 10 4 1
SET 10 5 1
SET 10 7 1
SET 11 2 1
SET 11 4 1
SET 11 5 1
SET 11 8 1
STORE Benzedrine
SET 0 0 0
SET 0 1 0
SET 0 2 0
SET 0 5 1
SET 1 1 0
SET 1 3 0
SET 1 4 0
SET 1 6 0
SET 1 7 0
SET 1 8 1
SET 2 4 1
SET 2 5 0
SET 2 6 1
SET 2 8 1
SET 3 0 0
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 7 1
SET 3 8 1
SET 4 2 0
SET 4 3 0
SET 4 4 0
SET 4 5 0
SET 4 7 1
SET 5 0 0
SET 5 3 1
SET 5 4 0
SET 5 6 0
SET 6 2 1
SET 6 3 0
SET 6 6 0
SET 6 8 1
SET 7 3 0
SET 7 5 1
SET 7 7 0
SET 7 8 0
SET 8 6 1
SET 8 7 1
SET 9 0 0
SET 9 1 1
SET 9 2 1
SET 9 7 1
SET 9 8 1
SET 10 0 1
SET 10 1 1
SET 10 3 1
SET 10 4 0
SET 10 5 0
SET 10 7 0
SET 11 0 1
SET 11 2 0
SET 11 4 0
SET 11 8 0
STORE Snapdragon
EMPTY 5 8
SET 0 1 1
SET 0 3 1
SET 0 5 1
SET 0 6 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 7 1
SET 2 1 1
SET 2 2 1
SET 2 5 1
SET 2 7 1
SET 3 2 1
SET 3 3 1
SET 3 5 1
SET 3 6 1
SET 4 0 1
SET 4 2 1
SET 4 3 1
SET 4 4 1
STORE Alcoholism
SET 0 1 0
SET 0 3 0
SET 0 6 0
SET 0 7 1
SET 1 1 0
SET 1 3 0
SET 1 7 0
SET 2 0 1
SET 2 3 1
SET 2 4 1
SET 2 5 0
SET 2 7 0
SET 3 1 1
SET 3 4 1
SET 3 6 0
SET 4 0 0
SET 4 2 0
SET 4 3 0
SET 4 4 0
SET 4 5 1
STORE Shrike
EMPTY 9 6
SET 0 1 1
SET 0 2 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 2 3 1
SET 2 4 1
SET 3 0 1
SET 3 2 1
SET 4 3 1
SET 4 4 1
SET 5 1 1
SET 5 2 1
SET 5 4 1
SET 5 5 1
SET 6 1 1
SET 6 2 1
SET 7 2 1
SET 7 4 1
SET 7 5 1
SET 8 4 1
STORE Juneau
SET 0 1 0
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 1 1 0
SET 1 5 0
SET 2 0 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 4 3 0
SET 4 5 1
SET 5 0 1
SET 5 1 0
SET 5 3 1
SET 5 5 0
SET 7 0 1
SET 7 1 1
SET 7 2 0
SET 7 3 1
SET 8 1 1
STORE Browse
EMPTY 14 3
SET 0 0 1
SET 1 1 1
SET 2 1 1
SET 2 2 1
SET 3 1 1
SET 4 0 1
SET 5 1 1
SET 5 2 1
SET 6 0 1
SET 6 1 1
SET 7 0 1
SET 7 2 1
SET 9 0 1
SET 10 1 1
SET 10 2 1
SET 11 2 1
SET 12 0 1
SET 13 0 1
STORE Centenary
SET 0 1 1
SET 0 2 1
SET 1 1 0
SET 1 2 1
SET 2 0 1
SET 2 1 0
SET 3 1 0
SET 4 1 1
SET 4 2 1
SET 5 0 1
SET 5 1 0
SET 6 0 0
SET 7 0 0
SET 9 1 1
SET 10 1 0
SET 11 0 1
SET 11 1 1
SET 12 1 1
SET 13 0 0
SET 13 1 1
SET 13 2 1
STORE Doldrums
ALL
VAL 8 1
RECALL Bethesda
SWAP 29 23
STORE Compulsion
PRINT 17
EMPTY 11 7
SET 0 1 1
SET 0 2 1
SET 0 4 1
SET 0 5 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 2 1 1
SET 2 3 1
SET 2 4 1
SET 2 6 1
SET 3 1 1
SET 3 4 1
SET 4 1 1
SET 4 4 1
SET 5 0 1
SET 5 1 1
SET 5 2 1
SET 5 4 1
SET 5 5 1
SET 5 6 1
SET 6 0 1
SET 6 2 1
SET 6 4 1
SET 7 1 1
SET 7 4 1
SET 7 5 1
SET 7 6 1
SET 8 0 1
SET 8 3 1
SET 8 6 1
SET 9 3 1
SET 10 1 1
SET 10 3 1
SET 10 5 1
STORE Expatiate
SET 0 0 1
SET 0 3 1
SET 0 4 0
SET 0 6 1
SET 1 1 0
SET 1 2 0
SET 1 3 1
SET 1 6 0
SET 2 0 1
SET 2 2 1
SET 2 3 0
SET 2 4 0
SET 2 5 1
SET 3 2 1
SET 3 3 1
SET 3 4 0
