READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-06-4-3.txt
STORE Avow
EMPTY 5 13
SET 0 3 1
SET 0 5 1
SET 1 4 1
SET 1 5 1
SET 1 8 1
SET 1 9 1
SET 1 11 1
SET 2 0 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 8 1
SET 2 9 1
SET 2 10 1
SET 2 11 1
SET 3 4 1
SET 3 5 1
SET 3 7 1
SET 3 9 1
SET 4 3 1
SET 4 4 1
SET 4 7 1
SET 4 10 1
SET 4 11 1
SET 4 12 1
STORE Custodial
EMPTY 14 8
SET 0 1 1
SET 0 6 1
SET 0 7 1
SET 1 0 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 7 1
SET 2 0 1
SET 2 1 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 7 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 5 1
SET 3 7 1
SET 4 0 1
SET 4 1 1
SET 4 3 1
SET 4 6 1
SET 4 7 1
SET 5 1 1
SET 5 2 1
SET 5 3 1
SET 5 4 1
SET 6 3 1
SET 6 5 1
SET 6 6 1
SET 7 0 1
SET 7 1 1
SET 7 3 1
SET 7 6 1
SET 8 0 1
SET 8 4 1
SET 9 0 1
SET 9 1 1
SET 9 5 1
SET 9 6 1
SET 9 7 1
SET 10 0 1
SET 10 1 1
SET 10 2 1
SET 10 5 1
SET 10 6 1
SET 10 7 1
SET 11 2 1
SET 11 4 1
SET 12 0 1
SET 12 2 1
SET 12 4 1
SET 12 5 1
SET 13 0 1
SET 13 1 1
SET 13 2 1
SET 13 3 1
SET 13 7 1
STORE Stayed
SET 0 0 1
SET 0 1 0
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 7 0
SET 1 0 0
SET 1 1 1
SET 1 3 0
SET 1 4 0
SET 1 7 0
SET 2 1 0
SET 2 4 0
SET 2 6 0
SET 3 3 1
SET 3 6 1
SET 4 1 0
SET 4 2 1
SET 4 4 1
SET 4 5 1
SET 5 2 0
SET 5 4 0
SET 5 6 1
SET 6 3 0
SET 6 4 1
SET 6 6 0
SET 6 7 1
SET 7 0 0
SET 7 1 0
SET 7 2 1
SET 7 5 1
SET 7 6 0
SET 7 7 1
SET 8 3 1
SET 8 4 0
SET 8 6 1
SET 9 1 0
SET 9 4 1
SET 10 3 1
SET 10 6 0
SET 10 7 0
SET 11 0 1
SET 11 5 1
SET 11 6 1
SET 12 0 0
SET 12 2 0
SET 12 6 1
SET 12 7 1
SET 13 0 0
SET 13 1 0
SET 13 2 0
SET 13 3 0
SET 13 5 1
SET 13 6 1
STORE Rococo
EMPTY 4 19
SET 0 0 1
SET 0 1 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 7 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 5 1
SET 1 7 1
SET 1 9 1
SET 1 10 1
SET 1 11 1
SET 1 12 1
SET 1 13 1
SET 1 14 1
SET 1 17 1
SET 1 18 1
SET 2 2 1
SET 2 5 1
SET 2 8 1
SET 2 9 1
SET 2 10 1
SET 2 11 1
SET 2 12 1
SET 2 14 1
SET 2 17 1
SET 2 18 1
SET 3 0 1
SET 3 1 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 3 11 1
SET 3 15 1
SET 3 17 1
SET 3 18 1
STORE Invitation
SET 0 0 0
SET 0 1 0
SET 0 2 1
SET 0 3 0
SET 0 5 0
SET 0 7 0
SET 0 9 1
SET 0 16 1
SET 1 0 0
SET 1 6 1
SET 1 9 0
SET 1 11 0
SET 1 12 0
SET 1 13 0
SET 1 16 1
SET 1 18 0
SET 2 0 1
SET 2 4 1
SET 2 6 1
SET 2 10 0
SET 2 11 0
SET 2 16 1
SET 3 0 0
SET 3 1 0
SET 3 3 0
SET 3 5 0
SET 3 6 1
SET 3 8 1
SET 3 9 1
SET 3 10 1
SET 3 11 0
SET 3 12 1
SET 3 13 1
SET 3 14 1
SET 3 15 0
STORE Bedfast
EMPTY 11 9
SET 0 0 1
SET 0 1 1
SET 0 3 1
SET 0 4 1
SET 0 8 1
SET 1 0 1
SET 1 3 1
SET 1 5 1
SET 1 6 1
SET 1 7 1
SET 2 3 1
SET 2 5 1
SET 2 7 1
SET 2 8 1
SET 3 0 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 7 1
SET 3 8 1
SET 4 0 1
SET 4 7 1
SET 4 8 1
SET 5 2 1
SET 5 3 1
SET 5 4 1
SET 5 8 1
SET 6 1 1
SET 6 4 1
SET 6 7 1
SET 7 2 1
SET 7 6 1
SET 7 8 1
SET 8 2 1
SET 8 4 1
SET 8 6 1
SET 8 7 1
SET 9 0 1
SET 9 1 1
SET 9 2 1
SET 9 4 1
SET 9 5 1
SET 9 7 1
SET 9 8 1
SET 10 3 1
SET 10 8 1
STORE Beige
SET 0 0 0
SET 0 5 1
SET 0 7 1
SET 1 0 0
SET 1 3 0
SET 1 4 1
SET 1 6 0
SET 1 8 1
SET 2 1 1
SET 2 2 1
SET 2 6 1
SET 3 0 0
SET 3 1 1
SET 3 2 0
SET 3 4 0
SET 3 5 1
SET 3 7 0
SET 3 8 0
SET 4 0 0
SET 4 1 1
SET 4 5 1
SET 4 6 1
SET 4 7 0
SET 4 8 0
SET 5 1 1
SET 5 2 0
SET 5 3 0
SET 5 4 0
SET 5 5 1
SET 5 6 1
SET 5 8 0
SET 6 0 1
SET 6 1 0
SET 6 5 1
SET 6 8 1
SET 7 1 1
SET 7 2 0
SET 7 3 1
SET 7 5 1
SET 7 6 0
SET 7 7 1
SET 8 0 1
SET 8 1 1
SET 9 1 0
SET 9 2 0
SET 9 6 1
SET 9 7 0
SET 9 8 0
SET 10 0 1
SET 10 1 1
SET 10 2 1
SET 10 4 1
SET 10 5 1
STORE Farm
EMPTY 10 6
SET 0 0 1
SET 0 2 1
SET 0 5 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 2 0 1
SET 2 2 1
SET 2 3 1
SET 2 5 1
SET 3 0 1
SET 3 1 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 4 1 1
SET 4 2 1
SET 4 5 1
SET 5 1 1
SET 5 5 1
SET 6 0 1
SET 6 2 1
SET 6 4 1
SET 7 1 1
SET 7 2 1
SET 8 0 1
SET 8 1 1
