READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-06-4-1.txt
STORE Nightmarish
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-06-4-1.txt
STORE Karate
SUM Nightmarish Karate
STORE Perfusion
PRINT 7
RECALL Nightmarish
SWAP 3 1
STORE Ought
WRITE Inroad.txt
EMPTY 14 3
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 2 0 1
SET 2 1 1
SET 2 2 1
SET 3 0 1
SET 3 1 1
SET 4 1 1
SET 4 2 1
SET 5 2 1
SET 6 1 1
SET 7 0 1
SET 9 0 1
SET 10 2 1
SET 11 0 1
SET 11 1 1
SET 11 2 1
SET 12 0 1
SET 13 0 1
SET 13 2 1
STORE Unix
SET 0 0 0
SET 2 1 0
SET 2 2 0
SET 4 0 1
SET 4 2 0
SET 5 2 0
SET 6 0 1
SET 7 1 1
SET 7 2 1
SET 8 0 1
SET 9 0 0
SET 9 1 1
SET 10 2 0
SET 11 1 0
SET 11 2 0
SET 12 0 0
SET 12 1 1
SET 12 2 1
SET 13 0 0
SET 13 2 0
STORE Canon
EMPTY 13 6
SET 0 2 1
SET 0 3 1
SET 0 5 1
SET 1 3 1
SET 1 5 1
SET 2 0 1
SET 2 3 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 4 0 1
SET 4 1 1
SET 4 3 1
SET 5 0 1
SET 5 3 1
SET 5 5 1
SET 6 0 1
SET 6 2 1
SET 6 4 1
SET 6 5 1
SET 7 0 1
SET 7 2 1
SET 7 3 1
SET 7 4 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 9 4 1
SET 9 5 1
SET 10 3 1
SET 10 4 1
SET 11 0 1
SET 11 2 1
SET 11 3 1
SET 11 4 1
SET 12 0 1
SET 12 2 1
SET 12 5 1
STORE Freshman
SET 0 0 1
SET 0 2 0
SET 0 3 0
SET 1 0 1
SET 1 1 1
SET 1 3 0
SET 1 4 1
SET 1 5 0
SET 2 0 0
SET 2 2 1
SET 2 3 0
SET 2 4 1
SET 2 5 1
SET 3 4 0
SET 4 1 0
SET 4 2 1
SET 4 4 1
SET 4 5 1
SET 5 0 0
SET 5 1 1
SET 5 3 0
SET 5 5 0
SET 6 0 0
SET 6 1 1
SET 6 2 0
SET 6 4 0
SET 6 5 0
SET 7 2 0
SET 7 3 0
SET 7 4 0
SET 8 2 0
SET 8 5 1
SET 9 0 1
SET 9 2 1
SET 9 3 1
SET 10 0 1
SET 10 4 0
SET 10 5 1
SET 11 2 0
SET 11 4 0
SET 11 5 1
SET 12 0 0
SET 12 3 1
STORE Orphanage
EMPTY 6 20
SET 0 0 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 13 1
SET 0 15 1
SET 0 16 1
SET 0 18 1
SET 1 0 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 7 1
SET 1 8 1
SET 1 13 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 1 17 1
SET 2 5 1
SET 2 9 1
SET 2 11 1
SET 2 12 1
SET 2 16 1
SET 2 17 1
SET 2 18 1
SET 2 19 1
SET 3 0 1
SET 3 1 1
SET 3 5 1
SET 3 6 1
SET 3 8 1
SET 3 10 1
SET 3 17 1
SET 3 18 1
SET 4 1 1
SET 4 2 1
SET 4 4 1
SET 4 5 1
SET 4 7 1
SET 4 8 1
SET 4 14 1
SET 4 16 1
SET 4 17 1
SET 5 2 1
SET 5 6 1
SET 5 7 1
SET 5 8 1
SET 5 9 1
SET 5 10 1
SET 5 12 1
SET 5 13 1
SET 5 14 1
SET 5 16 1
SET 5 19 1
STORE Paine
ALL
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-11-4-0.txt
STORE Karamazov
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-11-4-3.txt
STORE Inhabit
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-02-4-0.txt
STORE Intervene
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-06-4-4.txt
STORE Linden
VAL 1 17
EMPTY 4 11
STORE Hundredth
EMPTY 13 1
SET 2 0 1
SET 3 0 1
SET 4 0 1
SET 6 0 1
SET 7 0 1
SET 8 0 1
SET 11 0 1
SET 12 0 1
STORE Convulse
SET 2 0 0
SET 10 0 1
SET 11 0 0
SET 12 0 0
STORE Car
EMPTY 16 3
SET 0 0 1
SET 0 2 1
SET 2 0 1
SET 3 0 1
SET 3 1 1
SET 4 0 1
SET 4 2 1
SET 6 0 1
SET 6 1 1
SET 6 2 1
SET 7 0 1
SET 7 2 1
SET 8 1 1
SET 9 2 1
SET 11 0 1
SET 11 1 1
SET 12 1 1
SET 12 2 1
SET 13 2 1
SET 14 2 1
SET 15 0 1
SET 15 1 1
STORE Stub
SET 0 0 0
SET 0 1 1
SET 1 1 1
SET 2 0 0
SET 2 2 1
SET 3 2 1
SET 4 0 0
SET 4 1 1
SET 4 2 0
SET 5 0 1
SET 6 0 0
SET 6 2 0
SET 7 0 0
SET 8 0 1
SET 8 1 0
SET 9 1 1
SET 10 0 1
SET 10 1 1
SET 10 2 1
SET 11 1 0
SET 12 0 1
SET 12 2 0
SET 14 0 1
SET 14 1 1
SET 14 2 0
SET 15 1 0
SET 15 2 1
STORE Greenberg
RECALL Orphanage
SUBMATRIX 0 1 2 3 6 7 8 9 10 11 12
WRITE Improvise.txt
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-02-3-0.txt
STORE Will
