READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-03-4-1.txt
STORE Confabulate
RECALL Confabulate
WRITE Strain.txt
RECALL Confabulate
PRINT 13
RECALL Confabulate
WRITE Gunflint.txt
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-08-4-4.txt
STORE Texaco
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-02-4-0.txt
STORE Anaglyph
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-02-4-0.txt
STORE Plea
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-02-4-1.txt
STORE Prima
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-08-4-3.txt
STORE Thereupon
SUM Texaco Thereupon
STORE Quarantine
PRINT 8
ALL
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-05-4-0.txt
STORE Deterring
PRODUCT Quarantine Deterring
STORE Garlic
PRINT 15
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-10-4-1.txt
STORE Extra
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-03-3-2.txt
STORE Trumbull
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-04-4-1.txt
STORE Flurry
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-02-4-2.txt
STORE Biz
RECALL Backyard
ALL
EMPTY 11 24
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 6 1
SET 0 7 1
SET 0 9 1
SET 0 10 1
SET 0 14 1
SET 0 15 1
SET 0 18 1
SET 0 20 1
SET 0 21 1
SET 1 0 1
SET 1 1 1
SET 1 5 1
SET 1 8 1
SET 1 9 1
SET 1 10 1
SET 1 13 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 1 18 1
SET 1 19 1
SET 1 21 1
SET 1 22 1
SET 2 4 1
SET 2 6 1
SET 2 7 1
SET 2 8 1
SET 2 9 1
SET 2 12 1
SET 2 13 1
SET 2 14 1
SET 2 16 1
SET 2 17 1
SET 2 18 1
SET 3 5 1
SET 3 6 1
SET 3 7 1
SET 3 10 1
SET 3 15 1
SET 3 17 1
SET 3 19 1
SET 3 21 1
SET 3 22 1
SET 3 23 1
SET 4 0 1
SET 4 3 1
SET 4 5 1
SET 4 6 1
SET 4 8 1
SET 4 9 1
SET 4 11 1
SET 4 12 1
SET 4 14 1
SET 4 16 1
SET 4 17 1
SET 4 18 1
SET 4 20 1
SET 4 21 1
SET 4 22 1
SET 5 2 1
SET 5 5 1
SET 5 8 1
SET 5 9 1
SET 5 10 1
SET 5 12 1
SET 5 13 1
SET 5 14 1
SET 5 15 1
SET 5 18 1
SET 5 19 1
SET 5 20 1
SET 5 23 1
SET 6 1 1
SET 6 3 1
SET 6 4 1
SET 6 5 1
SET 6 7 1
SET 6 8 1
SET 6 10 1
SET 6 11 1
SET 6 13 1
SET 6 14 1
SET 6 16 1
SET 6 17 1
SET 6 19 1
SET 6 20 1
SET 7 0 1
SET 7 1 1
SET 7 2 1
SET 7 3 1
SET 7 4 1
SET 7 5 1
SET 7 6 1
SET 7 8 1
SET 7 11 1
SET 7 12 1
SET 7 14 1
SET 7 16 1
SET 7 18 1
SET 7 19 1
SET 7 20 1
SET 7 21 1
SET 7 22 1
SET 7 23 1
SET 8 1 1
SET 8 5 1
SET 8 7 1
SET 8 9 1
SET 8 10 1
SET 8 11 1
SET 8 16 1
SET 8 18 1
SET 8 19 1
SET 8 23 1
SET 9 1 1
SET 9 3 1
SET 9 11 1
SET 9 12 1
SET 9 16 1
SET 9 20 1
SET 9 21 1
SET 9 22 1
SET 10 0 1
SET 10 2 1
SET 10 4 1
SET 10 5 1
SET 10 6 1
SET 10 7 1
SET 10 8 1
SET 10 9 1
SET 10 11 1
SET 10 12 1
SET 10 17 1
STORE Egalitarian
SET 0 0 0
SET 0 6 0
SET 0 8 1
SET 0 10 0
SET 0 11 1
SET 0 12 1
SET 0 14 0
SET 0 15 0
SET 0 16 1
SET 0 17 1
SET 0 18 0
SET 0 20 0
SET 0 23 1
SET 1 0 0
SET 1 1 0
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 0
SET 1 7 1
SET 1 10 0
SET 1 12 1
SET 1 14 0
SET 1 16 0
SET 1 17 1
SET 1 19 0
SET 1 20 1
SET 1 22 0
SET 2 2 1
SET 2 3 1
SET 2 4 0
SET 2 5 1
SET 2 6 0
SET 2 9 0
SET 2 10 1
SET 2 13 0
SET 2 14 0
SET 2 15 1
SET 2 16 0
SET 2 17 0
SET 2 20 1
SET 3 4 1
SET 3 5 0
SET 3 6 0
SET 3 8 1
SET 3 9 1
SET 3 12 1
SET 3 14 1
SET 3 15 0
SET 3 16 1
SET 3 17 0
SET 3 18 1
SET 3 19 0
SET 3 20 1
SET 3 21 0
SET 3 22 0
SET 4 1 1
SET 4 3 0
SET 4 4 1
SET 4 6 0
SET 4 11 0
SET 4 12 0
SET 4 18 0
SET 4 20 0
SET 4 22 0
SET 5 2 0
SET 5 7 1
SET 5 11 1
SET 5 12 0
SET 5 14 0
SET 5 15 0
SET 5 18 0
SET 5 19 0
SET 5 20 0
SET 6 2 1
SET 6 3 0
SET 6 5 0
SET 6 6 1
SET 6 7 0
SET 6 9 1
SET 6 12 1
SET 6 13 0
SET 6 14 0
SET 6 15 1
SET 6 16 0
SET 6 22 1
SET 6 23 1
SET 7 1 0
SET 7 2 0
SET 7 5 0
SET 7 6 0
SET 7 9 1
SET 7 10 1
SET 7 11 0
SET 7 13 1
SET 7 14 0
SET 7 15 1
SET 7 16 0
