READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-07-4-0.txt
STORE Slavish
RECALL Slavish
SWAP 7 18
STORE Bernoulli
PRINT 16
RECALL Suicide
RECALL Slavish
SUBMATRIX 0 2 3 5 7 9 10 11 13 16 17 19 21 24 25 26
PRINT 11
RECALL Bernoulli
SWAP 14 21
STORE Flight
WRITE Suggest.txt
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-08-4-1.txt
STORE Vulnerable
PRODUCT Bernoulli Vulnerable
STORE Ghostlike
WRITE Calibrate.txt
RECALL Ghostlike
+= 26 6
STORE Retrofitting
WRITE Retinal.txt
SUM Ghostlike Retrofitting
STORE Halverson
WRITE Commandant.txt
RECALL Flight
WRITE Hippy.txt
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-03-4-2.txt
STORE Isadore
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-04-4-2.txt
STORE Sombre
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-08-4-0.txt
STORE Infinitude
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-09-4-2.txt
STORE Winemaster
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-04-4-0.txt
STORE Auerbach
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-07-4-4.txt
STORE Congruent
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-06-4-4.txt
STORE Alphonse
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-03-3-4.txt
STORE Upkeep
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-08-4-4.txt
STORE Prorate
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-10-04-4-1.txt
STORE Nagging
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-02-4-1.txt
STORE Cove
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-06-4-4.txt
STORE Deserve
VAL 7 25
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-11-4-2.txt
STORE Penitential
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-08-4-4.txt
STORE Basel
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-02-4-0.txt
STORE Easel
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-02-3-2.txt
STORE Chatham
ALL
RECALL Prorate
WRITE Sob.txt
EMPTY 12 16
SET 0 0 1
SET 0 1 1
SET 0 4 1
SET 0 9 1
SET 0 10 1
SET 0 11 1
SET 0 13 1
SET 0 14 1
SET 0 15 1
SET 1 0 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 7 1
SET 1 8 1
SET 1 9 1
SET 1 10 1
SET 1 11 1
SET 1 12 1
SET 1 13 1
SET 2 0 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 6 1
SET 2 9 1
SET 2 10 1
SET 2 12 1
SET 2 13 1
SET 2 14 1
SET 2 15 1
SET 3 6 1
SET 3 8 1
SET 3 9 1
SET 3 11 1
SET 3 12 1
SET 3 14 1
SET 4 1 1
SET 4 3 1
SET 4 7 1
SET 4 11 1
SET 4 12 1
SET 5 0 1
SET 5 1 1
SET 5 2 1
SET 5 3 1
SET 5 4 1
SET 5 5 1
SET 5 8 1
SET 5 9 1
SET 5 10 1
SET 5 13 1
SET 5 15 1
SET 6 3 1
SET 6 5 1
SET 6 7 1
SET 6 8 1
SET 6 11 1
SET 6 12 1
SET 6 13 1
SET 6 14 1
SET 7 2 1
SET 7 3 1
SET 7 5 1
SET 7 6 1
SET 7 7 1
SET 7 9 1
SET 7 12 1
SET 7 13 1
SET 8 0 1
SET 8 3 1
SET 8 8 1
SET 8 10 1
SET 8 11 1
SET 8 12 1
SET 8 13 1
SET 8 14 1
SET 9 0 1
SET 9 1 1
SET 9 2 1
SET 9 3 1
SET 9 5 1
SET 9 6 1
SET 9 7 1
SET 9 8 1
SET 9 9 1
SET 9 10 1
SET 9 12 1
SET 9 14 1
SET 10 1 1
SET 10 7 1
SET 10 8 1
SET 10 10 1
SET 10 13 1
SET 10 14 1
SET 11 0 1
SET 11 2 1
SET 11 3 1
SET 11 6 1
SET 11 9 1
SET 11 11 1
SET 11 15 1
STORE Garrison
SET 0 2 1
SET 0 3 1
SET 0 5 1
SET 0 6 1
SET 0 8 1
SET 0 9 0
SET 0 10 0
SET 0 14 0
SET 1 1 1
SET 1 2 0
SET 1 3 0
SET 1 4 0
SET 1 11 0
SET 1 12 0
SET 1 13 0
SET 2 1 1
SET 2 5 1
SET 2 8 1
SET 2 13 0
SET 2 14 0
SET 3 0 1
SET 3 1 1
SET 3 6 0
SET 3 10 1
SET 3 11 0
SET 3 12 0
SET 3 13 1
SET 3 14 0
SET 3 15 1
SET 4 2 1
SET 4 4 1
SET 4 5 1
SET 4 6 1
SET 4 7 0
SET 4 9 1
SET 4 10 1
SET 4 11 0
SET 4 12 0
SET 4 13 1
SET 5 1 0
SET 5 2 0
SET 5 6 1
SET 5 7 1
SET 5 8 0
SET 5 10 0
SET 5 12 1
SET 5 14 1
SET 6 1 1
SET 6 2 1
SET 6 5 0
SET 6 7 0
SET 6 8 0
SET 6 9 1
SET 6 11 0
SET 6 12 0
SET 6 14 0
SET 6 15 1
SET 7 0 1
SET 7 2 0
SET 7 6 0
SET 7 7 0
SET 7 9 0
SET 7 10 1
SET 7 11 1
SET 8 0 0
SET 8 1 1
SET 8 3 0
SET 8 5 1
SET 8 6 1
SET 8 8 0
SET 8 9 1
SET 8 12 0
SET 8 13 0
SET 9 0 0
SET 9 1 0
