READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-04-4-0.txt
STORE Contradistinct
EMPTY 14 25
SET 0 1 1
SET 0 2 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 12 1
SET 0 13 1
SET 0 14 1
SET 0 16 1
SET 0 17 1
SET 0 22 1
SET 0 23 1
SET 1 1 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 9 1
SET 1 10 1
SET 1 12 1
SET 1 15 1
SET 1 16 1
SET 1 19 1
SET 1 20 1
SET 1 21 1
SET 1 23 1
SET 1 24 1
SET 2 3 1
SET 2 4 1
SET 2 9 1
SET 2 12 1
SET 2 15 1
SET 2 16 1
SET 2 17 1
SET 2 18 1
SET 2 19 1
SET 2 21 1
SET 3 1 1
SET 3 2 1
SET 3 6 1
SET 3 10 1
SET 3 11 1
SET 3 12 1
SET 3 13 1
SET 3 14 1
SET 3 15 1
SET 3 16 1
SET 3 17 1
SET 3 18 1
SET 3 19 1
SET 3 23 1
SET 3 24 1
SET 4 1 1
SET 4 2 1
SET 4 3 1
SET 4 4 1
SET 4 6 1
SET 4 8 1
SET 4 10 1
SET 4 15 1
SET 4 16 1
SET 4 18 1
SET 4 21 1
SET 4 24 1
SET 5 2 1
SET 5 4 1
SET 5 8 1
SET 5 12 1
SET 5 13 1
SET 5 14 1
SET 5 16 1
SET 5 17 1
SET 5 19 1
SET 5 20 1
SET 5 24 1
SET 6 4 1
SET 6 5 1
SET 6 9 1
SET 6 10 1
SET 6 12 1
SET 6 14 1
SET 6 18 1
SET 6 21 1
SET 6 24 1
SET 7 2 1
SET 7 5 1
SET 7 8 1
SET 7 9 1
SET 7 10 1
SET 7 18 1
SET 7 20 1
SET 7 21 1
SET 7 24 1
SET 8 1 1
SET 8 3 1
SET 8 10 1
SET 8 12 1
SET 8 13 1
SET 8 14 1
SET 8 16 1
SET 8 18 1
SET 8 22 1
SET 8 23 1
SET 8 24 1
SET 9 0 1
SET 9 2 1
SET 9 5 1
SET 9 6 1
SET 9 7 1
SET 9 9 1
SET 9 11 1
SET 9 13 1
SET 9 14 1
SET 9 15 1
SET 9 16 1
SET 9 17 1
SET 9 18 1
SET 9 19 1
SET 9 22 1
SET 9 23 1
SET 9 24 1
SET 10 1 1
SET 10 2 1
SET 10 3 1
SET 10 7 1
SET 10 9 1
SET 10 11 1
SET 10 18 1
SET 10 21 1
SET 10 22 1
SET 10 23 1
SET 10 24 1
SET 11 1 1
SET 11 2 1
SET 11 3 1
SET 11 4 1
SET 11 5 1
SET 11 6 1
SET 11 7 1
SET 11 11 1
SET 11 12 1
SET 11 13 1
SET 11 17 1
SET 11 20 1
SET 11 21 1
SET 11 22 1
SET 12 0 1
SET 12 1 1
SET 12 2 1
SET 12 4 1
SET 12 6 1
SET 12 7 1
SET 12 11 1
SET 12 12 1
SET 12 16 1
SET 12 17 1
SET 12 20 1
SET 12 22 1
SET 13 0 1
SET 13 3 1
SET 13 4 1
SET 13 5 1
SET 13 6 1
SET 13 9 1
SET 13 11 1
SET 13 14 1
SET 13 16 1
SET 13 18 1
SET 13 19 1
SET 13 21 1
SET 13 22 1
SET 13 24 1
STORE Paulson
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 8 0
SET 0 10 1
SET 0 12 0
SET 0 13 0
SET 0 14 0
SET 0 15 1
SET 0 16 0
SET 0 19 1
SET 0 21 1
SET 0 22 0
SET 1 0 1
SET 1 4 0
SET 1 12 0
SET 1 13 1
SET 1 14 1
SET 1 18 1
SET 1 19 0
SET 1 20 0
SET 1 22 1
SET 1 24 0
SET 2 0 1
SET 2 1 1
SET 2 2 1
SET 2 5 1
SET 2 6 1
SET 2 8 1
SET 2 9 0
SET 2 12 0
SET 2 14 1
SET 2 15 0
SET 2 20 1
SET 2 22 1
SET 2 23 1
SET 2 24 1
SET 3 2 0
SET 3 4 1
SET 3 8 1
SET 3 10 0
SET 3 11 0
SET 3 12 0
SET 3 13 0
SET 3 16 0
SET 3 18 0
SET 3 22 1
SET 3 23 0
SET 3 24 0
SET 4 3 0
SET 4 4 0
SET 4 5 1
SET 4 7 1
SET 4 8 0
SET 4 10 0
SET 4 11 1
SET 4 14 1
SET 4 15 0
SET 4 18 0
SET 4 19 1
SET 4 21 0
SET 4 22 1
SET 4 23 1
SET 4 24 0
SET 5 0 1
SET 5 1 1
SET 5 3 1
SET 5 6 1
SET 5 10 1
SET 5 11 1
SET 5 12 0
SET 5 13 0
SET 5 15 1
SET 5 23 1
SET 5 24 0
SET 6 10 0
