READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-08-4-1.txt
STORE Leninist
RECALL Leninist
WRITE Licensee.txt
VAL 24 13
VAL 8 6
RECALL Leninist
PRINT 10
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-05-4-3.txt
STORE Origin
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-02-4-2.txt
STORE Rigel
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-13-4-3.txt
STORE Doolittle
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-05-4-2.txt
STORE Domineer
EMPTY 3 24
SET 0 6 1
SET 0 7 1
SET 0 10 1
SET 0 11 1
SET 0 13 1
SET 0 15 1
SET 0 17 1
SET 0 18 1
SET 0 19 1
SET 0 20 1
SET 0 21 1
SET 0 23 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 8 1
SET 1 9 1
SET 1 11 1
SET 1 13 1
SET 1 20 1
SET 1 21 1
SET 2 0 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 9 1
SET 2 14 1
SET 2 15 1
SET 2 16 1
SET 2 18 1
SET 2 19 1
SET 2 20 1
SET 2 21 1
SET 2 23 1
STORE Angola
SET 0 0 1
SET 0 1 1
SET 0 4 1
SET 0 5 1
SET 0 8 1
SET 0 9 1
SET 0 11 0
SET 0 16 1
SET 0 18 0
SET 0 20 0
SET 0 21 0
SET 0 22 1
SET 1 0 0
SET 1 3 1
SET 1 4 1
SET 1 8 0
SET 1 9 0
SET 1 14 1
SET 1 16 1
SET 1 17 1
SET 1 19 1
SET 1 20 0
SET 1 21 0
SET 1 22 1
SET 2 3 0
SET 2 5 0
SET 2 6 0
SET 2 8 1
SET 2 13 1
SET 2 17 1
SET 2 19 0
SET 2 20 0
SET 2 22 1
STORE Aristocracy
EMPTY 7 6
SET 0 0 1
SET 0 2 1
SET 1 0 1
SET 1 2 1
SET 1 4 1
SET 1 5 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 3 3 1
SET 3 4 1
SET 4 0 1
SET 4 1 1
SET 4 2 1
SET 4 4 1
SET 5 1 1
SET 5 2 1
SET 5 5 1
SET 6 2 1
STORE Tabulate
SET 0 0 0
SET 0 1 1
SET 0 2 0
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 1 1 1
SET 1 2 0
SET 1 3 1
SET 2 0 1
SET 3 0 1
SET 3 1 1
SET 3 4 0
SET 3 5 1
SET 4 0 0
SET 4 1 0
SET 4 4 0
SET 5 1 0
SET 5 3 1
SET 6 3 1
SET 6 5 1
STORE Thorough
EMPTY 3 11
SET 0 0 1
SET 0 3 1
SET 0 6 1
SET 0 8 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
