READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-02-4-3.txt
STORE Semite
RECALL Hijinks
VAL 0 10
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-05-4-0.txt
STORE Disciplinarian
PRODUCT Semite Disciplinarian
STORE Rutile
PRINT 8
RECALL Disciplinarian
WRITE Cadaver.txt
EMPTY 12 23
SET 0 0 1
SET 0 4 1
SET 0 5 1
SET 0 9 1
SET 0 12 1
SET 0 13 1
SET 0 14 1
SET 0 15 1
SET 0 18 1
SET 0 19 1
SET 0 21 1
SET 0 22 1
SET 1 3 1
SET 1 4 1
SET 1 7 1
SET 1 9 1
SET 1 10 1
SET 1 13 1
SET 1 14 1
SET 1 18 1
SET 1 21 1
SET 1 22 1
SET 2 0 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 8 1
SET 2 9 1
SET 2 11 1
SET 2 12 1
SET 2 18 1
SET 2 20 1
SET 2 21 1
SET 2 22 1
SET 3 0 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 3 7 1
SET 3 8 1
SET 3 9 1
SET 3 20 1
SET 3 21 1
SET 3 22 1
SET 4 2 1
SET 4 7 1
SET 4 9 1
SET 4 11 1
SET 4 13 1
SET 4 14 1
SET 4 15 1
SET 4 16 1
SET 4 19 1
SET 4 21 1
SET 4 22 1
SET 5 1 1
SET 5 2 1
SET 5 4 1
SET 5 5 1
SET 5 7 1
SET 5 9 1
SET 5 10 1
SET 5 11 1
SET 5 13 1
SET 5 14 1
SET 5 15 1
SET 5 19 1
SET 5 22 1
SET 6 2 1
SET 6 3 1
SET 6 4 1
SET 6 6 1
SET 6 7 1
SET 6 8 1
SET 6 9 1
SET 6 12 1
SET 6 13 1
SET 6 14 1
SET 6 17 1
SET 6 19 1
SET 6 21 1
SET 6 22 1
SET 7 0 1
SET 7 2 1
SET 7 3 1
SET 7 5 1
SET 7 6 1
SET 7 8 1
SET 7 9 1
SET 7 11 1
SET 7 12 1
SET 7 14 1
SET 7 15 1
SET 7 19 1
SET 7 20 1
SET 7 21 1
SET 7 22 1
SET 8 0 1
SET 8 1 1
SET 8 2 1
SET 8 4 1
SET 8 7 1
SET 8 8 1
SET 8 10 1
SET 8 12 1
SET 8 14 1
SET 8 15 1
SET 8 16 1
SET 8 17 1
SET 8 18 1
SET 8 19 1
SET 8 21 1
SET 9 2 1
SET 9 4 1
SET 9 6 1
SET 9 7 1
SET 9 8 1
SET 9 13 1
SET 9 15 1
SET 9 16 1
SET 9 20 1
SET 9 22 1
SET 10 1 1
SET 10 9 1
SET 10 10 1
SET 10 14 1
SET 10 18 1
SET 10 19 1
SET 10 20 1
SET 10 22 1
SET 11 1 1
SET 11 3 1
SET 11 4 1
SET 11 5 1
SET 11 6 1
SET 11 7 1
SET 11 8 1
SET 11 10 1
SET 11 11 1
SET 11 16 1
STORE Pride
SET 0 0 0
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 0
SET 0 5 0
SET 0 7 1
SET 0 8 1
SET 0 11 1
SET 0 13 0
SET 0 14 0
SET 0 15 0
SET 0 16 1
SET 0 17 1
SET 0 18 0
SET 0 19 0
SET 0 22 0
SET 1 0 1
SET 1 5 1
SET 1 7 0
SET 1 8 1
SET 1 16 1
SET 1 19 1
SET 2 0 0
SET 2 3 0
SET 2 6 0
SET 2 7 1
SET 2 8 0
SET 2 10 1
SET 2 11 0
SET 2 14 1
SET 2 17 1
SET 2 18 0
SET 2 21 0
SET 3 0 0
SET 3 3 0
SET 3 4 0
SET 3 5 0
SET 3 8 0
SET 3 9 0
SET 3 10 1
SET 3 11 1
SET 3 12 1
SET 3 13 1
SET 3 15 1
SET 3 17 1
SET 3 19 1
SET 3 20 0
SET 3 22 0
SET 4 0 1
SET 4 2 0
SET 4 3 1
SET 4 4 1
SET 4 5 1
SET 4 7 0
SET 4 8 1
SET 4 11 0
SET 4 12 1
SET 4 14 0
SET 4 15 0
SET 4 16 0
SET 4 18 1
SET 4 19 0
