READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-02-4-2.txt
STORE Pig
RECALL Pig
SUBMATRIX 0 1 3 4
WRITE Wrathful.txt
ALL
ALL
EMPTY 13 22
SET 0 1 1
SET 0 2 1
SET 0 6 1
SET 0 9 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 15 1
SET 0 16 1
SET 0 18 1
SET 0 19 1
SET 1 1 1
SET 1 2 1
SET 1 5 1
SET 1 7 1
SET 1 8 1
SET 1 11 1
SET 1 12 1
SET 1 16 1
SET 1 19 1
SET 1 20 1
SET 1 21 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 7 1
SET 2 8 1
SET 2 10 1
SET 2 11 1
SET 2 17 1
SET 2 19 1
SET 2 20 1
SET 2 21 1
SET 3 0 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 3 7 1
SET 3 8 1
SET 3 9 1
SET 3 20 1
SET 3 21 1
SET 4 0 1
SET 4 3 1
SET 4 8 1
SET 4 10 1
SET 4 12 1
SET 4 14 1
SET 4 15 1
SET 4 16 1
SET 4 17 1
SET 4 20 1
SET 5 0 1
SET 5 1 1
SET 5 3 1
SET 5 4 1
SET 5 6 1
SET 5 7 1
SET 5 9 1
SET 5 11 1
SET 5 12 1
SET 5 13 1
SET 5 15 1
SET 5 16 1
SET 5 17 1
SET 5 21 1
SET 6 2 1
SET 6 5 1
SET 6 6 1
SET 6 7 1
SET 6 9 1
SET 6 10 1
SET 6 11 1
SET 6 12 1
SET 6 15 1
SET 6 16 1
SET 6 17 1
SET 6 20 1
SET 7 0 1
SET 7 2 1
SET 7 3 1
SET 7 4 1
SET 7 6 1
SET 7 7 1
SET 7 9 1
SET 7 10 1
SET 7 12 1
SET 7 13 1
SET 7 15 1
SET 7 16 1
SET 7 18 1
SET 7 19 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 8 4 1
SET 8 5 1
SET 8 6 1
SET 8 7 1
SET 8 9 1
SET 8 12 1
SET 8 13 1
SET 8 15 1
SET 8 17 1
SET 8 19 1
SET 8 20 1
SET 8 21 1
SET 9 0 1
SET 9 1 1
SET 9 2 1
SET 9 4 1
SET 9 8 1
SET 9 10 1
SET 9 12 1
SET 9 13 1
SET 9 14 1
SET 9 19 1
SET 9 21 1
SET 10 0 1
SET 10 4 1
SET 10 6 1
SET 10 8 1
SET 10 16 1
SET 10 17 1
SET 10 21 1
SET 11 3 1
SET 11 4 1
SET 11 5 1
SET 11 7 1
SET 11 9 1
SET 11 11 1
SET 11 12 1
SET 11 13 1
SET 11 14 1
SET 11 15 1
SET 11 16 1
SET 11 18 1
SET 11 19 1
SET 12 2 1
SET 12 10 1
SET 12 11 1
SET 12 12 1
SET 12 16 1
SET 12 17 1
SET 12 18 1
SET 12 20 1
SET 12 21 1
STORE Roundhouse
SET 0 1 0
SET 0 2 0
SET 0 3 1
SET 0 4 1
SET 0 6 0
SET 0 8 1
SET 0 9 0
SET 0 11 0
SET 0 12 0
SET 0 13 1
SET 0 14 1
SET 0 16 0
SET 0 20 1
SET 1 4 1
SET 1 5 0
SET 1 6 1
SET 1 8 0
SET 1 9 1
SET 1 10 1
SET 1 11 0
SET 1 12 0
SET 1 15 1
SET 1 18 1
SET 1 19 0
SET 2 1 1
SET 2 2 0
SET 2 4 0
SET 2 5 0
SET 2 6 1
SET 2 7 0
SET 2 8 0
SET 2 9 1
SET 2 10 0
SET 2 17 0
SET 2 20 0
SET 2 21 0
SET 3 1 1
SET 3 2 1
SET 3 4 0
SET 3 8 0
SET 3 11 1
SET 3 13 1
SET 3 16 1
SET 3 17 1
SET 3 18 1
SET 3 20 0
SET 4 4 1
SET 4 8 0
SET 4 9 1
SET 4 10 0
SET 4 11 1
SET 4 14 0
SET 4 15 0
SET 4 17 0
SET 4 20 0
SET 5 0 0
SET 5 1 0
SET 5 2 1
SET 5 3 0
SET 5 5 1
SET 5 8 1
SET 5 9 0
SET 5 10 1
SET 5 11 0
SET 5 12 0
SET 5 13 0
SET 5 15 0
SET 5 16 0
SET 5 17 0
SET 5 20 1
SET 5 21 0
SET 6 0 1
SET 6 1 1
SET 6 2 0
SET 6 3 1
SET 6 6 0
SET 6 8 1
SET 6 12 0
SET 6 14 1
SET 6 15 0
SET 6 17 0
SET 6 18 1
SET 6 19 1
SET 6 20 0
SET 6 21 1
SET 7 1 1
SET 7 2 0
SET 7 3 0
SET 7 5 1
SET 7 6 0
SET 7 7 0
SET 7 11 1
SET 7 12 0
SET 7 14 1
SET 7 15 0
