READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-03-4-3.txt
STORE Wok
VAL 6 11
EMPTY 14 22
SET 0 0 1
SET 0 2 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 0 14 1
SET 0 17 1
SET 0 18 1
SET 0 21 1
SET 1 1 1
SET 1 3 1
SET 1 9 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 1 17 1
SET 1 18 1
SET 1 21 1
SET 2 1 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 7 1
SET 2 8 1
SET 2 11 1
SET 2 12 1
SET 2 14 1
SET 2 15 1
SET 2 20 1
SET 2 21 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 8 1
SET 3 13 1
SET 3 17 1
SET 3 18 1
SET 4 4 1
SET 4 5 1
SET 4 7 1
SET 4 11 1
SET 4 13 1
SET 4 14 1
SET 4 17 1
SET 5 0 1
SET 5 1 1
SET 5 2 1
SET 5 3 1
SET 5 4 1
SET 5 5 1
SET 5 7 1
SET 5 10 1
SET 5 13 1
SET 5 15 1
SET 5 16 1
SET 5 18 1
SET 5 20 1
SET 5 21 1
SET 6 0 1
SET 6 2 1
SET 6 3 1
SET 6 4 1
SET 6 7 1
SET 6 8 1
SET 6 9 1
SET 6 16 1
SET 6 17 1
SET 6 21 1
SET 7 0 1
SET 7 2 1
SET 7 4 1
SET 7 5 1
SET 7 6 1
SET 7 8 1
SET 7 10 1
SET 7 13 1
SET 7 14 1
SET 7 19 1
SET 7 20 1
SET 7 21 1
SET 8 2 1
SET 8 6 1
SET 8 8 1
SET 8 9 1
SET 8 12 1
SET 8 13 1
SET 8 15 1
SET 8 16 1
SET 8 18 1
SET 8 19 1
SET 8 20 1
SET 8 21 1
SET 9 1 1
SET 9 7 1
SET 9 12 1
SET 9 19 1
SET 9 21 1
SET 10 1 1
SET 10 2 1
SET 10 4 1
SET 10 5 1
SET 10 6 1
SET 10 7 1
SET 10 8 1
SET 10 11 1
SET 10 13 1
SET 10 14 1
SET 10 17 1
SET 10 19 1
SET 11 0 1
SET 11 1 1
SET 11 3 1
SET 11 4 1
SET 11 6 1
SET 11 8 1
SET 11 9 1
SET 11 10 1
SET 11 19 1
SET 11 21 1
SET 12 0 1
SET 12 2 1
SET 12 4 1
SET 12 8 1
SET 12 9 1
SET 12 10 1
SET 12 11 1
SET 12 12 1
SET 12 17 1
SET 12 18 1
SET 12 19 1
SET 12 20 1
SET 12 21 1
SET 13 7 1
SET 13 11 1
SET 13 13 1
SET 13 14 1
SET 13 18 1
SET 13 19 1
SET 13 20 1
SET 13 21 1
STORE Mackintosh
SET 0 1 1
SET 0 2 0
SET 0 4 0
SET 0 7 0
SET 0 9 0
SET 0 11 0
SET 0 12 0
SET 0 13 0
SET 0 14 0
SET 1 0 1
SET 1 1 0
SET 1 2 1
SET 1 5 1
SET 1 6 1
SET 1 9 0
SET 1 12 1
SET 1 16 0
SET 1 17 0
SET 1 18 0
SET 1 20 1
SET 1 21 0
SET 2 1 0
SET 2 2 1
SET 2 7 0
SET 2 9 1
SET 2 10 1
SET 2 11 0
SET 2 14 0
SET 2 16 1
SET 2 18 1
SET 3 0 1
SET 3 2 0
SET 3 3 0
SET 3 4 0
SET 3 6 1
SET 3 7 1
SET 3 10 1
SET 3 11 1
SET 3 12 1
SET 3 13 0
SET 3 15 1
SET 3 16 1
SET 3 17 0
SET 3 18 0
SET 3 20 1
SET 3 21 1
SET 4 1 1
SET 4 2 1
SET 4 3 1
SET 4 4 0
SET 4 7 0
SET 4 8 1
SET 4 10 1
SET 4 11 0
SET 4 12 1
SET 4 13 0
SET 4 14 0
SET 4 16 1
SET 4 17 0
SET 4 19 1
SET 4 20 1
SET 5 1 0
SET 5 3 0
SET 5 4 0
SET 5 5 0
SET 5 6 1
SET 5 8 1
SET 5 9 1
SET 5 10 0
SET 5 11 1
SET 5 15 0
SET 5 16 0
SET 5 17 1
SET 5 18 0
SET 5 20 0
SET 6 2 0
SET 6 8 0
SET 6 9 0
SET 6 10 1
SET 6 11 1
SET 6 12 1
SET 6 15 1
SET 6 17 0
