READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-10-4-1.txt
STORE Maze
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-10-04-4-1.txt
STORE Thai
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-04-4-4.txt
STORE Yucca
EMPTY 15 11
SET 0 1 1
SET 0 3 1
SET 1 4 1
SET 1 5 1
SET 1 8 1
SET 1 9 1
SET 2 0 1
SET 2 2 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 7 1
SET 2 8 1
SET 2 10 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 8 1
SET 3 9 1
SET 4 0 1
SET 4 2 1
SET 4 9 1
SET 4 10 1
SET 5 2 1
SET 5 5 1
SET 5 6 1
SET 5 7 1
SET 5 8 1
SET 6 0 1
SET 6 5 1
SET 6 6 1
SET 6 7 1
SET 6 9 1
SET 6 10 1
SET 7 0 1
SET 7 1 1
SET 7 3 1
SET 7 4 1
SET 7 5 1
SET 7 8 1
SET 7 9 1
SET 7 10 1
SET 8 0 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 8 6 1
SET 8 8 1
SET 8 9 1
SET 8 10 1
SET 9 1 1
SET 9 4 1
SET 9 5 1
SET 9 7 1
SET 9 8 1
SET 9 9 1
SET 9 10 1
SET 10 6 1
SET 10 8 1
SET 10 9 1
SET 11 0 1
SET 11 1 1
SET 11 3 1
SET 11 6 1
SET 11 8 1
SET 12 1 1
SET 12 5 1
SET 12 6 1
SET 12 10 1
SET 13 0 1
SET 13 1 1
SET 13 2 1
SET 13 3 1
SET 13 4 1
SET 13 7 1
SET 13 8 1
SET 13 9 1
SET 14 1 1
SET 14 3 1
SET 14 7 1
SET 14 9 1
STORE Mississippi
SET 0 0 1
SET 0 3 0
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 1 0 1
SET 1 1 1
SET 1 3 1
SET 1 7 1
SET 1 8 0
SET 1 9 0
SET 1 10 1
SET 2 2 0
SET 2 3 1
SET 2 4 0
SET 2 5 0
SET 2 7 0
SET 2 8 0
SET 2 10 0
SET 3 1 0
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 3 6 1
SET 3 10 1
SET 4 3 1
SET 4 4 1
SET 4 5 1
SET 4 6 1
SET 4 7 1
SET 4 10 0
SET 5 0 1
SET 5 2 0
SET 5 3 1
SET 5 5 0
SET 5 6 0
SET 5 7 0
SET 5 8 0
SET 5 9 1
SET 5 10 1
SET 6 0 0
SET 6 1 1
SET 6 4 1
SET 6 6 0
SET 7 0 0
SET 7 1 0
SET 7 2 1
SET 7 3 0
SET 7 4 0
SET 7 7 1
SET 7 8 0
SET 7 9 0
SET 7 10 0
SET 8 4 1
SET 8 5 1
SET 8 7 1
SET 8 8 0
SET 8 10 0
SET 9 3 1
SET 9 4 0
SET 9 6 1
SET 9 8 0
SET 9 9 0
SET 9 10 0
SET 10 2 1
SET 10 3 1
SET 10 4 1
SET 10 5 1
SET 10 6 0
SET 10 8 0
SET 10 9 0
SET 11 2 1
SET 11 4 1
SET 11 5 1
SET 11 9 1
SET 11 10 1
SET 12 4 1
SET 12 10 0
SET 13 0 0
SET 13 1 0
SET 13 8 0
SET 14 0 1
SET 14 2 1
SET 14 4 1
SET 14 5 1
SET 14 7 0
SET 14 8 1
STORE Ambulate
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-05-4-1.txt
STORE Pursue
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-03-3-1.txt
STORE Expense
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-08-4-2.txt
STORE Fuji
EMPTY 13 19
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 8 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 0 14 1
SET 0 16 1
SET 0 17 1
SET 0 18 1
SET 1 5 1
SET 1 9 1
SET 1 11 1
SET 1 12 1
SET 1 15 1
SET 1 17 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 10 1
SET 2 14 1
SET 2 15 1
SET 2 18 1
SET 3 0 1
SET 3 1 1
SET 3 4 1
SET 3 8 1
SET 3 10 1
SET 3 11 1
SET 3 13 1
SET 3 15 1
SET 3 17 1
SET 3 18 1
SET 4 0 1
SET 4 2 1
SET 4 3 1
SET 4 6 1
SET 4 8 1
SET 4 10 1
SET 4 11 1
SET 4 12 1
SET 4 17 1
SET 5 0 1
SET 5 2 1
SET 5 3 1
SET 5 4 1
SET 5 6 1
SET 5 7 1
SET 5 8 1
SET 5 11 1
SET 5 12 1
SET 5 15 1
SET 5 16 1
SET 5 18 1
SET 6 0 1
SET 6 4 1
SET 6 5 1
SET 6 8 1
SET 6 10 1
SET 6 11 1
SET 6 12 1
SET 6 17 1
SET 7 0 1
SET 7 2 1
SET 7 3 1
SET 7 4 1
SET 7 6 1
SET 7 7 1
SET 7 8 1
SET 7 11 1
SET 7 12 1
SET 7 13 1
SET 8 1 1
SET 8 2 1
SET 8 5 1
SET 8 6 1
SET 8 7 1
SET 8 11 1
SET 8 13 1
SET 8 16 1
SET 9 0 1
SET 9 4 1
SET 9 8 1
SET 9 10 1
SET 9 13 1
SET 9 15 1
SET 9 17 1
SET 9 18 1
SET 10 1 1
SET 10 2 1
SET 10 3 1
SET 10 5 1
SET 10 6 1
SET 10 8 1
SET 10 9 1
SET 10 13 1
SET 10 18 1
SET 11 1 1
SET 11 3 1
SET 11 4 1
SET 11 5 1
SET 11 7 1
SET 11 8 1
SET 11 13 1
SET 11 14 1
SET 11 16 1
SET 11 17 1
SET 12 0 1
SET 12 1 1
SET 12 2 1
SET 12 4 1
SET 12 5 1
SET 12 6 1
SET 12 7 1
SET 12 9 1
SET 12 11 1
SET 12 13 1
SET 12 18 1
STORE Roundup
EMPTY 9 14
SET 0 1 1
SET 0 2 1
SET 0 6 1
SET 0 10 1
SET 0 11 1
SET 1 0 1
SET 1 4 1
SET 1 5 1
SET 1 7 1
SET 1 8 1
SET 1 10 1
SET 1 12 1
SET 2 0 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 8 1
SET 2 10 1
SET 2 11 1
SET 2 13 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 3 8 1
SET 3 9 1
SET 3 10 1
SET 3 11 1
SET 3 12 1
SET 3 13 1
SET 4 2 1
SET 4 3 1
SET 4 4 1
SET 4 5 1
SET 4 7 1
SET 4 10 1
SET 5 0 1
SET 5 1 1
SET 5 2 1
SET 5 3 1
SET 5 5 1
SET 5 6 1
SET 5 8 1
SET 5 9 1
SET 5 10 1
SET 5 12 1
SET 5 13 1
SET 6 0 1
SET 6 2 1
SET 6 3 1
SET 6 6 1
SET 6 8 1
SET 6 12 1
SET 6 13 1
SET 7 1 1
SET 7 3 1
SET 7 6 1
SET 7 7 1
SET 7 11 1
SET 7 12 1
SET 8 0 1
SET 8 1 1
SET 8 6 1
SET 8 7 1
SET 8 8 1
SET 8 9 1
SET 8 13 1
STORE Condemnate
EMPTY 13 15
SET 0 1 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 11 1
SET 0 12 1
SET 0 14 1
SET 1 1 1
SET 1 2 1
SET 1 5 1
SET 1 8 1
SET 1 11 1
SET 1 12 1
SET 1 14 1
SET 2 0 1
SET 2 1 1
SET 2 2 1
SET 2 4 1
SET 2 6 1
SET 2 7 1
SET 2 9 1
SET 2 10 1
SET 2 11 1
SET 2 14 1
SET 3 0 1
SET 3 2 1
SET 3 4 1
SET 3 7 1
SET 3 8 1
SET 3 10 1
SET 3 11 1
SET 4 0 1
SET 4 2 1
SET 4 3 1
SET 4 5 1
SET 4 8 1
SET 4 9 1
SET 4 10 1
SET 4 11 1
SET 4 14 1
SET 5 1 1
SET 5 2 1
SET 5 7 1
SET 5 8 1
SET 5 9 1
SET 5 10 1
SET 5 11 1
SET 5 13 1
SET 6 0 1
SET 6 3 1
SET 6 5 1
SET 6 6 1
SET 6 10 1
SET 6 11 1
SET 6 12 1
SET 6 13 1
SET 7 2 1
SET 7 6 1
SET 7 7 1
SET 7 8 1
SET 7 9 1
SET 7 10 1
SET 7 11 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 8 6 1
SET 8 7 1
SET 8 8 1
SET 8 9 1
SET 8 10 1
SET 8 11 1
SET 8 12 1
SET 8 13 1
SET 8 14 1
SET 9 0 1
SET 9 2 1
SET 9 3 1
SET 9 4 1
SET 9 5 1
SET 9 7 1
SET 9 9 1
SET 9 10 1
SET 9 12 1
SET 9 13 1
SET 10 1 1
SET 10 2 1
SET 10 4 1
SET 10 7 1
SET 10 8 1
SET 10 9 1
SET 10 11 1
SET 10 13 1
SET 11 0 1
SET 11 1 1
SET 11 2 1
SET 11 4 1
SET 11 5 1
SET 11 6 1
SET 11 7 1
SET 11 8 1
SET 11 9 1
SET 11 11 1
SET 11 13 1
SET 12 1 1
SET 12 2 1
SET 12 5 1
SET 12 6 1
SET 12 12 1
SET 12 13 1
STORE Process
EMPTY 12 4
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 1 1 1
SET 1 3 1
SET 2 0 1
SET 2 2 1
SET 2 3 1
SET 3 0 1
SET 3 1 1
SET 3 3 1
SET 4 1 1
SET 4 2 1
SET 5 0 1
SET 5 1 1
SET 5 2 1
SET 5 3 1
SET 7 0 1
SET 7 1 1
SET 8 1 1
SET 9 1 1
SET 9 2 1
SET 10 0 1
