READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-03-4-3.txt
STORE Violent
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-08-4-1.txt
STORE Selenium
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-07-4-4.txt
STORE Rater
EMPTY 16 5
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 1 3 1
SET 1 4 1
SET 2 3 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 4 2 1
SET 4 3 1
SET 5 0 1
SET 5 1 1
SET 6 0 1
SET 6 1 1
SET 6 4 1
SET 7 1 1
SET 7 2 1
SET 8 0 1
SET 8 1 1
SET 9 0 1
SET 9 3 1
SET 9 4 1
SET 10 0 1
SET 10 3 1
SET 10 4 1
SET 11 0 1
SET 11 1 1
SET 11 3 1
SET 11 4 1
SET 12 1 1
SET 12 2 1
SET 13 3 1
SET 14 0 1
SET 14 1 1
SET 14 2 1
SET 14 3 1
SET 15 1 1
SET 15 2 1
SET 15 3 1
STORE Soy
SET 0 0 1
SET 0 3 0
SET 0 4 0
SET 1 3 0
SET 1 4 0
SET 2 4 1
SET 3 0 1
SET 3 1 0
SET 3 2 0
SET 3 4 0
SET 4 2 0
SET 5 1 0
SET 5 2 1
SET 5 4 1
SET 6 2 1
SET 6 4 0
SET 7 0 1
SET 7 1 0
SET 7 3 1
SET 8 3 1
SET 8 4 1
SET 9 0 0
SET 9 1 1
SET 10 2 1
SET 11 0 0
SET 11 1 0
SET 11 4 0
SET 12 2 0
SET 12 4 1
SET 13 0 1
SET 13 1 1
SET 13 4 1
SET 14 2 0
SET 14 3 0
SET 14 4 1
SET 15 0 1
SET 15 2 0
SET 15 3 0
SET 15 4 1
STORE Utica
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-04-3-4.txt
STORE Turnaround
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-03-4-4.txt
STORE Footstep
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-03-3-2.txt
STORE Snail
EMPTY 12 23
SET 0 0 1
SET 0 2 1
SET 0 3 1
SET 0 5 1
SET 0 6 1
SET 0 8 1
SET 0 9 1
SET 0 11 1
SET 0 12 1
SET 0 14 1
SET 0 15 1
SET 0 19 1
SET 0 20 1
SET 0 21 1
SET 0 22 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 4 1
SET 1 7 1
SET 1 8 1
SET 1 10 1
SET 1 12 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 1 17 1
SET 1 18 1
SET 1 19 1
SET 1 21 1
SET 2 2 1
SET 2 4 1
SET 2 6 1
SET 2 7 1
SET 2 8 1
SET 2 13 1
SET 2 15 1
SET 2 16 1
SET 2 20 1
SET 2 22 1
SET 3 1 1
SET 3 9 1
SET 3 10 1
SET 3 14 1
SET 3 18 1
SET 3 19 1
SET 3 20 1
SET 3 22 1
SET 4 1 1
SET 4 3 1
SET 4 4 1
SET 4 5 1
SET 4 6 1
SET 4 7 1
SET 4 8 1
SET 4 10 1
SET 4 11 1
SET 4 16 1
SET 5 1 1
SET 5 2 1
SET 5 3 1
SET 5 7 1
SET 5 8 1
SET 5 9 1
SET 5 11 1
SET 5 12 1
SET 5 16 1
SET 5 17 1
SET 5 21 1
SET 6 0 1
SET 6 3 1
SET 6 4 1
SET 6 5 1
SET 6 8 1
SET 6 9 1
SET 6 10 1
SET 6 13 1
SET 6 14 1
SET 6 16 1
SET 6 18 1
SET 6 19 1
SET 6 21 1
SET 6 22 1
SET 7 4 1
SET 7 5 1
SET 7 7 1
SET 7 9 1
SET 7 10 1
SET 7 12 1
SET 7 14 1
SET 7 17 1
SET 7 20 1
SET 7 22 1
SET 8 7 1
SET 8 10 1
SET 8 11 1
SET 8 12 1
SET 8 13 1
SET 8 15 1
SET 8 17 1
SET 8 19 1
SET 8 21 1
SET 9 0 1
SET 9 3 1
SET 9 4 1
SET 9 5 1
SET 9 8 1
SET 9 9 1
SET 9 12 1
SET 9 13 1
SET 9 18 1
SET 9 20 1
SET 9 21 1
SET 10 2 1
SET 10 10 1
SET 10 12 1
SET 10 13 1
SET 10 14 1
SET 10 15 1
SET 10 16 1
SET 10 18 1
SET 11 5 1
SET 11 7 1
SET 11 8 1
SET 11 10 1
SET 11 12 1
SET 11 14 1
SET 11 15 1
SET 11 16 1
SET 11 17 1
SET 11 18 1
SET 11 21 1
STORE Gyroscope
EMPTY 16 20
SET 0 0 1
SET 0 1 1
SET 0 3 1
