READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-04-3-1.txt
STORE Airpark
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-05-4-4.txt
STORE Confer
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-02-3-3.txt
STORE Knockout
EMPTY 1 19
SET 0 0 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 14 1
SET 0 15 1
STORE Bookshelves
SET 0 0 0
SET 0 1 1
SET 0 2 1
SET 0 6 0
SET 0 7 0
SET 0 8 1
SET 0 9 1
SET 0 11 0
SET 0 12 0
SET 0 13 1
SET 0 15 0
SET 0 16 1
STORE Merriment
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-04-4-0.txt
STORE Aft
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-06-4-1.txt
STORE Stalk
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-04-3-0.txt
STORE Luggage
EMPTY 15 24
SET 0 0 1
SET 0 1 1
SET 0 3 1
SET 0 4 1
SET 0 8 1
SET 0 9 1
SET 0 14 1
SET 0 17 1
SET 0 20 1
SET 0 21 1
SET 0 22 1
SET 0 23 1
SET 1 0 1
SET 1 2 1
SET 1 7 1
SET 1 8 1
SET 1 12 1
SET 1 16 1
SET 1 17 1
SET 1 18 1
SET 1 19 1
SET 1 20 1
SET 1 21 1
SET 1 22 1
SET 1 23 1
SET 2 0 1
SET 2 1 1
SET 2 5 1
SET 2 6 1
SET 2 8 1
SET 2 9 1
SET 2 10 1
SET 2 11 1
SET 2 13 1
SET 2 15 1
SET 2 17 1
SET 2 22 1
SET 2 23 1
SET 3 1 1
SET 3 4 1
SET 3 7 1
SET 3 10 1
SET 3 12 1
SET 3 16 1
SET 3 20 1
SET 3 21 1
SET 3 22 1
SET 4 0 1
SET 4 1 1
SET 4 3 1
SET 4 4 1
SET 4 8 1
SET 4 13 1
SET 4 14 1
SET 4 18 1
SET 4 19 1
SET 4 21 1
SET 4 23 1
SET 5 3 1
SET 5 6 1
SET 5 9 1
SET 5 12 1
SET 5 15 1
SET 5 18 1
SET 5 19 1
SET 5 20 1
SET 6 4 1
SET 6 6 1
SET 6 7 1
SET 6 10 1
SET 6 12 1
SET 6 14 1
SET 6 21 1
SET 6 23 1
SET 7 0 1
SET 7 1 1
SET 7 3 1
SET 7 5 1
SET 7 9 1
SET 7 10 1
SET 7 11 1
SET 7 12 1
SET 7 14 1
SET 7 17 1
SET 7 18 1
SET 7 19 1
SET 7 21 1
SET 7 23 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 8 4 1
SET 8 5 1
SET 8 6 1
SET 8 7 1
SET 8 10 1
SET 8 11 1
SET 8 12 1
SET 8 14 1
SET 8 15 1
SET 8 16 1
SET 8 20 1
SET 8 22 1
SET 9 0 1
SET 9 7 1
SET 9 10 1
SET 9 11 1
SET 9 12 1
SET 9 13 1
SET 9 15 1
SET 9 16 1
SET 9 17 1
SET 9 18 1
SET 9 19 1
SET 9 20 1
SET 9 21 1
SET 10 1 1
SET 10 2 1
SET 10 3 1
SET 10 7 1
SET 10 10 1
SET 10 11 1
SET 10 12 1
SET 10 15 1
SET 10 16 1
SET 10 17 1
SET 10 19 1
SET 10 21 1
SET 10 22 1
SET 11 2 1
SET 11 3 1
SET 11 7 1
SET 11 8 1
SET 11 11 1
SET 11 13 1
SET 11 16 1
SET 11 19 1
SET 11 20 1
SET 11 21 1
SET 11 22 1
SET 12 1 1
SET 12 3 1
SET 12 6 1
SET 12 8 1
SET 12 10 1
SET 12 11 1
SET 12 13 1
SET 12 14 1
SET 12 16 1
SET 12 18 1
SET 12 19 1
SET 12 20 1
SET 12 21 1
SET 12 22 1
SET 12 23 1
SET 13 0 1
SET 13 2 1
SET 13 3 1
SET 13 8 1
SET 13 10 1
SET 13 12 1
SET 13 14 1
SET 13 16 1
SET 13 18 1
SET 13 19 1
SET 13 23 1
SET 14 0 1
SET 14 3 1
SET 14 4 1
SET 14 7 1
SET 14 8 1
SET 14 9 1
SET 14 10 1
SET 14 12 1
SET 14 15 1
SET 14 16 1
SET 14 17 1
SET 14 19 1
SET 14 20 1
SET 14 21 1
SET 14 22 1
SET 14 23 1
STORE Shepherd
EMPTY 6 4
SET 0 1 1
SET 1 3 1
SET 2 1 1
SET 2 2 1
SET 2 3 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 4 0 1
SET 4 1 1
SET 4 3 1
SET 5 2 1
STORE Legatee
EMPTY 12 18
SET 0 0 1
SET 0 6 1
SET 0 7 1
SET 0 9 1
SET 0 11 1
SET 0 14 1
SET 1 0 1
SET 1 1 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 10 1
SET 1 13 1
SET 1 15 1
SET 2 0 1
SET 2 3 1
SET 2 4 1
SET 2 6 1
SET 2 7 1
SET 2 8 1
SET 2 9 1
SET 2 10 1
SET 2 12 1
SET 2 14 1
SET 2 16 1
SET 2 17 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 3 7 1
SET 3 8 1
SET 3 11 1
SET 3 17 1
SET 4 0 1
SET 4 4 1
SET 4 7 1
SET 4 9 1
SET 4 10 1
SET 4 11 1
SET 4 12 1
SET 4 15 1
SET 5 2 1
SET 5 9 1
SET 5 10 1
SET 5 12 1
SET 5 13 1
SET 5 15 1
SET 5 17 1
SET 6 0 1
SET 6 4 1
SET 6 5 1
SET 6 9 1
SET 6 10 1
SET 6 13 1
SET 6 15 1
SET 6 16 1
SET 7 1 1
SET 7 2 1
SET 7 7 1
SET 7 9 1
SET 7 11 1
SET 7 12 1
SET 7 13 1
SET 7 14 1
SET 8 2 1
SET 8 3 1
SET 8 5 1
SET 8 7 1
SET 8 9 1
SET 8 14 1
