READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-05-3-4.txt
STORE Subject
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-07-4-2.txt
STORE Oxidate
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-06-4-2.txt
STORE Roland
EMPTY 2 8
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 1 0 1
SET 1 1 1
SET 1 5 1
STORE Pitchfork
SET 0 0 1
SET 0 4 0
SET 0 6 1
SET 0 7 1
SET 1 0 0
SET 1 2 1
SET 1 5 0
SET 1 6 1
SET 1 7 1
STORE Crete
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-03-3-2.txt
STORE Toefl
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-08-4-2.txt
STORE Promulgate
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-07-4-1.txt
STORE Corvette
EMPTY 11 24
SET 0 0 1
SET 0 3 1
SET 0 4 1
SET 0 8 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 0 16 1
SET 0 17 1
SET 0 18 1
SET 0 19 1
SET 0 21 1
SET 0 22 1
SET 1 0 1
SET 1 1 1
SET 1 7 1
SET 1 9 1
SET 1 10 1
SET 1 11 1
SET 1 12 1
SET 1 15 1
SET 1 16 1
SET 1 17 1
SET 1 19 1
SET 1 20 1
SET 1 21 1
SET 2 8 1
SET 2 9 1
SET 2 10 1
SET 2 13 1
SET 2 18 1
SET 2 20 1
SET 2 22 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 6 1
SET 3 8 1
SET 3 9 1
SET 3 11 1
SET 3 12 1
SET 3 14 1
SET 3 15 1
SET 3 17 1
SET 3 19 1
SET 3 20 1
SET 3 21 1
SET 3 23 1
SET 4 0 1
SET 4 1 1
SET 4 5 1
SET 4 8 1
SET 4 11 1
SET 4 12 1
SET 4 13 1
SET 4 15 1
SET 4 16 1
SET 4 17 1
SET 4 18 1
SET 4 21 1
SET 4 22 1
SET 4 23 1
SET 5 2 1
SET 5 4 1
SET 5 6 1
SET 5 7 1
SET 5 8 1
SET 5 10 1
SET 5 11 1
SET 5 13 1
SET 5 14 1
SET 5 16 1
SET 5 17 1
SET 5 19 1
SET 5 20 1
SET 5 22 1
SET 5 23 1
SET 6 3 1
SET 6 4 1
SET 6 5 1
SET 6 6 1
SET 6 7 1
SET 6 8 1
SET 6 9 1
SET 6 11 1
SET 6 14 1
SET 6 15 1
SET 6 17 1
SET 6 19 1
SET 6 21 1
SET 6 22 1
SET 6 23 1
SET 7 0 1
SET 7 1 1
SET 7 2 1
SET 7 4 1
SET 7 8 1
SET 7 10 1
SET 7 12 1
SET 7 13 1
SET 7 14 1
SET 7 19 1
SET 7 21 1
SET 7 22 1
SET 8 2 1
SET 8 4 1
SET 8 6 1
SET 8 14 1
SET 8 15 1
SET 8 19 1
SET 8 23 1
SET 9 0 1
SET 9 1 1
SET 9 3 1
SET 9 5 1
SET 9 7 1
SET 9 8 1
SET 9 9 1
SET 9 10 1
SET 9 11 1
SET 9 12 1
SET 9 14 1
SET 9 15 1
SET 9 20 1
SET 10 4 1
SET 10 5 1
SET 10 6 1
SET 10 10 1
SET 10 11 1
SET 10 12 1
SET 10 14 1
SET 10 15 1
SET 10 19 1
SET 10 20 1
STORE Yucca
EMPTY 12 7
SET 0 0 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 6 1
SET 2 0 1
SET 2 2 1
SET 2 4 1
SET 2 5 1
SET 3 0 1
SET 3 1 1
SET 3 6 1
SET 4 0 1
SET 4 2 1
SET 4 4 1
SET 4 5 1
SET 5 0 1
SET 5 2 1
SET 5 5 1
SET 6 1 1
SET 6 3 1
SET 7 4 1
SET 8 0 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 8 5 1
SET 9 0 1
SET 9 2 1
SET 9 4 1
SET 9 6 1
SET 10 2 1
SET 10 3 1
SET 10 4 1
SET 11 0 1
SET 11 1 1
SET 11 4 1
SET 11 5 1
STORE Marks
EMPTY 3 18
SET 0 1 1
SET 0 3 1
SET 0 4 1
SET 0 8 1
SET 0 16 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 6 1
SET 1 16 1
SET 2 0 1
SET 2 1 1
SET 2 3 1
SET 2 5 1
SET 2 7 1
SET 2 8 1
SET 2 9 1
SET 2 10 1
SET 2 11 1
SET 2 14 1
