READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-10-04-4-2.txt
STORE Mustard
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-05-4-0.txt
STORE Newbold
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-02-3-3.txt
STORE Push
EMPTY 3 22
SET 0 0 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 14 1
SET 0 15 1
SET 0 20 1
SET 0 21 1
SET 1 2 1
SET 1 5 1
SET 1 6 1
SET 1 7 1
SET 1 10 1
SET 1 11 1
SET 1 13 1
SET 1 16 1
SET 1 17 1
SET 1 20 1
SET 1 21 1
SET 2 0 1
SET 2 2 1
SET 2 3 1
SET 2 7 1
SET 2 8 1
SET 2 13 1
SET 2 16 1
SET 2 19 1
SET 2 20 1
SET 2 21 1
STORE Insecure
SET 0 1 1
SET 0 3 1
SET 0 5 0
SET 0 6 0
SET 0 7 0
SET 0 8 1
SET 0 9 1
SET 0 10 0
SET 0 11 0
SET 0 12 0
SET 0 13 1
SET 0 14 0
SET 0 15 0
SET 0 17 1
SET 0 18 1
SET 0 19 1
SET 1 0 1
SET 1 1 1
SET 1 3 1
SET 1 4 1
SET 1 5 0
SET 1 6 0
SET 1 7 0
SET 1 8 1
SET 1 9 1
SET 1 10 0
SET 1 12 1
SET 1 14 1
SET 1 17 0
SET 1 18 1
SET 1 21 0
SET 2 0 0
SET 2 2 0
SET 2 4 1
SET 2 6 1
SET 2 7 0
SET 2 8 0
SET 2 9 1
SET 2 12 1
SET 2 13 0
SET 2 15 1
SET 2 16 0
SET 2 17 1
SET 2 19 0
SET 2 20 0
STORE Eisenhower
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-08-4-4.txt
STORE Bennett
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-07-4-2.txt
STORE Rank
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-03-3-0.txt
STORE Vinegar
EMPTY 12 19
SET 0 0 1
SET 0 2 1
SET 0 3 1
SET 0 5 1
SET 0 6 1
SET 0 10 1
SET 0 15 1
SET 0 16 1
SET 1 1 1
SET 1 2 1
SET 1 4 1
SET 1 6 1
SET 1 10 1
SET 1 13 1
SET 1 16 1
SET 2 0 1
SET 2 3 1
SET 2 6 1
SET 2 7 1
SET 2 8 1
SET 2 16 1
SET 2 18 1
SET 3 0 1
SET 3 3 1
SET 3 5 1
SET 3 7 1
SET 3 14 1
SET 3 16 1
SET 3 17 1
SET 3 18 1
SET 4 1 1
SET 4 3 1
SET 4 7 1
SET 4 8 1
SET 4 9 1
SET 4 10 1
SET 4 12 1
SET 4 15 1
SET 4 16 1
SET 4 17 1
SET 5 0 1
SET 5 2 1
SET 5 4 1
SET 5 5 1
SET 5 6 1
SET 5 7 1
SET 5 8 1
SET 5 9 1
SET 5 10 1
SET 5 13 1
SET 5 14 1
SET 5 15 1
SET 5 17 1
SET 5 18 1
SET 6 0 1
SET 6 4 1
SET 6 6 1
SET 6 8 1
SET 6 15 1
SET 6 18 1
SET 7 0 1
SET 7 1 1
SET 7 2 1
SET 7 4 1
SET 7 5 1
SET 7 6 1
SET 7 7 1
SET 7 8 1
SET 7 9 1
SET 7 10 1
SET 7 14 1
SET 7 15 1
SET 7 16 1
SET 8 1 1
SET 8 4 1
SET 8 5 1
SET 8 6 1
SET 8 9 1
SET 8 10 1
SET 8 11 1
SET 8 13 1
SET 8 15 1
SET 8 16 1
SET 9 1 1
SET 9 2 1
SET 9 6 1
SET 9 7 1
SET 9 10 1
SET 9 12 1
SET 9 15 1
SET 9 18 1
SET 10 0 1
SET 10 1 1
SET 10 2 1
SET 10 5 1
SET 10 7 1
SET 10 10 1
SET 10 12 1
SET 10 14 1
SET 10 15 1
SET 10 17 1
SET 10 18 1
SET 11 1 1
SET 11 3 1
SET 11 4 1
SET 11 5 1
SET 11 6 1
SET 11 7 1
SET 11 8 1
SET 11 9 1
SET 11 11 1
SET 11 12 1
SET 11 17 1
STORE Annal
EMPTY 12 6
SET 0 0 1
SET 0 2 1
SET 0 4 1
SET 1 0 1
SET 1 1 1
SET 1 5 1
SET 2 0 1
SET 2 3 1
SET 2 4 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 4 0 1
SET 4 3 1
SET 4 4 1
SET 4 5 1
SET 5 1 1
SET 5 2 1
SET 5 3 1
SET 5 4 1
SET 5 5 1
SET 6 0 1
SET 6 1 1
SET 6 3 1
SET 7 3 1
SET 7 5 1
SET 8 0 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 8 4 1
SET 8 5 1
SET 9 0 1
SET 9 1 1
SET 9 3 1
SET 10 0 1
SET 10 2 1
SET 10 4 1
SET 11 4 1
SET 11 5 1
STORE Mumford
EMPTY 11 8
SET 0 1 1
SET 0 4 1
SET 1 0 1
SET 1 1 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 2 2 1
SET 2 5 1
SET 2 7 1
SET 3 2 1
SET 3 5 1
SET 3 6 1
SET 4 0 1
SET 4 1 1
SET 4 2 1
SET 4 3 1
SET 4 4 1
SET 4 6 1
SET 5 0 1
SET 5 2 1
SET 5 3 1
SET 5 6 1
SET 5 7 1
SET 6 0 1
SET 6 1 1
SET 6 3 1
SET 6 4 1
SET 6 7 1
SET 7 5 1
SET 7 6 1
SET 8 2 1
SET 8 5 1
SET 8 7 1
SET 9 0 1
SET 9 1 1
SET 9 2 1
SET 9 5 1
SET 10 2 1
STORE Friar
EMPTY 1 6
SET 0 0 1
SET 0 2 1
SET 0 3 1
SET 0 5 1
STORE Kamikaze
EMPTY 5 1
SET 0 0 1
SET 4 0 1
STORE Mateo
EMPTY 2 2
SET 1 0 1
SET 1 1 1
STORE Isaiah
EMPTY 5 2
SET 0 0 1
