READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-05-4-1.txt
STORE Decide
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-04-4-4.txt
STORE Polarogram
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-10-4-1.txt
STORE Epileptic
EMPTY 4 6
SET 0 0 1
SET 0 2 1
SET 0 4 1
SET 0 5 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 2 0 1
SET 2 1 1
SET 2 2 1
SET 2 5 1
SET 3 0 1
SET 3 3 1
SET 3 5 1
STORE Multiplet
SET 0 0 0
SET 0 1 1
SET 0 2 0
SET 0 4 0
SET 0 5 0
SET 1 0 0
SET 1 2 0
SET 1 3 0
SET 1 4 0
SET 1 5 0
SET 2 3 1
SET 2 4 1
SET 2 5 0
SET 3 0 0
SET 3 1 1
STORE Grocer
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-02-3-3.txt
STORE Proline
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-04-3-1.txt
STORE Uproarious
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-10-4-4.txt
STORE Harry
EMPTY 8 8
SET 0 2 1
SET 0 3 1
SET 0 5 1
SET 0 6 1
SET 1 3 1
SET 1 4 1
SET 1 6 1
SET 1 7 1
SET 2 0 1
SET 2 1 1
SET 2 5 1
SET 3 2 1
SET 3 6 1
SET 3 7 1
SET 4 7 1
SET 5 0 1
SET 5 2 1
SET 5 6 1
SET 6 0 1
SET 6 1 1
SET 6 4 1
SET 7 1 1
SET 7 2 1
SET 7 3 1
SET 7 4 1
SET 7 5 1
SET 7 6 1
STORE Bell
EMPTY 16 8
SET 0 1 1
SET 0 4 1
SET 0 6 1
SET 0 7 1
SET 1 1 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 7 1
SET 2 0 1
SET 2 1 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 3 5 1
SET 3 6 1
SET 4 2 1
SET 4 3 1
SET 4 5 1
SET 4 7 1
SET 5 0 1
SET 5 1 1
SET 5 3 1
SET 5 5 1
SET 6 0 1
SET 6 1 1
SET 6 6 1
SET 6 7 1
SET 7 0 1
SET 7 3 1
SET 7 7 1
SET 8 1 1
SET 8 2 1
SET 8 5 1
SET 8 6 1
SET 9 0 1
SET 9 1 1
SET 9 3 1
SET 9 4 1
SET 9 5 1
SET 9 6 1
SET 10 0 1
SET 10 6 1
SET 11 3 1
SET 12 2 1
SET 12 4 1
SET 12 6 1
SET 12 7 1
SET 13 1 1
SET 13 2 1
SET 13 3 1
SET 13 4 1
SET 13 5 1
SET 14 0 1
SET 14 2 1
SET 14 3 1
SET 14 6 1
SET 15 0 1
SET 15 3 1
SET 15 4 1
SET 15 6 1
SET 15 7 1
STORE Pincushion
EMPTY 11 4
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 3 0 1
SET 3 2 1
SET 3 3 1
SET 4 1 1
SET 4 3 1
SET 5 3 1
SET 6 0 1
SET 6 1 1
SET 6 2 1
SET 6 3 1
SET 8 0 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 9 0 1
STORE Beatrice
EMPTY 8 21
SET 0 2 1
SET 0 4 1
SET 0 5 1
SET 0 9 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 0 14 1
SET 0 18 1
SET 0 19 1
SET 1 0 1
SET 1 2 1
SET 1 9 1
SET 1 10 1
SET 1 13 1
SET 1 14 1
SET 1 16 1
SET 1 17 1
SET 1 19 1
SET 1 20 1
SET 2 5 1
SET 2 7 1
SET 2 8 1
SET 2 13 1
SET 2 17 1
SET 2 18 1
SET 2 19 1
SET 2 20 1
SET 3 0 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 6 1
SET 3 9 1
SET 3 10 1
SET 3 12 1
SET 3 14 1
SET 3 15 1
SET 3 16 1
SET 3 17 1
SET 4 1 1
SET 4 2 1
SET 4 3 1
SET 4 5 1
SET 4 6 1
SET 4 7 1
SET 4 10 1
SET 4 11 1
SET 4 15 1
SET 4 16 1
SET 4 18 1
SET 4 19 1
SET 4 20 1
SET 5 1 1
SET 5 4 1
SET 5 6 1
SET 5 8 1
