READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-07-4-3.txt
STORE Doubtful
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-04-3-1.txt
STORE Yah
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-04-4-1.txt
STORE Prelude
EMPTY 5 25
SET 0 0 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 14 1
SET 0 15 1
SET 0 20 1
SET 0 21 1
SET 0 24 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 7 1
SET 1 8 1
SET 1 10 1
SET 1 13 1
SET 1 14 1
SET 1 17 1
SET 1 18 1
SET 1 19 1
SET 1 21 1
SET 1 22 1
SET 2 1 1
SET 2 2 1
SET 2 7 1
SET 2 10 1
SET 2 13 1
SET 2 14 1
SET 2 15 1
SET 2 16 1
SET 2 17 1
SET 2 19 1
SET 2 24 1
SET 3 0 1
SET 3 4 1
SET 3 8 1
SET 3 9 1
SET 3 10 1
SET 3 11 1
SET 3 12 1
SET 3 13 1
SET 3 14 1
SET 3 15 1
SET 3 16 1
SET 3 17 1
SET 3 21 1
SET 3 22 1
SET 3 24 1
SET 4 0 1
SET 4 1 1
SET 4 2 1
SET 4 4 1
SET 4 6 1
SET 4 8 1
SET 4 13 1
SET 4 14 1
SET 4 16 1
SET 4 19 1
SET 4 22 1
STORE Perish
SET 0 2 1
SET 0 5 0
SET 0 7 0
SET 0 17 1
SET 0 18 1
SET 0 20 0
SET 0 21 0
SET 0 22 1
SET 0 24 0
SET 1 4 0
SET 1 12 1
SET 1 13 0
SET 1 14 0
SET 1 16 1
SET 1 17 0
SET 1 18 0
SET 1 21 0
SET 2 0 1
SET 2 1 0
SET 2 2 0
SET 2 3 1
SET 2 6 1
SET 2 8 1
SET 2 10 0
SET 2 13 0
SET 2 14 0
SET 2 15 0
SET 2 17 0
SET 2 18 1
SET 2 22 1
SET 3 0 0
SET 3 1 1
SET 3 4 0
SET 3 9 0
SET 3 13 0
SET 3 15 0
SET 3 17 0
SET 3 20 1
SET 3 23 1
SET 3 24 0
SET 4 1 0
SET 4 2 0
SET 4 3 1
SET 4 5 1
SET 4 6 0
SET 4 7 1
SET 4 8 0
SET 4 9 1
SET 4 11 1
SET 4 12 1
SET 4 15 1
SET 4 17 1
SET 4 19 0
SET 4 20 1
SET 4 21 1
SET 4 24 1
STORE Charlie
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-11-4-2.txt
STORE Herringbone
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-02-4-2.txt
STORE Anise
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-11-05-4-3.txt
STORE Fogging
EMPTY 3 11
SET 0 0 1
SET 0 2 1
SET 0 4 1
SET 1 0 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 8 1
SET 1 9 1
SET 1 10 1
SET 2 0 1
SET 2 1 1
SET 2 2 1
SET 2 3 1
SET 2 7 1
SET 2 8 1
SET 2 9 1
STORE Hanley
EMPTY 1 20
SET 0 0 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 8 1
SET 0 9 1
SET 0 10 1
SET 0 12 1
SET 0 14 1
SET 0 15 1
SET 0 19 1
STORE Lanthanum
EMPTY 8 12
SET 0 2 1
SET 0 3 1
SET 0 6 1
SET 0 8 1
SET 0 11 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 8 1
SET 1 10 1
SET 2 1 1
SET 2 3 1
SET 2 5 1
SET 2 6 1
SET 2 8 1
SET 2 9 1
SET 2 11 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 3 6 1
SET 3 7 1
SET 3 9 1
SET 3 10 1
SET 4 3 1
SET 4 5 1
SET 4 7 1
SET 4 9 1
SET 4 11 1
SET 5 1 1
SET 5 2 1
SET 5 6 1
SET 5 7 1
SET 5 10 1
SET 5 11 1
SET 6 2 1
SET 6 3 1
SET 6 4 1
SET 6 5 1
SET 6 7 1
SET 6 10 1
SET 6 11 1
SET 7 0 1
SET 7 2 1
SET 7 3 1
SET 7 4 1
SET 7 5 1
SET 7 6 1
SET 7 7 1
SET 7 8 1
SET 7 10 1
STORE Relict
EMPTY 5 13
SET 0 2 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 1 1 1
SET 1 4 1
SET 1 6 1
SET 1 8 1
SET 2 1 1
SET 2 2 1
SET 2 4 1
SET 2 6 1
SET 2 9 1
SET 3 0 1
SET 3 1 1
SET 3 4 1
SET 3 5 1
SET 3 6 1
SET 3 10 1
SET 4 0 1
SET 4 2 1
SET 4 5 1
SET 4 8 1
SET 4 9 1
SET 4 11 1
SET 4 12 1
STORE Impalpable
EMPTY 6 24
SET 0 0 1
SET 0 2 1
SET 0 4 1
SET 0 6 1
SET 0 7 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 0 15 1
SET 0 16 1
SET 0 19 1
SET 1 1 1
SET 1 2 1
SET 1 6 1
SET 1 9 1
SET 1 11 1
SET 1 12 1
SET 1 13 1
SET 1 14 1
SET 1 17 1
SET 1 22 1
SET 2 5 1
SET 2 6 1
SET 2 8 1
SET 2 9 1
SET 2 11 1
SET 2 13 1
SET 2 14 1
SET 2 18 1
SET 2 19 1
SET 2 23 1
SET 3 0 1
SET 3 3 1
SET 3 5 1
SET 3 6 1
SET 3 9 1
SET 3 10 1
SET 3 15 1
SET 3 17 1
SET 3 19 1
SET 3 20 1
SET 3 21 1
SET 3 22 1
SET 4 4 1
SET 4 5 1
SET 4 7 1
SET 4 9 1
SET 4 11 1
SET 4 16 1
