READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-11-4-4.txt
STORE Guatemala
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-02-4-2.txt
STORE Absurd
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-07-4-0.txt
STORE Brigantine
EMPTY 5 20
SET 0 1 1
SET 0 3 1
SET 0 15 1
SET 0 16 1
SET 0 19 1
SET 1 0 1
SET 1 2 1
SET 1 4 1
SET 1 6 1
SET 1 7 1
SET 1 8 1
SET 1 9 1
SET 1 10 1
SET 1 12 1
SET 1 13 1
SET 1 14 1
SET 1 15 1
SET 2 1 1
SET 2 2 1
SET 2 4 1
SET 2 6 1
SET 2 13 1
SET 2 14 1
SET 2 17 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 6 1
SET 3 11 1
SET 3 12 1
SET 3 13 1
SET 3 15 1
SET 3 16 1
SET 3 17 1
SET 3 18 1
SET 4 0 1
SET 4 1 1
SET 4 2 1
SET 4 5 1
SET 4 6 1
SET 4 7 1
SET 4 8 1
SET 4 9 1
SET 4 10 1
SET 4 11 1
SET 4 14 1
SET 4 16 1
SET 4 17 1
SET 4 18 1
STORE Jujube
SET 0 0 1
SET 0 1 0
SET 0 4 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 15 0
SET 0 18 1
SET 1 0 0
SET 1 1 1
SET 1 6 0
SET 1 8 0
SET 1 10 0
SET 1 12 0
SET 1 14 0
SET 1 15 0
SET 1 17 1
SET 1 18 1
SET 2 1 0
SET 2 3 1
SET 2 5 1
SET 2 7 1
SET 2 10 1
SET 2 11 1
SET 2 12 1
SET 2 13 0
SET 2 14 0
SET 2 15 1
SET 3 0 0
SET 3 2 0
SET 3 5 1
SET 3 9 1
SET 3 10 1
SET 3 13 0
SET 3 15 0
SET 3 18 0
SET 3 19 1
SET 4 2 0
SET 4 3 1
SET 4 5 0
SET 4 8 0
SET 4 9 0
SET 4 11 0
SET 4 13 1
SET 4 14 0
SET 4 16 0
SET 4 17 0
STORE Eucalyptus
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-03-4-3.txt
STORE Programmable
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-06-4-0.txt
STORE Despite
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-13-4-0.txt
STORE Tableland
EMPTY 6 15
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 10 1
SET 0 11 1
SET 0 13 1
SET 1 0 1
SET 1 3 1
SET 1 9 1
SET 1 10 1
SET 1 12 1
SET 2 0 1
SET 2 1 1
SET 2 3 1
SET 2 5 1
SET 2 6 1
SET 2 9 1
SET 2 12 1
SET 2 14 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 3 6 1
SET 3 7 1
SET 3 8 1
SET 3 9 1
SET 3 10 1
SET 3 12 1
SET 4 0 1
SET 4 2 1
SET 4 4 1
SET 4 5 1
SET 4 6 1
SET 4 12 1
SET 4 13 1
SET 4 14 1
SET 5 0 1
SET 5 6 1
SET 5 7 1
SET 5 8 1
SET 5 9 1
SET 5 10 1
SET 5 11 1
SET 5 12 1
SET 5 14 1
STORE Questionnaire
EMPTY 6 6
SET 0 1 1
SET 0 4 1
SET 0 5 1
SET 1 0 1
SET 2 1 1
SET 2 2 1
SET 2 3 1
SET 3 0 1
SET 3 2 1
SET 3 4 1
SET 3 5 1
SET 4 0 1
SET 4 1 1
SET 4 2 1
SET 4 3 1
SET 5 0 1
SET 5 1 1
SET 5 4 1
STORE Renounce
EMPTY 11 15
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 8 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 0 14 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 9 1
SET 1 13 1
SET 2 0 1
SET 2 1 1
SET 2 4 1
SET 2 6 1
SET 2 11 1
SET 2 12 1
SET 2 13 1
SET 2 14 1
SET 3 3 1
SET 3 7 1
SET 3 8 1
SET 3 11 1
SET 3 12 1
SET 3 13 1
SET 4 1 1
SET 4 5 1
SET 4 7 1
SET 4 8 1
SET 4 10 1
SET 4 12 1
SET 4 14 1
SET 5 0 1
SET 5 1 1
SET 5 3 1
SET 5 4 1
SET 5 7 1
SET 5 9 1
SET 5 11 1
SET 5 12 1
SET 5 13 1
SET 6 3 1
SET 6 5 1
SET 6 7 1
SET 6 8 1
SET 6 9 1
SET 6 11 1
SET 6 12 1
SET 6 13 1
SET 7 1 1
SET 7 2 1
SET 7 5 1
SET 7 6 1
SET 7 8 1
SET 7 9 1
SET 7 13 1
SET 7 14 1
SET 8 2 1
SET 8 4 1
SET 8 5 1
SET 8 6 1
SET 8 11 1
SET 8 13 1
SET 9 0 1
SET 9 1 1
SET 9 2 1
SET 9 4 1
SET 9 5 1
SET 9 6 1
SET 9 9 1
SET 9 10 1
SET 9 11 1
SET 10 3 1
SET 10 4 1
SET 10 7 1
SET 10 8 1
SET 10 9 1
SET 10 13 1
STORE Litigant
EMPTY 10 8
SET 0 1 1
SET 0 4 1
SET 1 0 1
SET 1 4 1
SET 1 6 1
SET 2 1 1
SET 2 3 1
SET 2 5 1
SET 2 6 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 4 1
SET 3 5 1
SET 3 7 1
SET 4 0 1
SET 4 4 1
SET 5 1 1
SET 5 3 1
SET 5 5 1
SET 5 6 1
SET 5 7 1
SET 6 1 1
SET 6 2 1
SET 6 7 1
SET 7 0 1
SET 7 2 1
SET 7 3 1
SET 7 5 1
SET 7 6 1
SET 7 7 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 8 4 1
SET 8 6 1
SET 9 0 1
SET 9 2 1
SET 9 7 1
STORE Collectible
EMPTY 15 1
SET 1 0 1
SET 2 0 1
SET 6 0 1
SET 10 0 1
SET 11 0 1
SET 14 0 1
STORE Nostrand
EMPTY 7 8
SET 0 1 1
SET 0 2 1
SET 0 4 1
SET 0 5 1
SET 0 7 1
SET 1 1 1
SET 1 3 1
SET 1 5 1
SET 1 6 1
SET 1 7 1
SET 2 0 1
SET 2 1 1
SET 2 3 1
SET 2 5 1
SET 2 6 1
SET 3 0 1
SET 3 4 1
SET 3 5 1
SET 3 6 1
SET 4 1 1
SET 4 2 1
SET 4 3 1
SET 4 4 1
SET 4 5 1
SET 4 6 1
SET 5 1 1
SET 5 2 1
SET 5 3 1
SET 5 4 1
SET 5 6 1
SET 6 1 1
SET 6 5 1
SET 6 6 1
SET 6 7 1
STORE Iroquois
EMPTY 14 19
SET 0 0 1
SET 0 1 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 11 1
SET 0 12 1
SET 0 15 1
SET 0 17 1
SET 1 2 1
SET 1 3 1
SET 1 5 1
SET 1 7 1
SET 1 10 1
SET 1 11 1
SET 1 15 1
SET 1 16 1
SET 1 18 1
SET 2 0 1
SET 2 5 1
SET 2 6 1
SET 2 7 1
SET 2 8 1
SET 2 12 1
SET 2 16 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 7 1
SET 3 8 1
SET 3 10 1
SET 3 12 1
SET 3 13 1
SET 3 16 1
SET 4 0 1
SET 4 3 1
SET 4 4 1
SET 4 6 1
SET 4 7 1
SET 4 8 1
SET 4 9 1
SET 4 11 1
SET 4 13 1
SET 4 14 1
SET 4 16 1
SET 4 17 1
SET 4 18 1
SET 5 2 1
SET 5 3 1
SET 5 5 1
SET 5 7 1
SET 5 10 1
SET 5 11 1
SET 5 13 1
SET 5 14 1
SET 5 18 1
SET 6 1 1
SET 6 2 1
SET 6 4 1
SET 6 7 1
SET 6 8 1
SET 6 9 1
SET 6 10 1
SET 6 13 1
SET 6 15 1
SET 6 16 1
SET 7 2 1
SET 7 3 1
SET 7 4 1
SET 7 5 1
SET 7 6 1
SET 7 8 1
SET 7 10 1
SET 7 13 1
SET 7 15 1
SET 7 16 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 8 4 1
SET 8 8 1
SET 8 12 1
SET 8 13 1
SET 8 14 1
SET 8 15 1
SET 8 16 1
SET 8 17 1
SET 9 3 1
SET 9 4 1
SET 9 5 1
SET 9 8 1
SET 9 9 1
SET 9 10 1
SET 9 11 1
SET 9 12 1
SET 9 13 1
SET 9 14 1
SET 9 15 1
SET 9 16 1
SET 9 17 1
SET 10 0 1
SET 10 1 1
SET 10 2 1
SET 10 3 1
SET 10 5 1
SET 10 7 1
SET 10 8 1
SET 10 10 1
SET 10 11 1
SET 10 14 1
SET 10 15 1
SET 10 17 1
SET 11 1 1
SET 11 2 1
SET 11 3 1
SET 11 5 1
SET 11 7 1
SET 11 9 1
SET 11 10 1
SET 11 11 1
SET 11 13 1
SET 11 14 1
SET 11 15 1
SET 11 16 1
SET 11 17 1
SET 11 18 1
SET 12 1 1
SET 12 3 1
SET 12 6 1
SET 12 7 1
SET 12 10 1
SET 12 11 1
SET 12 17 1
SET 12 18 1
SET 13 1 1
SET 13 4 1
SET 13 5 1
SET 13 6 1
SET 13 8 1
SET 13 10 1
SET 13 11 1
SET 13 13 1
SET 13 14 1
SET 13 15 1
SET 13 16 1
SET 13 18 1
STORE Hydroelectric
EMPTY 13 14
SET 0 0 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 10 1
SET 0 11 1
