READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-05-4-1.txt
STORE Individuate
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-03-3-4.txt
STORE Perfumery
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-02-4-0.txt
STORE Plump
EMPTY 6 14
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 8 1
SET 0 9 1
SET 0 13 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 8 1
SET 1 9 1
SET 1 11 1
SET 1 12 1
SET 2 2 1
SET 2 3 1
SET 2 6 1
SET 2 8 1
SET 2 9 1
SET 2 12 1
SET 2 13 1
SET 3 3 1
SET 3 6 1
SET 3 7 1
SET 3 8 1
SET 3 11 1
SET 3 12 1
SET 3 13 1
SET 4 0 1
SET 4 2 1
SET 4 3 1
SET 4 5 1
SET 4 6 1
SET 4 12 1
SET 5 0 1
SET 5 1 1
SET 5 2 1
SET 5 3 1
SET 5 6 1
SET 5 7 1
SET 5 8 1
SET 5 10 1
SET 5 11 1
SET 5 12 1
STORE Manuel
SET 0 1 0
SET 0 2 0
SET 0 3 0
SET 0 4 0
SET 0 8 0
SET 0 10 1
SET 0 11 1
SET 0 13 0
SET 1 0 1
SET 1 2 0
SET 1 3 0
SET 1 4 0
SET 1 7 1
SET 1 8 0
SET 1 13 1
SET 2 0 1
SET 2 2 0
SET 2 5 1
SET 2 11 1
SET 2 13 0
SET 3 0 1
SET 3 2 1
SET 3 4 1
SET 3 11 0
SET 3 13 0
SET 4 0 0
SET 4 1 1
SET 4 2 0
SET 4 3 0
SET 4 4 1
SET 4 8 1
SET 4 9 1
SET 4 10 1
SET 4 11 1
SET 4 12 0
SET 5 3 0
SET 5 5 1
SET 5 6 0
SET 5 8 0
SET 5 9 1
SET 5 12 0
SET 5 13 1
STORE Smalley
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-10-05-4-3.txt
STORE Mystery
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-02-3-0.txt
STORE Nowhere
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-11-04-4-1.txt
STORE Jones
EMPTY 6 7
SET 0 0 1
SET 0 1 1
SET 0 3 1
SET 0 4 1
SET 0 6 1
SET 1 0 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 2 0 1
SET 2 1 1
SET 2 2 1
SET 2 3 1
SET 2 5 1
SET 3 1 1
SET 3 2 1
SET 3 4 1
SET 3 6 1
SET 4 1 1
SET 4 2 1
SET 4 3 1
SET 4 4 1
SET 4 5 1
SET 4 6 1
SET 5 1 1
SET 5 5 1
STORE Basis
EMPTY 4 20
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 7 1
SET 0 9 1
SET 0 10 1
SET 0 14 1
SET 0 16 1
SET 0 18 1
SET 1 6 1
SET 1 7 1
SET 1 11 1
SET 1 15 1
SET 1 16 1
SET 1 17 1
SET 1 19 1
SET 2 1 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 7 1
SET 2 8 1
SET 2 10 1
SET 2 11 1
SET 2 16 1
SET 3 4 1
SET 3 5 1
SET 3 6 1
SET 3 10 1
SET 3 11 1
SET 3 12 1
SET 3 14 1
SET 3 15 1
SET 3 19 1
STORE Ringlet
EMPTY 16 15
SET 0 2 1
SET 0 4 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 12 1
SET 0 13 1
SET 0 14 1
SET 1 2 1
SET 1 3 1
SET 1 5 1
SET 1 7 1
SET 1 8 1
SET 1 10 1
SET 1 11 1
SET 2 1 1
SET 2 2 1
SET 2 4 1
SET 2 6 1
SET 2 7 1
SET 2 9 1
SET 2 11 1
SET 2 14 1
SET 3 2 1
SET 3 4 1
SET 3 12 1
SET 4 0 1
SET 4 1 1
SET 4 2 1
SET 4 3 1
SET 4 5 1
SET 4 7 1
SET 4 9 1
SET 4 11 1
SET 4 13 1
SET 5 1 1
SET 5 2 1
SET 5 3 1
SET 5 6 1
SET 5 7 1
SET 5 10 1
SET 5 11 1
SET 6 1 1
SET 6 3 1
SET 6 4 1
SET 6 8 1
SET 7 1 1
SET 7 3 1
SET 7 4 1
SET 7 5 1
SET 7 6 1
SET 7 7 1
SET 7 9 1
SET 8 4 1
SET 8 6 1
SET 8 7 1
SET 8 9 1
SET 8 11 1
SET 8 13 1
SET 8 14 1
SET 9 0 1
SET 9 1 1
SET 9 2 1
SET 9 5 1
SET 9 7 1
SET 9 9 1
