READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-11-4-2.txt
STORE Dexterity
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-05-4-0.txt
STORE Nanking
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-04-4-4.txt
STORE Afterthought
EMPTY 6 9
SET 0 0 1
SET 0 2 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 8 1
SET 2 0 1
SET 2 3 1
SET 2 5 1
SET 2 7 1
SET 3 4 1
SET 4 0 1
SET 4 1 1
SET 4 2 1
SET 4 3 1
SET 4 4 1
SET 4 7 1
SET 5 0 1
SET 5 2 1
SET 5 3 1
SET 5 4 1
SET 5 5 1
SET 5 6 1
SET 5 7 1
STORE Servitude
SET 0 0 0
SET 0 1 1
SET 0 6 0
SET 0 7 0
SET 0 8 0
SET 1 0 0
SET 1 3 0
SET 1 6 1
SET 1 7 1
SET 1 8 0
SET 2 0 0
SET 2 2 1
SET 2 3 0
SET 2 5 0
SET 3 2 1
SET 3 3 1
SET 3 4 0
SET 4 0 0
SET 4 1 0
SET 4 4 0
SET 4 5 1
SET 4 7 0
SET 5 4 0
SET 5 5 0
SET 5 7 0
STORE Premeditate
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-04-4-3.txt
STORE Linoleum
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-10-4-0.txt
STORE Sana
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-03-4-4.txt
STORE Inlaid
EMPTY 12 19
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 4 1
SET 0 7 1
SET 0 10 1
SET 0 12 1
SET 0 13 1
SET 0 15 1
SET 0 17 1
SET 0 18 1
SET 1 0 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 7 1
SET 1 8 1
SET 1 9 1
SET 1 16 1
SET 1 17 1
SET 2 2 1
SET 2 3 1
SET 2 5 1
SET 2 7 1
SET 2 8 1
SET 2 9 1
SET 2 11 1
SET 2 13 1
SET 2 16 1
SET 2 17 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 3 8 1
SET 3 12 1
SET 3 14 1
SET 3 15 1
SET 3 18 1
SET 4 0 1
SET 4 2 1
SET 4 3 1
SET 4 5 1
SET 4 6 1
SET 4 7 1
SET 4 8 1
SET 4 10 1
SET 4 16 1
SET 5 2 1
SET 5 9 1
SET 5 11 1
SET 5 13 1
SET 5 14 1
SET 5 16 1
SET 5 17 1
SET 5 18 1
SET 6 0 1
SET 6 1 1
SET 6 4 1
SET 6 6 1
SET 6 7 1
SET 6 10 1
SET 6 12 1
SET 6 15 1
SET 6 16 1
SET 6 18 1
SET 7 0 1
SET 7 2 1
SET 7 4 1
SET 7 5 1
SET 7 6 1
SET 7 15 1
SET 7 17 1
SET 7 18 1
SET 8 1 1
SET 8 3 1
SET 8 7 1
SET 8 8 1
SET 8 9 1
SET 8 10 1
SET 8 11 1
SET 8 16 1
SET 8 17 1
SET 8 18 1
SET 9 0 1
SET 9 1 1
SET 9 9 1
SET 9 13 1
SET 9 15 1
SET 9 16 1
SET 10 1 1
SET 10 2 1
SET 10 3 1
SET 10 4 1
SET 10 5 1
SET 10 6 1
SET 10 10 1
SET 10 11 1
SET 10 13 1
SET 10 15 1
SET 11 3 1
SET 11 4 1
SET 11 7 1
SET 11 8 1
SET 11 10 1
SET 11 11 1
SET 11 13 1
SET 11 14 1
STORE Inclination
EMPTY 15 14
SET 0 1 1
SET 0 2 1
SET 0 7 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 1 0 1
SET 1 1 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 7 1
SET 1 10 1
SET 1 11 1
SET 1 13 1
SET 2 1 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 9 1
SET 2 10 1
SET 2 11 1
SET 2 13 1
SET 3 0 1
SET 3 1 1
SET 3 4 1
SET 3 5 1
SET 3 9 1
SET 3 10 1
SET 3 12 1
SET 3 13 1
SET 4 0 1
SET 4 2 1
SET 4 5 1
SET 4 7 1
SET 4 9 1
SET 4 13 1
