READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-13-4-0.txt
STORE Transcription
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-02-4-3.txt
STORE Obstetric
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-03-4-3.txt
STORE Conclusion
EMPTY 7 23
SET 0 1 1
SET 0 3 1
SET 0 15 1
SET 0 16 1
SET 0 19 1
SET 0 20 1
SET 0 22 1
SET 1 1 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 7 1
SET 1 9 1
SET 1 10 1
SET 1 11 1
SET 1 12 1
SET 1 18 1
SET 1 19 1
SET 1 21 1
SET 2 0 1
SET 2 7 1
SET 2 8 1
SET 2 11 1
SET 2 14 1
SET 2 15 1
SET 2 16 1
SET 2 17 1
SET 2 20 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 6 1
SET 3 7 1
SET 3 8 1
SET 3 9 1
SET 3 11 1
SET 3 12 1
SET 3 13 1
SET 3 16 1
SET 3 17 1
SET 3 18 1
SET 3 19 1
SET 3 20 1
SET 3 21 1
SET 3 22 1
SET 4 2 1
SET 4 4 1
SET 4 5 1
SET 4 6 1
SET 4 8 1
SET 4 11 1
SET 4 12 1
SET 4 14 1
SET 4 15 1
SET 4 16 1
SET 4 17 1
SET 5 1 1
SET 5 3 1
SET 5 4 1
SET 5 6 1
SET 5 7 1
SET 5 9 1
SET 5 12 1
SET 5 14 1
SET 5 18 1
SET 5 22 1
SET 6 0 1
SET 6 4 1
SET 6 5 1
SET 6 6 1
SET 6 7 1
SET 6 8 1
SET 6 9 1
SET 6 12 1
SET 6 13 1
SET 6 14 1
SET 6 17 1
SET 6 19 1
STORE Bramble
SET 0 0 1
SET 0 1 0
SET 0 2 1
SET 0 3 0
SET 0 4 1
SET 0 5 1
SET 0 8 1
SET 0 9 1
SET 0 10 1
SET 0 11 1
SET 0 18 1
SET 1 1 0
SET 1 2 1
SET 1 4 0
SET 1 5 0
SET 1 7 0
SET 1 10 0
SET 1 11 0
SET 1 12 0
SET 1 14 1
SET 1 16 1
SET 1 17 1
SET 1 20 1
SET 1 21 0
SET 1 22 1
SET 2 1 1
SET 2 2 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 9 1
SET 2 13 1
SET 2 14 0
SET 2 15 0
SET 2 17 0
SET 2 20 0
SET 2 22 1
SET 3 0 1
SET 3 3 0
SET 3 4 0
SET 3 5 1
SET 3 7 0
SET 3 9 0
SET 3 10 1
SET 3 12 0
SET 3 13 0
SET 3 14 1
SET 3 16 0
SET 3 18 0
SET 3 20 0
SET 3 21 0
SET 3 22 0
SET 4 0 1
SET 4 1 1
SET 4 3 1
SET 4 7 1
SET 4 8 0
SET 4 9 1
SET 4 11 0
SET 4 15 0
SET 4 18 1
SET 5 2 1
SET 5 6 0
SET 5 7 0
SET 5 9 0
SET 5 10 1
SET 5 11 1
SET 5 13 1
SET 5 15 1
SET 5 16 1
SET 5 19 1
SET 5 20 1
SET 6 0 0
SET 6 2 1
SET 6 3 1
SET 6 5 0
SET 6 6 0
SET 6 7 0
SET 6 8 0
SET 6 9 0
SET 6 11 1
SET 6 14 0
SET 6 16 1
SET 6 17 0
SET 6 18 1
SET 6 19 0
SET 6 20 1
SET 6 21 1
SET 6 22 1
STORE Birdbath
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-02-4-0.txt
STORE Bistable
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-07-4-4.txt
STORE Doorkeep
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-03-3-3.txt
STORE Roulette
EMPTY 3 22
SET 0 0 1
SET 0 1 1
SET 0 4 1
SET 0 7 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 0 14 1
SET 0 16 1
SET 0 19 1
SET 0 20 1
SET 0 21 1
SET 1 0 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 10 1
SET 1 14 1
SET 1 16 1
SET 1 17 1
SET 1 20 1
SET 2 0 1
SET 2 5 1
SET 2 6 1
SET 2 7 1
SET 2 8 1
SET 2 12 1
SET 2 16 1
SET 2 17 1
SET 2 20 1
SET 2 21 1
STORE Spittle
EMPTY 12 23
SET 0 1 1
SET 0 5 1
SET 0 7 1
SET 0 8 1
SET 0 10 1
SET 0 12 1
SET 0 14 1
SET 0 15 1
SET 0 16 1
SET 0 18 1
SET 0 19 1
SET 0 22 1
SET 1 1 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 10 1
SET 1 12 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 1 18 1
SET 1 19 1
SET 1 20 1
SET 2 0 1
SET 2 1 1
SET 2 4 1
SET 2 5 1
SET 2 7 1
SET 2 8 1
SET 2 12 1
SET 2 13 1
SET 2 16 1
SET 2 18 1
SET 2 19 1
SET 2 20 1
SET 3 2 1
SET 3 4 1
SET 3 6 1
SET 3 7 1
SET 3 8 1
SET 3 10 1
SET 3 11 1
SET 3 12 1
SET 3 15 1
SET 3 16 1
SET 3 17 1
SET 4 1 1
SET 4 2 1
SET 4 5 1
SET 4 6 1
SET 4 7 1
SET 4 11 1
SET 4 13 1
SET 4 16 1
SET 4 19 1
SET 5 0 1
SET 5 4 1
SET 5 6 1
SET 5 9 1
SET 5 11 1
SET 5 13 1
SET 5 14 1
SET 5 16 1
SET 5 17 1
SET 5 18 1
SET 5 20 1
SET 5 21 1
SET 6 0 1
SET 6 1 1
SET 6 5 1
SET 6 10 1
SET 6 12 1
SET 6 14 1
SET 6 15 1
SET 6 16 1
SET 6 18 1
SET 6 19 1
SET 7 1 1
SET 7 2 1
SET 7 4 1
SET 7 5 1
SET 7 7 1
SET 7 8 1
SET 7 9 1
SET 7 11 1
SET 7 12 1
SET 7 13 1
SET 7 14 1
SET 7 16 1
SET 7 18 1
SET 7 20 1
SET 8 2 1
SET 8 6 1
SET 8 7 1
SET 8 11 1
SET 8 15 1
SET 8 16 1
SET 8 19 1
SET 9 0 1
SET 9 1 1
SET 9 3 1
SET 9 4 1
SET 9 6 1
SET 9 8 1
SET 9 10 1
SET 9 12 1
SET 9 13 1
SET 9 14 1
SET 9 15 1
SET 9 16 1
SET 9 18 1
SET 9 20 1
SET 9 21 1
SET 10 0 1
SET 10 4 1
SET 10 5 1
SET 10 6 1
SET 10 9 1
SET 10 10 1
SET 10 11 1
SET 10 12 1
SET 10 13 1
SET 10 14 1
SET 10 17 1
SET 10 18 1
SET 10 19 1
SET 10 20 1
SET 10 22 1
SET 11 2 1
SET 11 6 1
SET 11 7 1
SET 11 8 1
SET 11 9 1
SET 11 11 1
SET 11 12 1
SET 11 14 1
SET 11 15 1
SET 11 16 1
SET 11 18 1
SET 11 19 1
SET 11 20 1
SET 11 22 1
STORE Aurelius
EMPTY 4 5
SET 0 1 1
SET 0 3 1
SET 1 2 1
SET 1 3 1
SET 2 0 1
SET 2 2 1
SET 3 0 1
SET 3 1 1
STORE Barnabas
EMPTY 2 19
SET 0 1 1
SET 0 2 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 10 1
SET 0 14 1
SET 0 18 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 9 1
SET 1 10 1
SET 1 12 1
SET 1 14 1
SET 1 15 1
SET 1 18 1
STORE Chancellor
EMPTY 1 13
SET 0 0 1
SET 0 3 1
SET 0 4 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 11 1
STORE Waive
EMPTY 2 15
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 6 1
SET 0 7 1
SET 0 9 1
SET 0 11 1
SET 0 14 1
SET 1 0 1
SET 1 2 1
SET 1 3 1
SET 1 7 1
SET 1 9 1
SET 1 10 1
SET 1 12 1
STORE Hertz
EMPTY 6 9
SET 0 0 1
SET 0 1 1
SET 0 4 1
SET 0 6 1
SET 0 7 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 7 1
SET 2 0 1
SET 2 2 1
SET 2 5 1
SET 2 7 1
SET 2 8 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 3 6 1
SET 4 1 1
SET 4 5 1
SET 4 6 1
SET 4 7 1
SET 4 8 1
SET 5 0 1
SET 5 1 1
SET 5 6 1
SET 5 7 1
SET 5 8 1
STORE Jose
EMPTY 11 13
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 11 1
SET 0 12 1
SET 1 0 1
SET 1 1 1
SET 1 3 1
SET 1 5 1
SET 1 6 1
SET 1 8 1
SET 1 9 1
SET 1 12 1
SET 2 0 1
SET 2 2 1
SET 2 5 1
SET 2 6 1
SET 2 7 1
SET 2 9 1
SET 2 11 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 4 1
SET 3 5 1
SET 3 6 1
SET 3 7 1
SET 3 8 1
SET 3 9 1
SET 3 11 1
SET 4 0 1
SET 4 3 1
SET 4 4 1
SET 4 7 1
SET 4 8 1
SET 5 1 1
SET 5 2 1
SET 5 4 1
SET 5 7 1
SET 5 8 1
SET 5 9 1
SET 5 11 1
SET 6 0 1
SET 6 1 1
SET 6 3 1
SET 6 4 1
SET 6 5 1
SET 6 6 1
SET 6 8 1
SET 6 10 1
SET 6 11 1
SET 7 0 1
SET 7 1 1
SET 7 2 1
SET 7 3 1
SET 7 8 1
