READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-10-06-4-0.txt
STORE Limousine
EMPTY 14 20
SET 0 1 1
SET 0 2 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 12 1
SET 0 13 1
SET 0 14 1
SET 0 16 1
SET 0 17 1
SET 1 2 1
SET 1 3 1
SET 1 6 1
SET 1 9 1
SET 1 10 1
SET 1 11 1
SET 1 14 1
SET 1 15 1
SET 1 17 1
SET 2 0 1
SET 2 1 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 8 1
SET 2 9 1
SET 2 13 1
SET 2 14 1
SET 2 19 1
SET 3 2 1
SET 3 5 1
SET 3 6 1
SET 3 7 1
SET 3 8 1
SET 3 9 1
SET 3 11 1
SET 3 16 1
SET 3 17 1
SET 4 1 1
SET 4 5 1
SET 4 6 1
SET 4 7 1
SET 4 8 1
SET 4 9 1
SET 4 10 1
SET 4 11 1
SET 4 12 1
SET 4 13 1
SET 4 14 1
SET 4 18 1
SET 4 19 1
SET 5 1 1
SET 5 2 1
SET 5 3 1
SET 5 4 1
SET 5 6 1
SET 5 8 1
SET 5 10 1
SET 5 15 1
SET 5 16 1
SET 5 18 1
SET 6 1 1
SET 6 4 1
SET 6 7 1
SET 6 9 1
SET 6 13 1
SET 6 17 1
SET 6 18 1
SET 6 19 1
SET 7 1 1
SET 7 2 1
SET 7 4 1
SET 7 5 1
SET 7 9 1
SET 7 14 1
SET 7 15 1
SET 7 19 1
SET 8 0 1
SET 8 2 1
SET 8 4 1
SET 8 8 1
SET 8 11 1
SET 8 14 1
SET 8 17 1
SET 9 0 1
SET 9 3 1
SET 9 4 1
SET 9 5 1
SET 9 13 1
SET 9 15 1
SET 9 16 1
SET 9 19 1
SET 10 1 1
SET 10 3 1
SET 10 10 1
SET 10 12 1
SET 10 13 1
SET 10 14 1
SET 10 16 1
SET 10 18 1
SET 11 2 1
SET 11 3 1
SET 11 4 1
SET 11 5 1
SET 11 7 1
SET 11 10 1
SET 11 11 1
SET 11 12 1
SET 11 14 1
SET 11 16 1
SET 11 18 1
SET 11 19 1
SET 12 0 1
SET 12 1 1
SET 12 2 1
SET 12 3 1
SET 12 4 1
SET 12 7 1
SET 12 8 1
SET 12 9 1
SET 12 11 1
SET 12 12 1
SET 12 13 1
SET 12 17 1
SET 12 19 1
SET 13 1 1
SET 13 8 1
SET 13 11 1
SET 13 12 1
SET 13 13 1
SET 13 14 1
SET 13 16 1
SET 13 17 1
SET 13 18 1
SET 13 19 1
STORE Xerox
SET 0 0 1
SET 0 6 1
SET 0 9 0
SET 0 13 0
SET 0 14 0
SET 0 15 1
SET 1 0 1
SET 1 1 1
SET 1 3 0
SET 1 4 1
SET 1 7 1
SET 1 9 0
SET 1 10 0
SET 1 12 1
SET 1 14 0
SET 1 15 0
SET 1 16 1
SET 2 1 0
SET 2 2 1
SET 2 4 0
SET 2 6 0
SET 2 10 1
SET 2 11 1
SET 2 13 0
SET 2 16 1
SET 3 1 1
SET 3 2 0
SET 3 3 1
SET 3 4 1
SET 3 5 0
SET 3 8 0
SET 3 12 1
SET 3 13 1
SET 3 14 1
SET 3 15 1
SET 3 19 1
SET 4 0 1
SET 4 1 0
SET 4 6 0
SET 4 8 0
SET 4 10 0
SET 4 12 0
SET 4 14 0
SET 4 15 1
SET 4 16 1
SET 4 18 0
SET 4 19 0
SET 5 0 1
SET 5 2 0
SET 5 3 0
SET 5 5 1
SET 5 6 0
SET 5 9 1
SET 5 11 1
SET 5 13 1
SET 5 15 0
SET 5 17 1
SET 6 0 1
SET 6 2 1
SET 6 3 1
SET 6 5 1
SET 6 6 1
SET 6 7 0
SET 6 8 1
SET 6 9 0
SET 6 13 0
SET 6 14 1
SET 6 16 1
SET 7 0 1
SET 7 3 1
SET 7 5 0
SET 7 6 1
SET 7 11 1
SET 7 13 1
SET 7 14 0
SET 7 15 0
SET 8 7 1
SET 8 8 0
SET 8 12 1
SET 8 14 0
SET 8 15 1
SET 8 16 1
SET 9 0 0
SET 9 1 1
SET 9 3 0
SET 9 5 0
SET 9 6 1
SET 9 9 1
SET 9 12 1
SET 9 17 1
SET 9 18 1
SET 10 5 1
SET 10 6 1
SET 10 9 1
SET 10 11 1
SET 10 13 0
SET 10 15 1
SET 10 16 0
SET 11 2 0
SET 11 3 0
SET 11 7 0
SET 11 9 1
SET 11 10 0
SET 11 11 0
SET 11 15 1
SET 11 17 1
SET 11 18 0
SET 11 19 0
SET 12 1 0
SET 12 2 0
SET 12 3 0
SET 12 4 0
SET 12 5 1
