READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-07-4-1.txt
STORE Piraeus
RECALL Heterozygous
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-07-4-2.txt
STORE Sherwood
SUM Piraeus Sherwood
STORE Victor
PRINT 13
ALL
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-03-3-1.txt
STORE Stir
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-04-4-2.txt
STORE Yip
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-02-4-1.txt
STORE Whiplash
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-02-4-4.txt
STORE Abandon
ALL
RECALL Whiplash
PRINT 15
EMPTY 12 22
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 10 1
SET 0 11 1
SET 0 14 1
SET 0 16 1
SET 0 18 1
SET 1 2 1
SET 1 7 1
SET 1 8 1
SET 1 9 1
SET 1 10 1
SET 1 11 1
SET 1 14 1
SET 1 16 1
SET 1 18 1
SET 1 19 1
SET 1 20 1
SET 1 21 1
SET 2 0 1
SET 2 1 1
SET 2 4 1
SET 2 5 1
SET 2 7 1
SET 2 8 1
SET 2 13 1
SET 2 14 1
SET 2 16 1
SET 2 17 1
SET 2 18 1
SET 2 19 1
SET 3 1 1
SET 3 6 1
SET 3 10 1
SET 3 11 1
SET 3 19 1
SET 3 20 1
SET 4 0 1
SET 4 4 1
SET 4 6 1
SET 4 7 1
SET 4 10 1
SET 4 15 1
SET 4 16 1
SET 4 17 1
SET 4 18 1
SET 4 19 1
SET 4 20 1
SET 5 0 1
SET 5 3 1
SET 5 6 1
SET 5 8 1
SET 5 9 1
SET 5 11 1
SET 5 13 1
SET 5 14 1
SET 5 15 1
SET 5 17 1
SET 5 18 1
SET 5 19 1
SET 6 0 1
SET 6 1 1
SET 6 2 1
SET 6 9 1
SET 6 10 1
SET 6 14 1
SET 6 15 1
SET 6 17 1
SET 6 19 1
SET 6 20 1
SET 6 21 1
SET 7 1 1
SET 7 3 1
SET 7 6 1
SET 7 7 1
SET 7 12 1
SET 7 13 1
SET 7 14 1
SET 7 17 1
SET 7 21 1
SET 8 1 1
SET 8 2 1
SET 8 5 1
SET 8 6 1
SET 8 8 1
SET 8 9 1
SET 8 11 1
SET 8 12 1
SET 8 13 1
SET 8 14 1
SET 8 16 1
SET 9 0 1
SET 9 5 1
SET 9 12 1
SET 9 14 1
SET 9 16 1
SET 9 17 1
SET 9 19 1
SET 9 20 1
SET 9 21 1
SET 10 0 1
SET 10 1 1
SET 10 4 1
SET 10 6 1
SET 10 7 1
SET 10 10 1
SET 10 12 1
SET 10 15 1
SET 10 16 1
SET 10 18 1
SET 10 19 1
SET 10 21 1
SET 11 1 1
SET 11 2 1
SET 11 3 1
SET 11 12 1
SET 11 14 1
SET 11 15 1
SET 11 17 1
SET 11 19 1
STORE Sally
SET 0 0 0
SET 0 6 0
SET 0 7 0
SET 0 12 1
SET 0 13 1
SET 0 16 0
SET 0 18 0
SET 1 0 1
SET 1 2 0
SET 1 4 1
SET 1 6 1
SET 1 8 0
SET 1 9 0
SET 1 10 0
SET 1 12 1
SET 1 13 1
SET 1 15 1
SET 1 18 0
SET 1 19 0
SET 2 0 0
SET 2 3 1
SET 2 4 0
SET 2 5 0
SET 2 7 0
SET 2 8 0
SET 2 10 1
SET 2 11 1
SET 2 13 0
SET 2 15 1
SET 2 16 0
SET 2 19 0
SET 2 20 1
SET 2 21 1
SET 3 1 0
SET 3 5 1
SET 3 6 0
SET 3 7 1
SET 3 8 1
SET 3 10 0
SET 3 11 0
SET 3 13 1
SET 3 17 1
SET 3 18 1
SET 3 21 1
SET 4 0 0
SET 4 1 1
SET 4 2 1
SET 4 3 1
SET 4 4 0
SET 4 5 1
SET 4 6 0
SET 4 7 0
SET 4 8 1
SET 4 9 1
SET 4 10 0
SET 4 11 1
SET 4 13 1
SET 4 14 1
SET 4 17 0
SET 4 18 0
SET 4 19 0
SET 4 20 0
SET 4 21 1
SET 5 1 1
SET 5 4 1
SET 5 5 1
SET 5 6 0
SET 5 11 0
SET 5 15 0
SET 5 16 1
SET 5 19 0
SET 5 20 1
SET 6 0 0
SET 6 2 0
SET 6 3 1
SET 6 5 1
SET 6 10 0
SET 6 12 1
SET 6 13 1
SET 6 14 0
SET 6 19 0
SET 6 20 0
SET 7 0 1
SET 7 2 1
SET 7 3 0
SET 7 4 1
SET 7 7 0
SET 7 10 1
SET 7 12 0
SET 7 13 0
SET 7 15 1
SET 7 17 0
SET 7 18 1
SET 7 19 1
SET 7 21 0
SET 8 0 1
SET 8 1 0
SET 8 2 0
SET 8 3 1
SET 8 4 1
SET 8 6 0
SET 8 12 0
SET 8 13 0
SET 8 14 0
SET 8 15 1
SET 8 17 1
SET 8 18 1
SET 8 20 1
SET 9 4 1
SET 9 5 0
SET 9 8 1
SET 9 9 1
SET 9 12 0
SET 9 13 1
SET 9 15 1
SET 9 18 1
SET 9 19 0
SET 9 20 0
SET 10 1 0
SET 10 5 1
SET 10 7 0
SET 10 8 1
SET 10 11 1
SET 10 12 0
SET 10 13 1
SET 10 14 1
SET 10 15 0
SET 10 17 1
SET 10 19 0
SET 10 20 1
SET 11 0 1
SET 11 1 0
SET 11 3 0
SET 11 4 1
SET 11 5 1
SET 11 7 1
SET 11 9 1
SET 11 14 0
SET 11 15 0
SET 11 16 1
SET 11 17 0
STORE Fisk
EMPTY 12 19
SET 0 0 1
SET 0 2 1
SET 0 3 1
