READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-02-4-4.txt
STORE Businessmen
RECALL Businessmen
PGM Egalitarian.pgm 2 1
RECALL Businessmen
SUBMATRIX 1 2 4
PRINT 6
VAL 1 18
EMPTY 9 25
SET 0 2 1
SET 0 3 1
SET 0 6 1
SET 0 7 1
SET 0 9 1
SET 0 11 1
SET 0 13 1
SET 0 14 1
SET 0 15 1
SET 0 16 1
SET 0 17 1
SET 0 19 1
SET 0 20 1
SET 0 21 1
SET 0 22 1
SET 1 3 1
SET 1 4 1
SET 1 6 1
SET 1 8 1
SET 1 15 1
SET 1 16 1
SET 1 19 1
SET 1 22 1
SET 1 23 1
SET 1 24 1
SET 2 0 1
SET 2 3 1
SET 2 8 1
SET 2 9 1
SET 2 10 1
SET 2 12 1
SET 2 13 1
SET 2 14 1
SET 2 15 1
SET 2 17 1
SET 2 18 1
SET 2 19 1
SET 2 22 1
SET 2 23 1
SET 2 24 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 6 1
SET 3 8 1
SET 3 9 1
SET 3 10 1
SET 3 12 1
SET 3 15 1
SET 3 16 1
SET 3 18 1
SET 3 19 1
SET 3 20 1
SET 3 21 1
SET 4 3 1
SET 4 5 1
SET 4 6 1
SET 4 8 1
SET 4 9 1
SET 4 11 1
SET 4 14 1
SET 4 16 1
SET 4 20 1
SET 4 24 1
SET 5 0 1
SET 5 4 1
SET 5 5 1
SET 5 6 1
SET 5 7 1
SET 5 8 1
SET 5 9 1
SET 5 12 1
SET 5 13 1
SET 5 14 1
SET 5 17 1
SET 5 19 1
SET 5 23 1
SET 6 0 1
SET 6 2 1
SET 6 3 1
SET 6 6 1
SET 6 7 1
SET 6 8 1
SET 6 9 1
SET 6 13 1
SET 6 14 1
SET 6 16 1
SET 6 17 1
SET 6 18 1
SET 6 20 1
SET 6 23 1
SET 6 24 1
SET 7 2 1
SET 7 5 1
SET 7 10 1
SET 7 12 1
SET 7 13 1
SET 7 14 1
SET 7 15 1
SET 7 16 1
SET 7 18 1
SET 7 19 1
SET 7 20 1
SET 7 21 1
SET 7 23 1
SET 7 24 1
SET 8 0 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 8 5 1
SET 8 7 1
SET 8 10 1
SET 8 16 1
SET 8 17 1
SET 8 19 1
SET 8 22 1
SET 8 23 1
STORE Netherworld
EMPTY 9 25
SET 0 1 1
SET 0 2 1
SET 0 5 1
SET 0 8 1
SET 0 10 1
SET 0 14 1
SET 0 15 1
SET 0 16 1
SET 0 17 1
SET 0 18 1
SET 0 19 1
SET 0 20 1
SET 0 21 1
SET 0 23 1
SET 1 1 1
SET 1 3 1
SET 1 5 1
SET 1 6 1
SET 1 7 1
SET 1 13 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 1 22 1
SET 1 23 1
SET 1 24 1
SET 2 0 1
SET 2 1 1
SET 2 2 1
SET 2 3 1
SET 2 5 1
SET 2 6 1
SET 2 7 1
SET 2 9 1
SET 2 12 1
SET 2 13 1
SET 2 14 1
SET 2 21 1
SET 2 22 1
SET 2 23 1
SET 3 1 1
SET 3 3 1
SET 3 5 1
SET 3 6 1
SET 3 7 1
SET 3 8 1
SET 3 9 1
SET 3 10 1
SET 3 13 1
SET 3 14 1
SET 3 17 1
SET 3 20 1
SET 3 23 1
SET 3 24 1
SET 4 0 1
SET 4 1 1
SET 4 2 1
SET 4 4 1
SET 4 7 1
SET 4 8 1
SET 4 9 1
SET 4 10 1
SET 4 12 1
SET 4 13 1
SET 4 14 1
SET 4 20 1
SET 4 24 1
SET 5 1 1
SET 5 2 1
SET 5 5 1
SET 5 7 1
SET 5 12 1
SET 5 13 1
SET 5 14 1
SET 5 15 1
SET 5 19 1
SET 5 23 1
SET 5 24 1
SET 6 2 1
SET 6 3 1
SET 6 4 1
SET 6 7 1
SET 6 11 1
SET 6 13 1
SET 6 14 1
SET 6 16 1
SET 6 18 1
SET 6 20 1
SET 6 21 1
SET 6 22 1
SET 6 24 1
SET 7 0 1
SET 7 3 1
SET 7 5 1
SET 7 7 1
SET 7 8 1
SET 7 9 1
SET 7 14 1
SET 7 16 1
SET 7 18 1
SET 7 19 1
SET 7 20 1
SET 7 22 1
SET 7 23 1
SET 7 24 1
SET 8 2 1
SET 8 3 1
SET 8 6 1
SET 8 7 1
SET 8 9 1
SET 8 10 1
SET 8 14 1
SET 8 15 1
SET 8 18 1
SET 8 20 1
SET 8 21 1
SET 8 22 1
STORE Approach
SUM Netherworld Approach
STORE Stanford
PRINT 18
RECALL Businessmen
PRINT 9
RECALL Gummy
EMPTY 13 25
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 19 1
SET 0 20 1
SET 0 23 1
SET 0 24 1
SET 1 0 1
SET 1 4 1
SET 1 6 1
SET 1 9 1
SET 1 12 1
SET 1 16 1
SET 1 20 1
SET 1 22 1
SET 2 0 1
SET 2 2 1
SET 2 4 1
SET 2 5 1
SET 2 7 1
SET 2 8 1
SET 2 9 1
SET 2 11 1
SET 2 12 1
SET 2 14 1
SET 2 15 1
SET 2 19 1
SET 2 24 1
SET 3 1 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 3 7 1
SET 3 8 1
SET 3 13 1
SET 3 14 1
SET 3 16 1
SET 3 17 1
SET 3 19 1
SET 3 20 1
SET 3 21 1
SET 3 23 1
SET 3 24 1
SET 4 0 1
SET 4 1 1
SET 4 3 1
SET 4 5 1
SET 4 7 1
SET 4 12 1
SET 4 16 1
SET 4 17 1
SET 4 21 1
SET 5 0 1
SET 5 1 1
SET 5 4 1
SET 5 8 1
SET 5 9 1
SET 5 11 1
SET 5 12 1
SET 5 14 1
SET 5 16 1
SET 5 18 1
SET 5 20 1
SET 5 21 1
SET 5 22 1
SET 5 23 1
SET 5 24 1
SET 6 1 1
SET 6 3 1
SET 6 4 1
SET 6 6 1
SET 6 10 1
SET 6 11 1
SET 6 12 1
SET 6 15 1
SET 6 16 1
SET 6 17 1
SET 6 18 1
SET 6 19 1
SET 6 20 1
SET 6 23 1
SET 6 24 1
SET 7 0 1
SET 7 1 1
SET 7 3 1
SET 7 6 1
SET 7 10 1
SET 7 11 1
SET 7 12 1
SET 7 13 1
SET 7 15 1
SET 7 16 1
SET 7 18 1
SET 7 19 1
SET 7 20 1
SET 7 22 1
SET 7 23 1
SET 7 24 1
SET 8 1 1
SET 8 2 1
SET 8 5 1
SET 8 7 1
SET 8 11 1
SET 8 12 1
SET 8 14 1
SET 8 16 1
SET 8 19 1
SET 8 20 1
SET 8 24 1
SET 9 0 1
SET 9 2 1
SET 9 3 1
SET 9 8 1
SET 9 9 1
SET 9 10 1
SET 9 11 1
SET 9 15 1
SET 9 19 1
SET 9 22 1
SET 9 23 1
SET 9 24 1
SET 10 0 1
SET 10 1 1
SET 10 4 1
SET 10 5 1
SET 10 7 1
SET 10 9 1
SET 10 10 1
SET 10 13 1
SET 10 16 1
SET 10 19 1
SET 10 20 1
SET 10 22 1
SET 10 23 1
SET 10 24 1
SET 11 0 1
SET 11 2 1
SET 11 4 1
SET 11 5 1
SET 11 7 1
SET 11 8 1
SET 11 9 1
SET 11 12 1
SET 11 13 1
SET 11 15 1
SET 11 17 1
SET 11 20 1
SET 11 21 1
SET 11 23 1
SET 11 24 1
SET 12 3 1
SET 12 5 1
SET 12 6 1
SET 12 8 1
SET 12 11 1
SET 12 12 1
SET 12 13 1
SET 12 14 1
SET 12 17 1
SET 12 19 1
SET 12 20 1
STORE Trapezoidal
SET 0 0 1
SET 0 4 1
SET 0 5 0
SET 0 7 0
SET 0 8 1
SET 0 10 0
SET 0 12 0
SET 0 13 1
SET 0 14 1
SET 0 18 1
SET 0 21 1
SET 0 23 0
SET 0 24 0
SET 1 5 1
SET 1 7 1
SET 1 8 1
SET 1 12 0
SET 1 14 1
SET 1 15 1
SET 1 19 1
SET 1 21 1
SET 1 23 1
SET 1 24 1
SET 2 1 1
SET 2 3 1
SET 2 4 0
SET 2 6 1
SET 2 9 0
SET 2 10 1
SET 2 11 0
SET 2 13 1
SET 2 14 0
SET 2 16 1
SET 2 20 1
SET 2 22 1
