READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-02-3-2.txt
STORE Mysterious
VAL 2 11
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-05-3-4.txt
STORE Pragmatic
PRODUCT Mysterious Pragmatic
STORE Skindive
PGM Aspheric.pgm 10 2
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-02-4-4.txt
STORE Rubric
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-02-4-3.txt
STORE Gascony
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-03-3-3.txt
STORE Epidemiology
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-06-4-1.txt
STORE Copybook
EMPTY 12 11
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 9 1
SET 0 10 1
SET 1 2 1
SET 1 4 1
SET 1 6 1
SET 2 1 1
SET 2 6 1
SET 2 7 1
SET 2 8 1
SET 2 9 1
SET 2 10 1
SET 3 2 1
SET 3 4 1
SET 3 6 1
SET 3 7 1
SET 3 8 1
SET 3 9 1
SET 3 10 1
SET 4 0 1
SET 4 3 1
SET 4 4 1
SET 4 6 1
SET 4 7 1
SET 5 1 1
SET 5 2 1
SET 5 4 1
SET 5 5 1
SET 5 6 1
SET 5 7 1
SET 6 0 1
SET 6 5 1
SET 6 9 1
SET 6 10 1
SET 7 7 1
SET 7 8 1
SET 7 10 1
SET 8 3 1
SET 8 5 1
SET 8 6 1
SET 8 9 1
SET 9 3 1
SET 9 4 1
SET 9 5 1
SET 9 6 1
SET 9 7 1
SET 9 8 1
SET 9 10 1
SET 10 2 1
SET 10 5 1
SET 10 7 1
SET 10 8 1
SET 10 10 1
SET 11 1 1
SET 11 2 1
SET 11 3 1
SET 11 5 1
SET 11 6 1
SET 11 7 1
SET 11 10 1
STORE Rock
SET 0 2 0
SET 0 3 0
SET 0 4 0
SET 0 5 0
SET 0 6 0
SET 0 8 1
SET 0 10 0
SET 1 3 1
SET 1 4 0
SET 1 5 1
SET 1 6 0
SET 1 7 1
SET 1 8 1
SET 1 9 1
SET 2 0 1
SET 2 1 0
SET 2 2 1
SET 2 5 1
SET 2 7 0
SET 2 8 0
SET 2 9 0
SET 2 10 0
SET 3 0 1
SET 3 1 1
SET 3 4 0
SET 3 5 1
SET 3 6 0
SET 3 7 0
SET 3 8 0
SET 3 10 0
SET 4 1 1
SET 4 3 0
SET 4 5 1
SET 4 6 0
SET 4 8 1
SET 4 10 1
SET 5 0 1
SET 5 5 0
SET 5 6 0
SET 5 7 0
SET 5 10 1
SET 6 0 0
SET 6 4 1
SET 6 5 0
SET 6 9 0
SET 6 10 0
SET 7 0 1
SET 7 2 1
SET 7 4 1
SET 7 5 1
SET 7 9 1
SET 8 0 1
SET 9 0 1
SET 9 5 0
SET 9 8 0
SET 9 9 1
SET 9 10 0
SET 10 0 1
SET 10 1 1
SET 10 5 0
SET 10 7 0
SET 10 8 0
SET 10 10 0
SET 11 0 1
SET 11 1 0
SET 11 6 0
SET 11 10 0
STORE Begonia
EMPTY 16 16
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 10 1
SET 0 11 1
SET 1 3 1
SET 1 7 1
SET 1 9 1
SET 1 10 1
SET 1 14 1
SET 1 15 1
SET 2 0 1
SET 2 1 1
SET 2 2 1
SET 2 3 1
SET 2 7 1
SET 2 8 1
SET 2 10 1
SET 2 12 1
SET 3 3 1
SET 3 4 1
SET 3 7 1
SET 3 8 1
SET 3 10 1
SET 3 11 1
SET 3 13 1
SET 3 14 1
SET 4 4 1
SET 4 6 1
SET 4 7 1
SET 4 12 1
SET 5 0 1
SET 5 1 1
SET 5 2 1
SET 5 3 1
SET 5 4 1
SET 5 6 1
SET 5 7 1
SET 5 8 1
SET 5 10 1
SET 5 13 1
SET 5 14 1
SET 6 0 1
SET 6 2 1
SET 6 3 1
SET 6 4 1
SET 6 5 1
SET 6 10 1
SET 6 11 1
SET 6 12 1
SET 6 14 1
SET 6 15 1
SET 7 0 1
SET 7 3 1
SET 7 4 1
SET 7 8 1
SET 7 9 1
SET 7 11 1
SET 7 12 1
SET 7 13 1
SET 7 15 1
SET 8 2 1
SET 8 4 1
SET 8 6 1
SET 8 10 1
SET 8 13 1
SET 8 14 1
SET 9 0 1
SET 9 2 1
SET 9 6 1
SET 9 7 1
SET 9 8 1
SET 9 9 1
SET 9 11 1
SET 9 13 1
SET 10 1 1
SET 10 5 1
SET 10 6 1
SET 10 9 1
SET 10 10 1
SET 10 13 1
SET 11 0 1
SET 11 1 1
