READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-08-4-2.txt
STORE Dishes
RECALL Transgressor
EMPTY 11 15
SET 0 0 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 10 1
SET 0 11 1
SET 1 0 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 9 1
SET 1 10 1
SET 1 12 1
SET 1 13 1
SET 2 2 1
SET 2 3 1
SET 2 6 1
SET 2 8 1
SET 2 9 1
SET 2 12 1
SET 2 13 1
SET 3 2 1
SET 3 5 1
SET 3 6 1
SET 3 7 1
SET 3 10 1
SET 3 11 1
SET 3 12 1
SET 3 13 1
SET 4 0 1
SET 4 1 1
SET 4 3 1
SET 4 4 1
SET 4 10 1
SET 4 12 1
SET 4 13 1
SET 4 14 1
SET 5 0 1
SET 5 3 1
SET 5 4 1
SET 5 5 1
SET 5 7 1
SET 5 8 1
SET 5 9 1
SET 6 5 1
SET 6 6 1
SET 6 7 1
SET 6 10 1
SET 7 0 1
SET 7 2 1
SET 7 4 1
SET 7 6 1
SET 7 7 1
SET 7 8 1
SET 7 9 1
SET 7 12 1
SET 7 14 1
SET 8 0 1
SET 8 2 1
SET 8 3 1
SET 8 5 1
SET 8 6 1
SET 8 8 1
SET 8 10 1
SET 8 11 1
SET 8 12 1
SET 8 14 1
SET 9 0 1
SET 9 1 1
SET 9 5 1
SET 9 8 1
SET 9 11 1
SET 9 12 1
SET 9 13 1
SET 10 0 1
SET 10 1 1
SET 10 2 1
SET 10 3 1
SET 10 6 1
SET 10 7 1
SET 10 8 1
SET 10 11 1
SET 10 13 1
STORE Upstart
SET 0 1 1
SET 0 2 1
SET 0 3 0
SET 0 6 0
SET 0 7 1
SET 0 8 1
SET 0 13 1
SET 0 14 1
SET 1 0 0
SET 1 1 1
SET 1 2 1
SET 1 3 0
SET 1 4 0
SET 1 5 0
SET 1 7 1
SET 1 8 1
SET 1 11 1
SET 1 13 0
SET 1 14 1
SET 2 5 1
SET 2 6 0
SET 2 7 1
SET 2 8 0
SET 2 10 1
SET 2 11 1
SET 2 14 1
SET 3 1 1
SET 3 2 0
SET 3 6 0
SET 3 9 1
SET 3 12 0
SET 3 13 0
SET 4 0 0
SET 4 8 1
SET 4 13 0
SET 4 14 0
SET 5 0 0
