READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-08-4-2.txt
STORE Diurnal
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-04-4-4.txt
STORE Wrongdoer
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-04-4-1.txt
STORE Pitney
EMPTY 3 23
SET 0 0 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 14 1
SET 0 15 1
SET 0 20 1
SET 0 21 1
SET 1 1 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 9 1
SET 1 10 1
SET 1 12 1
SET 1 15 1
SET 1 16 1
SET 1 19 1
SET 1 20 1
SET 1 21 1
SET 2 0 1
SET 2 1 1
SET 2 5 1
SET 2 6 1
SET 2 11 1
SET 2 14 1
SET 2 17 1
SET 2 18 1
SET 2 19 1
SET 2 20 1
SET 2 21 1
STORE Deuce
SET 0 7 0
SET 0 11 0
SET 0 12 0
SET 0 16 1
SET 0 17 1
SET 0 18 1
SET 0 19 1
SET 0 22 1
SET 1 0 1
SET 1 1 0
SET 1 6 0
SET 1 7 1
SET 1 8 1
SET 1 14 1
SET 1 15 0
SET 1 19 0
SET 1 20 0
SET 1 22 1
SET 2 0 0
SET 2 4 1
SET 2 5 0
SET 2 6 0
SET 2 7 1
SET 2 10 1
SET 2 11 0
SET 2 12 1
SET 2 14 0
SET 2 16 1
SET 2 17 0
SET 2 18 0
SET 2 19 0
SET 2 22 1
STORE Pillsbury
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-10-4-1.txt
STORE Infight
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-09-4-2.txt
STORE Predominant
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-10-4-2.txt
STORE Backstop
EMPTY 1 9
SET 0 0 1
SET 0 4 1
STORE Santiago
EMPTY 10 1
SET 3 0 1
SET 4 0 1
SET 6 0 1
SET 8 0 1
STORE Snook
EMPTY 11 14
SET 0 0 1
SET 0 3 1
SET 0 6 1
SET 0 9 1
SET 0 12 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 11 1
SET 1 13 1
SET 2 0 1
SET 2 3 1
SET 2 5 1
SET 2 7 1
SET 3 0 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 6 1
SET 3 8 1
SET 3 12 1
SET 3 13 1
SET 4 0 1
SET 4 1 1
SET 4 3 1
SET 4 6 1
SET 4 7 1
SET 4 8 1
SET 4 10 1
SET 4 12 1
SET 5 0 1
SET 5 1 1
SET 5 2 1
SET 5 3 1
SET 5 4 1
SET 5 5 1
SET 5 6 1
SET 5 9 1
SET 5 10 1
SET 5 11 1
SET 5 13 1
SET 6 0 1
SET 6 1 1
SET 6 5 1
SET 6 7 1
SET 6 9 1
SET 7 2 1
SET 7 5 1
SET 7 6 1
SET 7 7 1
SET 7 8 1
SET 7 10 1
SET 7 11 1
SET 7 12 1
SET 7 13 1
SET 8 0 1
SET 8 1 1
SET 8 2 1
SET 8 6 1
SET 8 7 1
SET 8 8 1
SET 8 12 1
SET 9 1 1
SET 9 2 1
SET 9 3 1
SET 9 6 1
SET 9 7 1
SET 9 8 1
SET 9 10 1
SET 9 12 1
SET 9 13 1
SET 10 3 1
SET 10 4 1
SET 10 8 1
SET 10 9 1
SET 10 12 1
STORE Exigent
EMPTY 16 4
SET 0 1 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 2 2 1
SET 3 0 1
SET 3 3 1
SET 4 1 1
SET 4 3 1
SET 5 0 1
SET 5 2 1
SET 5 3 1
SET 6 1 1
SET 6 3 1
SET 7 0 1
SET 7 1 1
SET 7 2 1
SET 7 3 1
SET 8 0 1
SET 8 1 1
SET 8 3 1
SET 9 0 1
SET 10 1 1
SET 10 3 1
SET 11 1 1
SET 11 3 1
SET 12 1 1
SET 12 3 1
SET 13 0 1
SET 14 0 1
SET 14 1 1
SET 15 0 1
SET 15 1 1
STORE Jed
EMPTY 6 23
SET 0 0 1
SET 0 1 1
SET 0 3 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 0 14 1
SET 0 15 1
SET 0 16 1
SET 0 18 1
SET 1 1 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 7 1
SET 1 8 1
SET 1 9 1
SET 1 10 1
SET 1 11 1
SET 1 13 1
SET 1 16 1
SET 1 18 1
SET 1 20 1
SET 2 3 1
SET 2 4 1
SET 2 6 1
SET 2 8 1
SET 2 11 1
SET 2 15 1
SET 2 16 1
SET 2 19 1
SET 2 20 1
SET 2 21 1
SET 3 2 1
SET 3 5 1
SET 3 7 1
SET 3 10 1
SET 3 13 1
SET 3 14 1
SET 3 16 1
SET 3 17 1
SET 3 18 1
SET 3 19 1
SET 3 20 1
SET 3 22 1
SET 4 1 1
SET 4 3 1
SET 4 4 1
SET 4 7 1
SET 4 8 1
SET 4 9 1
SET 4 10 1
SET 4 12 1
SET 4 13 1
SET 4 16 1
SET 4 22 1
SET 5 0 1
SET 5 4 1
SET 5 7 1
SET 5 9 1
SET 5 10 1
SET 5 11 1
SET 5 12 1
SET 5 15 1
SET 5 20 1
STORE Seidel
EMPTY 9 13
SET 0 2 1
SET 0 3 1
SET 0 5 1
SET 0 6 1
SET 0 8 1
SET 0 10 1
SET 0 11 1
SET 1 2 1
SET 1 3 1
SET 1 7 1
SET 1 8 1
SET 1 11 1
SET 2 0 1
SET 2 1 1
SET 2 4 1
SET 2 5 1
SET 2 10 1
SET 2 12 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 10 1
SET 3 11 1
SET 4 0 1
SET 4 2 1
SET 4 4 1
SET 4 9 1
SET 4 10 1
