READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-04-4-1.txt
STORE Tinder
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-06-4-3.txt
STORE Ingenuity
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-04-4-4.txt
STORE Fob
EMPTY 4 7
SET 0 0 1
SET 0 2 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 2 0 1
SET 2 3 1
SET 2 4 1
SET 3 0 1
SET 3 2 1
SET 3 4 1
STORE Sportswriting
SET 0 0 0
SET 0 2 0
SET 0 3 1
SET 0 4 0
SET 0 5 0
SET 0 6 0
SET 1 0 0
SET 1 6 0
SET 2 0 0
SET 2 1 1
SET 2 4 0
SET 2 5 1
SET 2 6 1
SET 3 1 1
SET 3 3 1
SET 3 4 0
SET 3 6 1
STORE Chemist
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-05-4-4.txt
STORE Confrontation
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-05-4-1.txt
STORE Gases
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-07-4-4.txt
STORE Dispersible
EMPTY 14 19
SET 0 3 1
SET 0 4 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 13 1
SET 0 18 1
SET 1 3 1
SET 1 4 1
SET 1 12 1
SET 1 13 1
SET 1 15 1
SET 2 0 1
SET 2 2 1
SET 2 3 1
SET 2 6 1
SET 2 11 1
SET 2 12 1
SET 2 13 1
SET 2 14 1
SET 2 15 1
SET 2 16 1
SET 2 18 1
SET 3 2 1
SET 3 5 1
SET 3 7 1
SET 3 8 1
SET 3 10 1
SET 3 12 1
SET 3 13 1
SET 3 14 1
SET 3 16 1
SET 3 17 1
SET 3 18 1
SET 4 2 1
SET 4 3 1
SET 4 4 1
SET 4 11 1
SET 4 12 1
SET 4 16 1
SET 4 17 1
SET 5 0 1
SET 5 2 1
SET 5 3 1
SET 5 4 1
SET 5 6 1
SET 5 8 1
SET 5 11 1
SET 5 12 1
SET 5 17 1
SET 5 18 1
SET 6 0 1
SET 6 3 1
SET 6 7 1
SET 6 9 1
SET 6 10 1
SET 6 13 1
SET 6 14 1
SET 6 16 1
SET 6 17 1
SET 7 0 1
SET 7 1 1
SET 7 2 1
SET 7 3 1
SET 7 5 1
SET 7 11 1
SET 7 16 1
SET 8 4 1
SET 8 6 1
SET 8 8 1
SET 8 9 1
SET 8 11 1
SET 8 12 1
SET 8 13 1
SET 8 14 1
SET 8 15 1
SET 8 18 1
SET 9 1 1
SET 9 2 1
SET 9 5 1
SET 9 7 1
SET 9 10 1
SET 9 11 1
SET 9 13 1
SET 9 14 1
SET 9 16 1
SET 9 18 1
SET 10 0 1
SET 10 1 1
SET 10 10 1
SET 10 12 1
SET 10 13 1
SET 10 15 1
SET 10 17 1
SET 11 2 1
SET 11 3 1
SET 11 4 1
SET 11 5 1
SET 11 6 1
SET 11 11 1
SET 11 12 1
SET 11 13 1
SET 11 14 1
SET 11 15 1
SET 12 4 1
SET 12 8 1
SET 12 10 1
SET 12 11 1
SET 12 15 1
SET 12 16 1
SET 12 17 1
SET 12 18 1
SET 13 0 1
SET 13 1 1
SET 13 5 1
SET 13 6 1
SET 13 8 1
SET 13 10 1
SET 13 17 1
SET 13 18 1
STORE Drew
EMPTY 7 21
SET 0 0 1
SET 0 1 1
SET 0 3 1
SET 0 4 1
SET 0 6 1
SET 0 7 1
SET 0 13 1
SET 0 15 1
SET 0 16 1
SET 1 0 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 7 1
SET 1 8 1
SET 1 10 1
SET 1 11 1
SET 1 12 1
SET 1 14 1
SET 1 17 1
SET 1 18 1
SET 1 20 1
SET 2 1 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 9 1
SET 2 10 1
SET 2 11 1
SET 2 13 1
SET 2 14 1
SET 2 15 1
SET 2 18 1
SET 2 19 1
SET 3 2 1
SET 3 3 1
SET 3 5 1
SET 3 6 1
SET 3 7 1
SET 3 9 1
SET 3 12 1
SET 3 14 1
SET 3 16 1
SET 3 20 1
SET 4 2 1
