READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-02-4-3.txt
STORE Bobbie
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-10-4-3.txt
STORE Dehydrate
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-07-4-0.txt
STORE Predilect
EMPTY 6 15
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 8 1
SET 0 9 1
SET 0 13 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 7 1
SET 1 8 1
SET 1 10 1
SET 1 11 1
SET 2 0 1
SET 2 1 1
SET 2 4 1
SET 2 6 1
SET 2 7 1
SET 2 10 1
SET 2 11 1
SET 3 0 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 3 8 1
SET 3 9 1
SET 3 10 1
SET 3 11 1
SET 3 13 1
SET 3 14 1
SET 4 1 1
SET 4 2 1
SET 4 8 1
SET 4 10 1
SET 4 11 1
SET 4 12 1
SET 4 13 1
SET 5 1 1
SET 5 2 1
SET 5 3 1
SET 5 5 1
SET 5 6 1
SET 5 7 1
STORE Tideland
SET 0 1 0
SET 0 2 0
SET 0 5 1
SET 0 9 0
SET 1 0 1
SET 1 1 0
SET 1 3 0
SET 1 5 1
SET 1 6 1
SET 1 8 0
SET 1 11 0
SET 1 12 1
SET 1 13 1
SET 2 3 1
SET 2 7 0
SET 2 8 1
SET 2 9 1
SET 2 11 0
SET 2 12 1
SET 2 13 1
SET 2 14 1
SET 3 0 0
SET 3 4 0
SET 3 5 0
SET 3 6 1
SET 3 8 0
SET 4 0 1
SET 4 2 0
SET 4 4 1
SET 4 5 1
SET 4 6 1
SET 4 8 0
SET 4 9 1
SET 4 10 0
SET 4 12 0
SET 4 14 1
SET 5 0 1
SET 5 1 0
SET 5 7 0
SET 5 8 1
SET 5 9 1
SET 5 11 1
SET 5 12 1
SET 5 14 1
STORE Bayberry
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-03-4-0.txt
STORE Varistor
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-05-4-2.txt
STORE Congressional
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-10-03-4-4.txt
STORE Geigy
EMPTY 13 15
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 7 1
SET 0 10 1
SET 0 11 1
SET 0 13 1
SET 1 0 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 7 1
SET 1 9 1
SET 1 13 1
SET 2 0 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 9 1
SET 2 11 1
SET 2 12 1
SET 3 1 1
SET 3 3 1
SET 3 5 1
SET 3 13 1
SET 3 14 1
SET 4 3 1
SET 4 7 1
SET 4 8 1
SET 4 9 1
SET 4 11 1
SET 4 13 1
SET 5 0 1
SET 5 1 1
SET 5 2 1
SET 5 3 1
SET 5 4 1
SET 5 5 1
SET 5 7 1
SET 5 8 1
SET 5 13 1
SET 6 6 1
SET 6 7 1
SET 6 8 1
SET 6 12 1
SET 6 13 1
SET 6 14 1
SET 7 1 1
SET 7 2 1
SET 7 6 1
SET 7 7 1
SET 7 11 1
SET 7 13 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 8 6 1
SET 8 7 1
SET 8 8 1
SET 8 11 1
SET 8 12 1
SET 8 14 1
SET 9 1 1
SET 9 2 1
SET 9 4 1
SET 9 5 1
SET 9 10 1
SET 9 11 1
SET 9 13 1
SET 10 0 1
SET 10 1 1
SET 10 3 1
SET 10 5 1
SET 10 8 1
SET 10 11 1
SET 10 13 1
SET 11 6 1
SET 11 9 1
SET 11 10 1
SET 11 11 1
SET 11 12 1
SET 11 14 1
SET 12 1 1
SET 12 3 1
SET 12 5 1
SET 12 7 1
SET 12 10 1
SET 12 11 1
SET 12 12 1
STORE Burch
EMPTY 8 12
SET 0 2 1
SET 0 3 1
SET 0 8 1
SET 0 10 1
SET 0 11 1
SET 1 3 1
SET 1 11 1
SET 2 1 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 7 1
SET 3 5 1
SET 3 7 1
SET 3 8 1
SET 3 10 1
SET 4 0 1
SET 4 2 1
SET 4 3 1
SET 4 4 1
SET 4 5 1
SET 4 6 1
SET 4 9 1
SET 4 11 1
SET 5 1 1
SET 5 2 1
SET 5 4 1
SET 5 5 1
SET 5 6 1
SET 5 9 1
SET 5 10 1
SET 6 2 1
