READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-02-4-4.txt
STORE Sybarite
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-02-4-4.txt
STORE Mushroom
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-10-03-4-4.txt
STORE Tugging
EMPTY 6 10
SET 0 0 1
SET 0 2 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 7 1
SET 1 8 1
SET 2 1 1
SET 2 3 1
SET 2 5 1
SET 3 1 1
SET 3 6 1
SET 3 7 1
SET 3 8 1
SET 3 9 1
SET 4 0 1
SET 4 3 1
SET 4 5 1
SET 4 7 1
SET 4 8 1
SET 4 9 1
SET 5 0 1
SET 5 1 1
SET 5 2 1
SET 5 5 1
SET 5 6 1
SET 5 8 1
SET 5 9 1
STORE Ombudsman
SET 0 0 0
SET 0 2 0
SET 0 6 0
SET 1 1 0
SET 1 2 0
SET 1 3 0
SET 1 7 0
SET 1 8 0
SET 1 9 1
SET 2 1 0
SET 2 4 1
SET 2 5 0
SET 3 1 0
SET 3 2 1
SET 3 3 1
SET 3 5 1
SET 3 6 0
SET 3 7 0
SET 3 8 0
SET 4 0 0
SET 4 1 1
SET 4 2 1
SET 4 3 0
SET 4 7 0
SET 4 8 0
SET 4 9 0
SET 5 3 1
SET 5 4 1
SET 5 6 0
SET 5 7 1
SET 5 8 0
SET 5 9 0
STORE Parkland
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-03-4-4.txt
STORE Dank
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-03-4-1.txt
STORE Del
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-02-4-0.txt
STORE Rototill
EMPTY 12 23
SET 0 0 1
SET 0 1 1
SET 0 3 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 9 1
SET 0 10 1
SET 0 11 1
SET 0 14 1
SET 0 15 1
SET 0 16 1
SET 1 0 1
SET 1 1 1
SET 1 5 1
SET 1 6 1
SET 1 8 1
SET 1 10 1
SET 1 11 1
SET 1 12 1
SET 1 14 1
SET 1 16 1
SET 1 19 1
SET 1 20 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 7 1
SET 2 11 1
SET 2 13 1
SET 2 14 1
SET 2 17 1
SET 2 18 1
SET 2 20 1
SET 2 21 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 5 1
SET 3 11 1
SET 3 16 1
SET 4 0 1
SET 4 2 1
SET 4 4 1
SET 4 5 1
SET 4 7 1
SET 4 8 1
SET 4 9 1
SET 4 10 1
SET 4 11 1
SET 4 14 1
SET 4 16 1
SET 4 17 1
SET 4 20 1
SET 4 22 1
SET 5 2 1
SET 5 3 1
SET 5 5 1
SET 5 6 1
SET 5 8 1
SET 5 10 1
SET 5 11 1
SET 5 12 1
SET 5 21 1
SET 6 0 1
SET 6 1 1
SET 6 3 1
SET 6 5 1
SET 6 9 1
SET 6 10 1
SET 6 11 1
SET 6 12 1
SET 6 13 1
SET 6 18 1
SET 6 19 1
SET 6 20 1
SET 6 21 1
SET 6 22 1
SET 7 7 1
SET 7 11 1
SET 7 13 1
SET 7 14 1
SET 7 18 1
SET 7 19 1
SET 7 20 1
SET 7 21 1
SET 7 22 1
SET 8 0 1
SET 8 4 1
SET 8 5 1
SET 8 7 1
SET 8 9 1
SET 8 16 1
SET 8 17 1
SET 8 20 1
SET 8 21 1
SET 9 0 1
SET 9 1 1
SET 9 3 1
SET 9 4 1
SET 9 10 1
SET 9 12 1
SET 9 13 1
SET 9 18 1
SET 9 22 1
SET 10 0 1
SET 10 1 1
SET 10 2 1
SET 10 3 1
SET 10 5 1
SET 10 6 1
SET 10 7 1
SET 10 9 1
SET 10 12 1
SET 10 13 1
SET 10 15 1
SET 10 17 1
SET 10 18 1
SET 10 19 1
SET 10 20 1
SET 11 2 1
SET 11 3 1
SET 11 4 1
SET 11 6 1
SET 11 7 1
SET 11 8 1
SET 11 11 1
SET 11 12 1
SET 11 16 1
SET 11 17 1
SET 11 19 1
SET 11 20 1
SET 11 21 1
STORE Aurora
