READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-04-4-1.txt
STORE Millions
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-03-4-4.txt
STORE Herpes
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-10-06-4-4.txt
STORE Extradition
EMPTY 7 4
SET 0 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 2 2 1
SET 2 3 1
SET 3 0 1
SET 3 2 1
SET 3 3 1
SET 5 0 1
SET 5 1 1
SET 6 0 1
SET 6 3 1
STORE Voluble
SET 0 1 1
SET 1 0 1
SET 1 2 0
SET 3 0 0
SET 4 0 1
SET 4 2 1
SET 4 3 1
SET 5 0 0
SET 5 1 0
SET 5 3 1
SET 6 3 0
STORE Defeat
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-04-3-0.txt
STORE Suntanning
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-10-03-4-3.txt
STORE Kipling
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-08-4-3.txt
STORE Grackle
EMPTY 7 25
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 8 1
SET 0 13 1
SET 0 14 1
SET 0 18 1
SET 0 22 1
SET 0 23 1
SET 0 24 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 10 1
SET 1 11 1
SET 1 13 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 1 18 1
SET 1 20 1
SET 1 22 1
SET 2 2 1
SET 2 3 1
SET 2 5 1
SET 2 8 1
SET 2 11 1
SET 2 14 1
SET 2 16 1
SET 2 20 1
SET 2 24 1
SET 3 0 1
SET 3 1 1
SET 3 3 1
SET 3 4 1
SET 3 6 1
SET 3 7 1
SET 3 11 1
SET 3 16 1
SET 3 17 1
SET 3 21 1
SET 3 22 1
SET 3 24 1
SET 4 1 1
SET 4 5 1
SET 4 8 1
SET 4 11 1
SET 4 14 1
SET 4 17 1
SET 4 20 1
SET 4 21 1
SET 4 22 1
SET 5 5 1
SET 5 7 1
SET 5 8 1
SET 5 11 1
SET 5 13 1
SET 5 15 1
SET 5 22 1
SET 5 24 1
SET 6 0 1
SET 6 1 1
SET 6 3 1
SET 6 5 1
SET 6 9 1
SET 6 10 1
SET 6 11 1
SET 6 12 1
SET 6 14 1
SET 6 17 1
SET 6 18 1
SET 6 19 1
SET 6 21 1
SET 6 23 1
STORE Grumble
EMPTY 8 17
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 1 0 1
SET 1 2 1
SET 1 4 1
SET 1 11 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 2 0 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 7 1
SET 2 8 1
SET 2 12 1
SET 2 13 1
SET 2 14 1
SET 3 1 1
SET 3 4 1
SET 3 5 1
SET 3 6 1
SET 3 9 1
SET 3 10 1
SET 3 11 1
SET 3 13 1
SET 3 15 1
SET 3 16 1
SET 4 3 1
SET 4 4 1
SET 4 8 1
SET 4 9 1
SET 4 12 1
SET 4 14 1
SET 5 0 1
SET 5 3 1
SET 5 4 1
SET 5 5 1
SET 5 6 1
SET 5 9 1
SET 5 11 1
SET 5 14 1
SET 5 16 1
SET 6 1 1
SET 6 2 1
SET 6 4 1
SET 6 5 1
SET 6 7 1
SET 6 9 1
