READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-10-4-4.txt
STORE Supply
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-02-3-2.txt
STORE Countrymen
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-02-4-3.txt
STORE Uphold
EMPTY 8 20
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 8 1
SET 0 9 1
SET 0 13 1
SET 0 16 1
SET 0 17 1
SET 0 18 1
SET 0 19 1
SET 1 2 1
SET 1 3 1
SET 1 5 1
SET 1 6 1
SET 1 10 1
SET 1 11 1
SET 1 14 1
SET 1 16 1
SET 1 17 1
SET 2 0 1
SET 2 1 1
SET 2 5 1
SET 2 8 1
SET 2 9 1
SET 2 10 1
SET 2 13 1
SET 2 14 1
SET 2 15 1
SET 2 16 1
SET 2 18 1
SET 2 19 1
SET 3 1 1
SET 3 2 1
SET 3 8 1
SET 3 10 1
SET 3 11 1
SET 3 12 1
SET 3 13 1
SET 3 16 1
SET 3 17 1
SET 3 18 1
SET 4 0 1
SET 4 1 1
SET 4 2 1
SET 4 13 1
SET 4 14 1
SET 4 15 1
SET 4 18 1
SET 5 3 1
SET 5 5 1
SET 5 7 1
SET 5 9 1
SET 5 10 1
SET 5 11 1
SET 5 12 1
SET 5 15 1
SET 5 17 1
SET 5 18 1
SET 6 0 1
SET 6 1 1
SET 6 3 1
SET 6 4 1
SET 6 6 1
SET 6 8 1
SET 6 9 1
SET 6 10 1
SET 6 12 1
SET 6 13 1
SET 6 14 1
SET 6 18 1
SET 7 1 1
SET 7 4 1
SET 7 5 1
SET 7 6 1
SET 7 8 1
SET 7 9 1
SET 7 10 1
SET 7 11 1
SET 7 14 1
SET 7 15 1
SET 7 16 1
SET 7 19 1
STORE Finn
SET 0 2 0
SET 0 5 1
SET 0 7 1
SET 0 9 0
SET 0 10 1
SET 0 11 1
SET 0 14 1
SET 0 18 0
SET 1 0 1
SET 1 2 0
SET 1 3 0
SET 1 4 1
SET 1 7 1
SET 1 8 1
SET 1 9 1
SET 1 11 0
SET 1 12 1
SET 1 14 0
SET 1 15 1
SET 1 17 0
SET 1 18 1
SET 2 1 0
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 6 1
SET 2 7 1
SET 2 8 0
SET 2 10 0
SET 2 14 0
SET 2 16 0
SET 2 17 1
SET 3 1 0
SET 3 2 0
SET 3 4 1
SET 3 6 1
SET 3 7 1
SET 3 8 0
SET 3 10 0
SET 3 12 0
SET 3 15 1
SET 3 16 0
SET 3 17 0
SET 3 18 0
SET 4 0 0
SET 4 1 0
SET 4 2 0
SET 4 3 1
SET 4 4 1
SET 4 8 1
SET 4 12 1
SET 4 15 0
SET 4 16 1
SET 5 0 1
SET 5 1 1
SET 5 2 1
SET 5 4 1
SET 5 8 1
SET 5 9 0
SET 5 10 0
SET 5 11 0
SET 5 12 0
SET 5 13 1
SET 5 15 0
SET 5 17 0
SET 5 18 0
SET 6 0 0
SET 6 2 1
SET 6 4 0
SET 6 6 0
SET 6 7 1
SET 6 10 0
SET 6 11 1
SET 6 13 0
SET 6 14 0
SET 6 16 1
SET 6 17 1
SET 6 18 0
SET 7 3 1
SET 7 4 0
SET 7 5 0
SET 7 7 1
SET 7 9 0
SET 7 10 0
SET 7 12 1
SET 7 13 1
SET 7 14 0
SET 7 15 0
SET 7 17 1
STORE Spiteful
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-05-4-1.txt
STORE Jacqueline
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-10-4-3.txt
STORE Pottery
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-12-4-3.txt
STORE Messy
EMPTY 5 3
SET 0 0 1
SET 1 2 1
SET 2 0 1
SET 2 2 1
SET 3 1 1
SET 3 2 1
SET 4 1 1
STORE Breadroot
EMPTY 16 5
SET 0 1 1
SET 0 4 1
SET 1 1 1
SET 2 4 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 4 0 1
SET 4 2 1
SET 4 4 1
SET 5 1 1
SET 5 3 1
SET 6 0 1
SET 6 3 1
SET 6 4 1
SET 7 0 1
SET 7 3 1
SET 7 4 1
SET 8 2 1
SET 8 3 1
SET 9 3 1
SET 10 0 1
SET 10 1 1
SET 11 0 1
SET 12 3 1
SET 13 0 1
SET 13 1 1
SET 13 2 1
SET 13 3 1
SET 13 4 1
SET 14 1 1
STORE Ninefold
EMPTY 13 16
SET 0 1 1
SET 0 2 1
SET 0 4 1
SET 0 6 1
