READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-02-3-3.txt
STORE Negroid
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-05-4-1.txt
STORE Pickup
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-03-4-0.txt
STORE Perturb
EMPTY 11 12
SET 0 0 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 10 1
SET 0 11 1
SET 1 0 1
SET 1 2 1
SET 1 3 1
SET 1 8 1
SET 1 9 1
SET 2 0 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 8 1
SET 2 9 1
SET 2 11 1
SET 3 2 1
SET 3 3 1
SET 3 6 1
SET 3 7 1
SET 3 8 1
SET 3 10 1
SET 3 11 1
SET 4 3 1
SET 4 4 1
SET 4 9 1
SET 5 0 1
SET 5 3 1
SET 5 4 1
SET 5 5 1
SET 5 6 1
SET 5 7 1
SET 5 9 1
SET 6 2 1
SET 6 3 1
SET 6 7 1
SET 6 11 1
SET 7 0 1
SET 7 1 1
SET 7 2 1
SET 7 3 1
SET 7 4 1
SET 7 5 1
SET 7 6 1
SET 7 7 1
SET 7 8 1
SET 8 0 1
SET 8 1 1
SET 8 3 1
SET 8 4 1
SET 8 5 1
SET 8 6 1
SET 8 8 1
SET 8 10 1
SET 9 0 1
SET 9 5 1
SET 9 6 1
SET 9 8 1
SET 9 11 1
SET 10 2 1
SET 10 5 1
SET 10 7 1
SET 10 11 1
STORE Allegory
SET 0 0 0
SET 0 3 1
SET 0 4 1
SET 0 6 0
SET 0 8 1
SET 1 0 0
SET 1 2 0
SET 2 0 0
SET 2 1 1
SET 2 2 1
SET 2 3 0
SET 2 5 0
SET 2 6 1
SET 2 8 0
SET 2 9 0
SET 2 10 1
SET 2 11 0
SET 3 1 1
SET 3 2 0
SET 3 3 0
SET 3 4 1
SET 3 6 0
SET 3 8 0
SET 3 11 0
SET 4 1 1
SET 4 2 1
SET 4 4 0
SET 4 9 0
SET 4 11 1
SET 5 0 0
SET 5 1 1
SET 5 2 1
SET 5 3 0
SET 5 4 0
SET 5 6 0
SET 6 2 0
SET 6 3 0
SET 6 4 1
SET 6 6 1
SET 6 8 1
SET 6 10 1
SET 6 11 0
SET 7 1 0
SET 7 2 0
SET 7 3 0
SET 7 8 0
SET 7 9 1
SET 8 2 1
SET 8 3 0
SET 8 5 0
SET 8 9 1
SET 8 11 1
SET 9 1 1
SET 9 2 1
SET 9 7 1
SET 9 8 0
SET 9 9 1
SET 9 10 1
SET 10 2 0
SET 10 3 1
SET 10 11 0
STORE Stash
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-07-4-4.txt
STORE Chinquapin
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-04-3-4.txt
STORE Knudsen
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-11-4-2.txt
STORE Hymnal
EMPTY 1 13
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 10 1
SET 0 11 1
STORE Newsman
EMPTY 5 3
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 2 0 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 4 2 1
STORE Chink
EMPTY 6 6
SET 0 1 1
SET 0 3 1
SET 0 4 1
SET 1 2 1
SET 1 3 1
SET 2 1 1
SET 2 2 1
SET 2 5 1
SET 3 1 1
SET 3 4 1
SET 4 1 1
SET 4 2 1
SET 4 3 1
SET 4 4 1
SET 5 1 1
SET 5 3 1
STORE Degrade
EMPTY 4 20
SET 0 0 1
SET 0 2 1
SET 0 3 1
SET 0 5 1
SET 0 6 1
SET 0 8 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 0 14 1
SET 0 15 1
SET 0 16 1
SET 0 18 1
SET 0 19 1
SET 1 4 1
SET 1 6 1
SET 1 8 1
SET 1 10 1
SET 1 12 1
SET 1 14 1
SET 1 15 1
SET 1 19 1
SET 2 0 1
SET 2 3 1
SET 2 4 1
SET 2 7 1
SET 2 8 1
SET 2 9 1
SET 2 10 1
SET 2 12 1
SET 2 15 1
SET 2 16 1
SET 2 17 1
SET 2 19 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 3 7 1
SET 3 13 1
SET 3 15 1
SET 3 16 1
SET 3 17 1
SET 3 18 1
SET 3 19 1
STORE Procaine
EMPTY 2 22
SET 0 0 1
SET 0 1 1
SET 0 3 1
SET 0 6 1
SET 0 8 1
SET 0 10 1
SET 0 16 1
SET 0 17 1
SET 0 19 1
SET 0 21 1
SET 1 2 1
SET 1 6 1
SET 1 7 1
SET 1 10 1
SET 1 11 1
SET 1 12 1
SET 1 16 1
SET 1 19 1
SET 1 21 1
STORE Kingsbury
EMPTY 3 21
SET 0 0 1
SET 0 3 1
SET 0 4 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 10 1
SET 0 12 1
SET 0 14 1
SET 0 16 1
SET 0 17 1
SET 0 20 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 4 1
SET 1 5 1
SET 1 8 1
SET 1 14 1
SET 1 15 1
SET 1 19 1
SET 2 1 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 9 1
SET 2 14 1
STORE Tropopause
EMPTY 16 22
SET 0 1 1
SET 0 2 1
SET 0 4 1
SET 0 6 1
SET 0 7 1
SET 0 11 1
SET 0 12 1
SET 0 16 1
SET 0 17 1
SET 0 20 1
SET 1 0 1
SET 1 1 1
SET 1 4 1
SET 1 5 1
SET 1 10 1
SET 1 12 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 1 17 1
SET 2 1 1
SET 2 2 1
