READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-05-4-4.txt
STORE Eskimo
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-09-4-2.txt
STORE Thing
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-02-4-0.txt
STORE Seaport
EMPTY 13 15
SET 0 0 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 14 1
SET 1 0 1
SET 1 5 1
SET 1 6 1
SET 1 9 1
SET 1 12 1
SET 1 13 1
SET 1 14 1
SET 2 2 1
SET 2 3 1
SET 2 5 1
SET 2 8 1
SET 2 9 1
SET 2 12 1
SET 2 13 1
SET 2 14 1
SET 3 1 1
SET 3 2 1
SET 3 6 1
SET 3 7 1
SET 3 12 1
SET 4 0 1
SET 4 3 1
SET 4 4 1
SET 4 5 1
SET 4 6 1
SET 4 7 1
SET 4 9 1
SET 4 14 1
SET 5 0 1
SET 5 4 1
SET 5 8 1
SET 5 9 1
SET 5 10 1
SET 5 11 1
SET 5 12 1
SET 5 13 1
SET 5 14 1
SET 6 0 1
SET 6 1 1
SET 6 2 1
SET 6 6 1
SET 6 7 1
SET 6 9 1
SET 6 10 1
SET 6 11 1
SET 6 12 1
SET 6 14 1
SET 7 1 1
SET 7 3 1
SET 7 8 1
SET 7 9 1
SET 7 11 1
SET 7 14 1
SET 8 2 1
SET 8 5 1
SET 8 7 1
SET 8 11 1
SET 9 0 1
SET 9 1 1
SET 9 2 1
SET 9 4 1
SET 9 5 1
SET 9 7 1
SET 9 8 1
SET 9 12 1
SET 10 2 1
SET 10 3 1
SET 10 7 1
SET 10 8 1
SET 10 10 1
SET 10 12 1
SET 11 1 1
SET 11 4 1
SET 11 7 1
SET 11 10 1
SET 11 13 1
SET 12 1 1
SET 12 2 1
SET 12 3 1
SET 12 11 1
SET 12 13 1
SET 12 14 1
STORE Porosity
SET 0 0 0
SET 0 2 1
SET 0 4 1
SET 0 5 0
SET 0 7 0
SET 0 10 0
SET 0 11 0
SET 0 12 0
SET 0 13 1
SET 0 14 0
SET 1 1 1
SET 1 2 1
SET 1 4 1
SET 1 5 0
SET 1 9 0
SET 1 10 1
SET 1 11 1
SET 1 14 0
SET 2 0 1
SET 2 2 0
SET 2 4 1
SET 2 7 1
SET 2 8 0
SET 2 11 1
SET 3 0 1
SET 3 5 1
SET 3 9 1
SET 3 10 1
SET 3 11 1
SET 3 12 0
SET 4 2 1
SET 4 3 0
SET 4 5 0
SET 4 6 0
SET 4 7 0
SET 4 9 0
SET 4 11 1
SET 5 1 1
SET 5 2 1
SET 5 5 1
SET 5 6 1
SET 5 7 1
SET 5 11 0
SET 5 12 0
SET 5 13 0
SET 6 2 0
SET 6 5 1
SET 6 6 0
SET 6 7 0
SET 6 8 1
SET 6 11 0
SET 6 12 0
SET 6 13 1
SET 7 0 1
SET 7 1 0
SET 7 2 1
SET 7 3 0
SET 7 4 1
SET 7 5 1
SET 7 8 0
SET 7 10 1
SET 7 11 0
SET 8 0 1
SET 8 2 0
SET 8 3 1
SET 8 7 0
SET 8 8 1
SET 8 12 1
SET 8 13 1
SET 8 14 1
SET 9 0 0
SET 9 1 0
SET 9 5 0
SET 9 8 0
SET 9 9 1
SET 9 11 1
SET 9 14 1
SET 10 0 1
SET 10 3 0
SET 10 4 1
SET 10 5 1
SET 10 6 1
SET 10 9 1
SET 10 13 1
SET 11 1 0
SET 11 3 1
SET 11 4 0
SET 11 5 1
SET 11 9 1
SET 11 10 0
SET 11 11 1
SET 11 14 1
SET 12 1 0
SET 12 2 0
SET 12 4 1
SET 12 7 1
SET 12 8 1
SET 12 12 1
STORE Tacoma
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-08-4-2.txt
STORE Spat
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-05-4-4.txt
STORE Fed
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-03-4-3.txt
STORE Unipolar
EMPTY 15 17
SET 0 0 1
SET 0 1 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 11 1
SET 1 0 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 7 1
SET 1 8 1
SET 1 9 1
SET 1 10 1
SET 1 12 1
SET 1 15 1
SET 2 0 1
SET 2 2 1
SET 2 8 1
SET 2 9 1
SET 2 11 1
SET 2 13 1
SET 2 16 1
SET 3 3 1
SET 3 4 1
SET 3 7 1
SET 3 8 1
SET 3 9 1
SET 3 13 1
SET 3 16 1
SET 4 1 1
SET 4 4 1
SET 4 7 1
SET 4 8 1
SET 4 10 1
SET 4 11 1
SET 4 12 1
SET 4 13 1
SET 4 14 1
SET 4 16 1
SET 5 1 1
SET 5 3 1
SET 5 4 1
SET 5 7 1
SET 5 8 1
SET 5 9 1
SET 5 10 1
SET 5 12 1
SET 5 13 1
SET 5 16 1
SET 6 5 1
SET 6 6 1
SET 6 10 1
SET 6 13 1
SET 6 15 1
SET 6 16 1
SET 7 0 1
SET 7 1 1
SET 7 4 1
SET 7 9 1
SET 7 16 1
SET 8 0 1
SET 8 2 1
SET 8 3 1
SET 8 5 1
SET 8 7 1
SET 8 8 1
SET 8 12 1
SET 8 13 1
SET 9 0 1
SET 9 1 1
SET 9 4 1
SET 9 6 1
SET 9 7 1
SET 9 10 1
SET 9 11 1
SET 9 16 1
SET 10 1 1
SET 10 3 1
SET 10 4 1
SET 10 5 1
SET 10 6 1
SET 10 12 1
SET 10 13 1
SET 10 15 1
SET 11 0 1
SET 11 2 1
SET 11 7 1
SET 11 8 1
SET 11 10 1
SET 11 11 1
SET 11 12 1
SET 11 14 1
SET 11 15 1
SET 12 4 1
SET 12 5 1
SET 12 7 1
SET 12 8 1
