READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-08-4-0.txt
STORE Sportswear
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-02-4-3.txt
STORE Paperweight
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-03-4-4.txt
STORE Nauseum
EMPTY 13 10
SET 0 1 1
SET 0 3 1
SET 1 5 1
SET 1 6 1
SET 1 9 1
SET 2 0 1
SET 2 2 1
SET 2 4 1
SET 2 6 1
SET 2 7 1
SET 2 8 1
SET 2 9 1
SET 3 0 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 4 1 1
SET 4 2 1
SET 4 4 1
SET 4 6 1
SET 5 3 1
SET 5 4 1
SET 5 7 1
SET 6 0 1
SET 6 1 1
SET 6 2 1
SET 6 3 1
SET 6 6 1
SET 7 1 1
SET 7 2 1
SET 7 3 1
SET 7 5 1
SET 7 6 1
SET 7 7 1
SET 7 8 1
SET 8 0 1
SET 8 1 1
SET 8 2 1
SET 8 5 1
SET 8 6 1
SET 8 7 1
SET 8 8 1
SET 8 9 1
SET 9 0 1
SET 9 1 1
SET 9 4 1
SET 9 6 1
SET 9 7 1
SET 9 8 1
SET 10 0 1
SET 10 3 1
SET 10 4 1
SET 10 6 1
SET 10 7 1
SET 10 8 1
SET 10 9 1
SET 11 6 1
SET 11 8 1
SET 11 9 1
SET 12 1 1
SET 12 2 1
SET 12 4 1
SET 12 7 1
SET 12 9 1
STORE Epic
SET 0 1 0
SET 0 7 1
SET 0 8 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 7 1
SET 1 9 0
SET 2 1 1
SET 2 4 0
SET 2 5 1
SET 2 6 0
SET 2 8 0
SET 2 9 0
SET 3 0 0
SET 3 1 1
SET 3 2 0
SET 3 4 0
SET 3 6 1
SET 3 9 1
SET 4 0 1
SET 4 4 0
SET 4 7 1
SET 4 9 1
SET 5 0 1
SET 5 1 1
SET 5 4 0
SET 5 6 1
SET 6 1 0
SET 6 2 0
SET 6 6 0
SET 6 8 1
SET 7 0 1
SET 7 4 1
SET 7 5 0
SET 7 9 1
SET 8 0 0
SET 8 3 1
SET 8 4 1
SET 8 7 0
SET 8 9 0
SET 9 1 0
SET 9 3 1
SET 9 4 0
SET 9 6 0
SET 9 7 0
SET 9 8 0
SET 9 9 1
SET 10 2 1
SET 10 3 0
SET 10 4 0
SET 10 5 1
SET 10 7 0
SET 10 9 0
SET 11 0 1
SET 11 1 1
SET 11 4 1
SET 11 6 0
SET 11 7 1
SET 11 8 0
SET 12 1 0
SET 12 2 0
SET 12 3 1
SET 12 5 1
SET 12 6 1
SET 12 8 1
STORE Oregano
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-04-4-3.txt
STORE Tribulate
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-08-4-2.txt
STORE Bluegrass
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-05-4-1.txt
STORE Setscrew
EMPTY 5 22
SET 0 0 1
SET 0 2 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 12 1
SET 0 13 1
SET 0 14 1
SET 0 15 1
SET 0 21 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 7 1
SET 1 8 1
SET 1 9 1
SET 1 11 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 2 1 1
SET 2 2 1
SET 2 3 1
SET 2 6 1
SET 2 8 1
SET 2 10 1
SET 2 11 1
SET 2 12 1
SET 2 13 1
SET 2 14 1
SET 2 15 1
SET 2 18 1
SET 2 19 1
SET 3 0 1
SET 3 3 1
SET 3 6 1
SET 3 7 1
SET 3 8 1
SET 3 9 1
SET 3 10 1
SET 3 12 1
SET 3 15 1
SET 3 16 1
SET 3 17 1
SET 3 18 1
SET 3 20 1
SET 3 21 1
SET 4 0 1
SET 4 6 1
SET 4 10 1
SET 4 12 1
SET 4 13 1
SET 4 16 1
SET 4 18 1
STORE Bookstore
EMPTY 11 25
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 6 1
SET 0 10 1
SET 0 11 1
SET 0 14 1
SET 0 15 1
SET 0 16 1
SET 0 19 1
SET 0 23 1
SET 1 0 1
SET 1 1 1
SET 1 3 1
SET 1 5 1
SET 1 7 1
SET 1 8 1
SET 1 9 1
SET 1 11 1
SET 1 12 1
SET 1 15 1
SET 1 17 1
SET 1 19 1
SET 1 20 1
SET 1 21 1
SET 2 1 1
SET 2 3 1
SET 2 5 1
SET 2 6 1
SET 2 7 1
SET 2 9 1
SET 2 10 1
SET 2 11 1
SET 2 14 1
SET 2 15 1
SET 2 18 1
SET 2 19 1
SET 2 21 1
SET 2 22 1
SET 3 1 1
SET 3 2 1
SET 3 5 1
SET 3 7 1
SET 3 8 1
SET 3 9 1
SET 3 14 1
SET 3 16 1
SET 3 18 1
SET 3 19 1
SET 3 20 1
SET 3 22 1
SET 3 23 1
SET 3 24 1
SET 4 2 1
SET 4 3 1
SET 4 4 1
SET 4 11 1
SET 4 12 1
SET 4 15 1
SET 4 16 1
SET 4 17 1
SET 4 21 1
SET 4 23 1
SET 5 1 1
SET 5 4 1
SET 5 8 1
SET 5 12 1
SET 5 14 1
SET 5 17 1
SET 5 19 1
SET 5 21 1
SET 5 22 1
SET 5 24 1
SET 6 0 1
SET 6 1 1
SET 6 3 1
SET 6 4 1
SET 6 6 1
SET 6 7 1
SET 6 11 1
SET 6 16 1
SET 6 18 1
SET 6 20 1
SET 6 21 1
SET 6 22 1
SET 6 24 1
SET 7 0 1
SET 7 5 1
SET 7 6 1
SET 7 8 1
SET 7 9 1
SET 7 11 1
SET 7 12 1
SET 7 13 1
SET 7 15 1
SET 7 16 1
SET 7 17 1
SET 7 18 1
SET 7 20 1
SET 7 22 1
SET 7 24 1
SET 8 4 1
SET 8 8 1
SET 8 9 1
SET 8 13 1
SET 8 17 1
SET 8 18 1
SET 8 21 1
SET 9 0 1
SET 9 1 1
SET 9 3 1
SET 9 4 1
SET 9 6 1
SET 9 8 1
SET 9 10 1
SET 9 12 1
SET 9 13 1
SET 9 14 1
SET 9 15 1
SET 9 16 1
SET 9 18 1
SET 9 20 1
SET 9 21 1
SET 9 23 1
SET 10 2 1
SET 10 3 1
SET 10 4 1
SET 10 7 1
SET 10 8 1
SET 10 9 1
SET 10 10 1
SET 10 11 1
SET 10 12 1
SET 10 15 1
SET 10 16 1
SET 10 17 1
SET 10 18 1
SET 10 20 1
SET 10 23 1
STORE Elbow
EMPTY 13 12
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 5 1
SET 0 6 1
SET 0 8 1
SET 0 9 1
SET 0 10 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 4 1
SET 1 5 1
SET 1 8 1
SET 1 10 1
SET 2 2 1
SET 2 3 1
SET 2 5 1
SET 2 7 1
SET 2 10 1
SET 2 11 1
SET 3 3 1
SET 3 4 1
SET 3 6 1
SET 3 7 1
SET 4 0 1
SET 4 1 1
SET 4 2 1
SET 4 3 1
SET 4 7 1
SET 4 11 1
SET 5 2 1
SET 5 3 1
SET 5 4 1
SET 5 5 1
SET 5 6 1
SET 5 9 1
SET 5 10 1
SET 6 0 1
SET 6 2 1
SET 6 3 1
SET 6 6 1
SET 6 9 1
SET 7 0 1
SET 7 1 1
SET 7 3 1
SET 7 4 1
SET 7 5 1
SET 7 6 1
SET 7 8 1
SET 7 10 1
SET 7 11 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 8 6 1
SET 8 7 1
SET 8 9 1
SET 8 11 1
SET 9 2 1
SET 9 3 1
SET 9 5 1
SET 9 6 1
SET 9 10 1
SET 10 0 1
SET 10 1 1
SET 10 3 1
SET 10 6 1
SET 10 7 1
SET 10 8 1
SET 10 9 1
SET 11 0 1
SET 11 2 1
SET 11 3 1
SET 11 8 1
SET 11 9 1
SET 11 10 1
SET 11 11 1
SET 12 0 1
SET 12 2 1
SET 12 4 1
SET 12 7 1
SET 12 9 1
SET 12 10 1
STORE Cider
EMPTY 5 25
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 7 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 0 14 1
SET 0 15 1
SET 0 16 1
SET 0 21 1
SET 0 22 1
SET 0 23 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 7 1
SET 1 8 1
SET 1 9 1
SET 1 10 1
SET 1 12 1
SET 1 13 1
SET 1 14 1
SET 1 15 1
SET 1 17 1
SET 1 19 1
SET 1 20 1
SET 1 22 1
SET 1 23 1
SET 2 1 1
SET 2 2 1
SET 2 4 1
SET 2 7 1
SET 2 8 1
SET 2 9 1
SET 2 11 1
SET 2 13 1
SET 2 15 1
SET 2 16 1
SET 2 17 1
SET 2 19 1
SET 2 20 1
SET 2 21 1
SET 2 22 1
SET 2 23 1
SET 2 24 1
SET 3 1 1
SET 3 3 1
SET 3 6 1
SET 3 7 1
SET 3 10 1
SET 3 11 1
SET 3 17 1
SET 3 18 1
SET 3 20 1
SET 3 23 1
SET 3 24 1
SET 4 0 1
SET 4 2 1
SET 4 4 1
SET 4 5 1
SET 4 7 1
SET 4 8 1
SET 4 9 1
SET 4 10 1
SET 4 12 1
SET 4 14 1
SET 4 15 1
SET 4 17 1
SET 4 18 1
SET 4 19 1
SET 4 20 1
STORE Institute
EMPTY 2 19
SET 0 3 1
SET 0 7 1
SET 0 8 1
