READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-05-4-3.txt
STORE Already
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-09-4-1.txt
STORE Nouveau
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-09-4-3.txt
STORE Dart
EMPTY 14 24
SET 0 0 1
SET 0 2 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 0 14 1
SET 0 17 1
SET 0 18 1
SET 0 21 1
SET 0 23 1
SET 1 1 1
SET 1 7 1
SET 1 12 1
SET 1 13 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 1 19 1
SET 1 21 1
SET 1 23 1
SET 2 0 1
SET 2 1 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 7 1
SET 2 8 1
SET 2 10 1
SET 2 11 1
SET 2 16 1
SET 2 17 1
SET 2 19 1
SET 2 20 1
SET 2 21 1
SET 2 22 1
SET 3 2 1
SET 3 7 1
SET 3 11 1
SET 3 12 1
SET 3 20 1
SET 3 21 1
SET 3 23 1
SET 4 3 1
SET 4 5 1
SET 4 6 1
SET 4 9 1
SET 4 14 1
SET 4 15 1
SET 4 16 1
SET 4 17 1
SET 4 18 1
SET 4 19 1
SET 4 21 1
SET 5 0 1
SET 5 3 1
SET 5 5 1
SET 5 6 1
SET 5 8 1
SET 5 10 1
SET 5 11 1
SET 5 12 1
SET 5 14 1
SET 5 15 1
SET 5 16 1
SET 5 19 1
SET 5 20 1
SET 5 21 1
SET 6 4 1
SET 6 5 1
SET 6 9 1
SET 6 10 1
SET 6 12 1
SET 6 14 1
SET 6 15 1
SET 6 16 1
SET 6 18 1
SET 6 20 1
SET 6 23 1
SET 7 0 1
SET 7 5 1
SET 7 6 1
SET 7 7 1
SET 7 10 1
SET 7 14 1
SET 7 16 1
SET 7 17 1
SET 7 20 1
SET 7 21 1
SET 7 23 1
SET 8 0 1
SET 8 2 1
SET 8 3 1
SET 8 4 1
SET 8 5 1
SET 8 7 1
SET 8 13 1
SET 8 18 1
SET 9 1 1
SET 9 3 1
SET 9 5 1
SET 9 6 1
SET 9 8 1
SET 9 9 1
SET 9 10 1
SET 9 11 1
SET 9 12 1
SET 9 15 1
SET 9 17 1
SET 9 18 1
SET 9 21 1
SET 9 23 1
SET 10 2 1
SET 10 3 1
SET 10 5 1
SET 10 6 1
SET 10 8 1
SET 10 10 1
SET 10 11 1
SET 10 12 1
SET 10 21 1
SET 10 23 1
SET 11 0 1
SET 11 2 1
SET 11 4 1
SET 11 8 1
SET 11 9 1
SET 11 10 1
SET 11 11 1
SET 11 12 1
SET 11 17 1
SET 11 18 1
SET 11 19 1
SET 11 20 1
SET 11 21 1
SET 12 5 1
SET 12 9 1
SET 12 11 1
SET 12 12 1
SET 12 16 1
SET 12 17 1
SET 12 18 1
SET 12 19 1
SET 12 20 1
SET 12 21 1
SET 13 1 1
SET 13 2 1
SET 13 4 1
SET 13 6 1
SET 13 13 1
SET 13 14 1
SET 13 17 1
SET 13 18 1
SET 13 20 1
SET 13 21 1
SET 13 23 1
STORE Soldiery
SET 0 2 0
SET 0 4 0
SET 0 5 0
SET 0 7 0
SET 0 10 0
SET 0 11 0
SET 0 12 0
SET 0 13 0
SET 0 17 0
SET 0 19 1
SET 0 20 1
SET 0 22 1
SET 0 23 0
SET 1 0 1
SET 1 2 1
SET 1 4 1
SET 1 8 1
SET 1 10 1
SET 1 16 0
SET 1 19 0
SET 1 20 1
SET 1 22 1
SET 1 23 0
SET 2 3 0
SET 2 4 0
SET 2 5 1
SET 2 6 1
SET 2 7 0
SET 2 8 0
SET 2 13 1
SET 2 14 1
SET 2 15 1
SET 2 16 0
SET 2 19 0
SET 2 21 0
SET 3 0 1
SET 3 2 0
SET 3 4 1
SET 3 8 1
SET 3 10 1
SET 3 11 0
SET 3 16 1
SET 3 17 1
SET 3 18 1
SET 3 19 1
SET 3 20 0
SET 4 5 0
SET 4 6 0
SET 4 7 1
SET 4 8 1
SET 4 9 0
SET 4 11 1
SET 4 12 1
SET 4 14 0
SET 4 16 0
SET 4 17 0
SET 4 20 1
SET 4 21 0
SET 4 23 1
SET 5 2 1
