READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-13-4-3.txt
STORE Shipmate
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-10-4-4.txt
STORE Thickish
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-07-4-2.txt
STORE Allspice
EMPTY 16 7
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 1 1 1
SET 1 2 1
SET 1 6 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 3 1 1
SET 3 2 1
SET 3 4 1
SET 3 5 1
SET 4 2 1
SET 4 3 1
SET 4 6 1
SET 5 1 1
SET 5 2 1
SET 5 5 1
SET 5 6 1
SET 6 3 1
SET 6 6 1
SET 7 0 1
SET 7 1 1
SET 7 4 1
SET 7 5 1
SET 7 6 1
SET 8 0 1
SET 8 2 1
SET 8 3 1
SET 8 5 1
SET 8 6 1
SET 9 5 1
SET 10 0 1
SET 10 1 1
SET 10 2 1
SET 10 3 1
SET 10 6 1
SET 11 0 1
SET 11 1 1
SET 11 3 1
SET 11 4 1
SET 11 5 1
SET 13 2 1
SET 13 3 1
SET 13 4 1
SET 14 0 1
SET 14 5 1
SET 15 0 1
SET 15 2 1
SET 15 4 1
SET 15 5 1
SET 15 6 1
STORE Verna
SET 0 0 1
SET 0 1 0
SET 0 2 0
SET 0 4 0
SET 0 5 1
SET 0 6 1
SET 1 4 1
SET 1 5 1
SET 1 6 0
SET 2 0 1
SET 2 5 0
SET 2 6 1
SET 3 0 1
SET 3 2 0
SET 3 4 0
SET 4 1 1
SET 4 2 0
SET 4 3 0
SET 4 4 1
SET 4 5 1
SET 5 3 1
SET 5 4 1
SET 5 5 0
SET 5 6 0
SET 6 0 1
SET 6 1 1
SET 6 2 1
SET 6 3 0
SET 6 5 1
SET 6 6 0
SET 7 1 0
SET 7 2 1
SET 7 3 1
SET 7 5 0
SET 9 1 1
SET 9 2 1
SET 9 4 1
SET 10 0 0
SET 10 1 0
SET 10 4 1
SET 10 5 1
SET 11 4 0
SET 11 5 0
SET 11 6 1
SET 12 0 1
SET 12 2 1
SET 12 4 1
SET 12 6 1
SET 13 0 1
SET 13 1 1
SET 13 6 1
SET 14 0 0
SET 14 3 1
SET 15 1 1
SET 15 4 0
SET 15 5 0
SET 15 6 0
STORE Champaign
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-05-4-0.txt
STORE Handyman
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-09-4-1.txt
STORE Hubbub
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-04-4-1.txt
STORE Beep
EMPTY 2 14
SET 0 2 1
SET 0 4 1
SET 0 6 1
SET 1 0 1
SET 1 1 1
SET 1 5 1
SET 1 9 1
SET 1 10 1
SET 1 11 1
SET 1 13 1
STORE Styrene
EMPTY 9 8
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 1 0 1
SET 1 1 1
SET 1 6 1
SET 2 6 1
SET 2 7 1
SET 3 0 1
SET 3 4 1
SET 3 5 1
SET 3 6 1
SET 4 0 1
SET 4 1 1
SET 4 5 1
SET 4 6 1
SET 5 2 1
SET 5 4 1
SET 5 7 1
SET 6 0 1
SET 6 1 1
SET 6 4 1
SET 6 5 1
SET 6 6 1
SET 7 1 1
SET 7 2 1
SET 7 4 1
SET 7 6 1
SET 7 7 1
SET 8 1 1
SET 8 2 1
SET 8 7 1
STORE Corpulent
EMPTY 12 20
SET 0 0 1
SET 0 2 1
SET 0 3 1
SET 0 5 1
SET 0 7 1
SET 0 10 1
SET 0 13 1
SET 0 15 1
SET 1 3 1
SET 1 6 1
SET 1 7 1
SET 1 8 1
SET 1 9 1
SET 1 11 1
SET 1 13 1
SET 1 15 1
SET 1 17 1
SET 1 19 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 7 1
SET 2 8 1
SET 2 11 1
SET 2 12 1
SET 2 17 1
SET 2 19 1
SET 3 0 1
SET 3 4 1
SET 3 12 1
SET 3 14 1
SET 3 15 1
SET 3 16 1
SET 3 17 1
SET 3 18 1
SET 4 0 1
SET 4 10 1
SET 4 12 1
SET 4 13 1
SET 4 15 1
SET 4 17 1
SET 4 19 1
SET 5 0 1
SET 5 1 1
SET 5 2 1
SET 5 3 1
SET 5 6 1
SET 5 8 1
SET 5 10 1
SET 5 11 1
SET 5 13 1
SET 5 14 1
SET 5 15 1
SET 5 18 1
SET 5 19 1
SET 6 3 1
SET 6 4 1
