READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-06-4-4.txt
STORE Holly
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-10-02-4-2.txt
STORE Pronounceable
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-10-4-1.txt
STORE Degrade
EMPTY 16 2
SET 0 0 1
SET 1 0 1
SET 2 0 1
SET 2 1 1
SET 3 0 1
SET 3 1 1
SET 4 0 1
SET 4 1 1
SET 5 0 1
SET 5 1 1
SET 6 0 1
SET 6 1 1
SET 7 0 1
SET 8 1 1
SET 9 0 1
SET 10 1 1
SET 11 1 1
SET 12 1 1
SET 15 1 1
STORE Watchful
SET 0 0 0
SET 1 0 0
SET 4 1 0
SET 5 0 0
SET 6 0 0
SET 7 0 0
SET 7 1 1
SET 8 0 1
SET 9 1 1
SET 10 0 1
SET 10 1 0
SET 12 0 1
SET 12 1 0
SET 13 0 1
SET 13 1 1
SET 15 1 0
STORE Wildfire
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-02-4-3.txt
STORE Refection
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-02-4-3.txt
STORE Atlas
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-03-3-2.txt
STORE Edt
EMPTY 4 19
SET 0 0 1
SET 0 1 1
SET 0 5 1
SET 0 10 1
SET 0 14 1
SET 0 15 1
SET 1 4 1
SET 1 5 1
SET 1 7 1
SET 1 11 1
SET 1 13 1
SET 1 14 1
SET 1 17 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 7 1
SET 2 8 1
SET 2 10 1
SET 2 13 1
SET 2 16 1
SET 2 18 1
SET 3 0 1
SET 3 2 1
SET 3 4 1
SET 3 5 1
SET 3 6 1
SET 3 8 1
SET 3 9 1
SET 3 10 1
SET 3 13 1
SET 3 14 1
SET 3 15 1
STORE Erupt
EMPTY 9 15
SET 0 1 1
SET 0 2 1
SET 0 6 1
SET 0 7 1
SET 0 9 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 1 0 1
SET 1 2 1
SET 1 5 1
SET 1 6 1
SET 1 11 1
SET 1 12 1
SET 1 13 1
SET 2 1 1
SET 2 5 1
SET 2 7 1
SET 2 8 1
SET 2 11 1
SET 2 12 1
SET 2 14 1
SET 3 0 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 3 7 1
SET 3 13 1
SET 4 3 1
SET 4 10 1
SET 4 12 1
SET 4 14 1
SET 5 0 1
SET 5 2 1
SET 5 3 1
SET 5 4 1
SET 5 5 1
SET 5 6 1
SET 5 9 1
SET 5 11 1
SET 5 12 1
SET 6 0 1
SET 6 2 1
SET 6 5 1
SET 6 6 1
SET 6 8 1
SET 6 9 1
SET 6 11 1
SET 6 13 1
SET 6 14 1
SET 7 0 1
SET 7 9 1
SET 7 11 1
SET 7 12 1
SET 7 14 1
SET 8 1 1
SET 8 5 1
SET 8 6 1
SET 8 7 1
SET 8 8 1
SET 8 9 1
SET 8 14 1
STORE Metamorphose
EMPTY 2 8
SET 0 0 1
SET 0 1 1
SET 1 1 1
SET 1 5 1
SET 1 7 1
STORE Hobble
EMPTY 2 23
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 11 1
SET 0 12 1
SET 0 14 1
SET 0 16 1
SET 1 0 1
SET 1 1 1
SET 1 4 1
SET 1 5 1
SET 1 7 1
SET 1 8 1
SET 1 10 1
SET 1 11 1
SET 1 17 1
SET 1 19 1
SET 1 20 1
STORE Churchgoing
EMPTY 7 11
SET 0 0 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 10 1
SET 1 0 1
SET 1 1 1
SET 1 3 1
SET 1 6 1
SET 1 7 1
SET 1 9 1
SET 2 0 1
SET 2 1 1
SET 2 2 1
SET 2 3 1
SET 2 8 1
SET 2 9 1
SET 2 10 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 6 1
SET 3 7 1
SET 4 0 1
SET 4 1 1
SET 4 3 1
SET 4 4 1
SET 4 5 1
SET 4 7 1
SET 4 10 1
SET 5 1 1
SET 5 3 1
SET 5 7 1
SET 5 10 1
SET 6 0 1
SET 6 2 1
SET 6 4 1
SET 6 8 1
SET 6 9 1
SET 6 10 1
STORE Lineup
EMPTY 16 20
SET 0 0 1
SET 0 2 1
SET 0 6 1
SET 0 10 1
SET 0 11 1
SET 0 14 1
SET 0 15 1
SET 0 18 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 6 1
SET 1 7 1
SET 1 9 1
SET 1 13 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 1 18 1
SET 2 0 1
SET 2 4 1
SET 2 8 1
SET 2 9 1
SET 2 13 1
SET 2 14 1
SET 2 15 1
SET 2 16 1
SET 2 17 1
SET 2 18 1
SET 3 1 1
SET 3 2 1
SET 3 6 1
SET 3 7 1
SET 3 8 1
SET 3 10 1
SET 3 12 1
SET 3 13 1
SET 3 15 1
SET 3 16 1
SET 3 18 1
SET 3 19 1
SET 4 0 1
SET 4 2 1
SET 4 3 1
SET 4 4 1
SET 4 6 1
SET 4 8 1
SET 4 9 1
SET 4 11 1
SET 4 13 1
SET 4 16 1
SET 5 0 1
SET 5 3 1
SET 5 6 1
SET 5 7 1
SET 5 8 1
SET 5 10 1
SET 5 11 1
SET 5 12 1
SET 5 13 1
SET 5 15 1
SET 5 17 1
SET 6 1 1
SET 6 4 1
SET 6 5 1
SET 6 6 1
SET 6 7 1
SET 6 10 1
SET 6 13 1
SET 6 17 1
SET 7 2 1
SET 7 4 1
SET 7 6 1
SET 7 8 1
SET 7 9 1
SET 7 10 1
SET 7 11 1
SET 7 13 1
SET 7 14 1
SET 7 15 1
SET 7 18 1
SET 7 19 1
SET 8 0 1
SET 8 2 1
SET 8 3 1
SET 8 4 1
SET 8 7 1
SET 8 8 1
SET 8 10 1
SET 8 11 1
SET 8 12 1
SET 8 15 1
SET 8 18 1
SET 9 0 1
SET 9 2 1
SET 9 4 1
SET 9 10 1
SET 9 12 1
SET 9 15 1
SET 9 17 1
SET 9 18 1
SET 9 19 1
SET 10 3 1
