READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-06-4-1.txt
STORE Deformation
VAL 8 26
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-06-4-0.txt
STORE Gibbons
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-03-3-4.txt
STORE Isomorph
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-04-3-4.txt
STORE Miasma
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-09-4-2.txt
STORE Corrector
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-06-4-2.txt
STORE Gesture
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-02-4-4.txt
STORE Kittle
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-08-4-3.txt
STORE Paper
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-09-4-4.txt
STORE Herein
EMPTY 1 15
SET 0 0 1
SET 0 1 1
SET 0 5 1
SET 0 8 1
SET 0 9 1
SET 0 10 1
SET 0 11 1
SET 0 14 1
STORE Scarecrow
SET 0 1 0
SET 0 2 1
SET 0 3 1
SET 0 5 0
SET 0 7 1
SET 0 9 0
SET 0 10 0
SET 0 13 1
STORE Calisthenic
EMPTY 11 4
SET 0 0 1
SET 0 1 1
SET 1 1 1
SET 2 0 1
SET 2 1 1
SET 2 2 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 4 0 1
SET 4 2 1
SET 4 3 1
SET 5 1 1
SET 5 2 1
SET 7 0 1
SET 7 2 1
SET 7 3 1
SET 8 0 1
SET 8 1 1
SET 9 0 1
SET 9 1 1
SET 9 2 1
SET 10 0 1
SET 10 1 1
SET 10 2 1
STORE Carpentry
SET 0 0 0
SET 0 1 0
SET 1 1 0
SET 2 0 0
SET 2 3 1
SET 3 1 0
SET 3 3 0
SET 4 0 0
SET 4 2 0
SET 5 2 0
SET 5 3 1
SET 6 1 1
SET 6 2 1
SET 6 3 1
SET 7 2 0
SET 8 0 0
SET 8 2 1
SET 9 2 0
SET 9 3 1
SET 10 1 0
STORE Magna
EMPTY 10 15
SET 0 0 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 8 1
SET 0 11 1
SET 0 14 1
SET 1 0 1
SET 1 1 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 9 1
SET 1 10 1
SET 1 11 1
SET 1 14 1
SET 2 1 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 7 1
SET 2 8 1
SET 2 10 1
SET 2 11 1
SET 2 13 1
SET 2 14 1
SET 3 1 1
SET 3 2 1
SET 3 4 1
SET 3 5 1
SET 3 9 1
SET 3 10 1
SET 3 11 1
SET 3 12 1
SET 3 13 1
SET 3 14 1
SET 4 0 1
SET 4 2 1
SET 4 5 1
SET 4 6 1
SET 4 8 1
SET 4 10 1
SET 4 12 1
SET 4 13 1
SET 4 14 1
SET 5 0 1
SET 5 1 1
SET 5 2 1
SET 5 4 1
SET 5 8 1
SET 5 10 1
SET 5 12 1
SET 5 13 1
SET 5 14 1
SET 6 4 1
SET 6 6 1
SET 6 7 1
SET 6 11 1
SET 6 13 1
SET 7 0 1
SET 7 8 1
SET 7 9 1
SET 7 13 1
SET 8 2 1
SET 8 3 1
SET 8 4 1
SET 8 6 1
SET 8 8 1
SET 8 10 1
SET 8 11 1
SET 8 12 1
SET 8 13 1
SET 8 14 1
SET 9 0 1
SET 9 2 1
SET 9 3 1
SET 9 8 1
STORE Logarithm
SET 0 0 0
SET 0 1 1
SET 0 4 0
SET 0 7 1
SET 0 9 1
SET 0 12 1
SET 0 14 0
SET 1 0 0
SET 1 2 1
SET 1 3 0
SET 1 4 0
SET 1 5 0
SET 1 8 1
SET 1 9 0
SET 1 10 0
SET 1 12 1
SET 1 13 1
SET 1 14 0
SET 2 2 1
SET 2 4 0
SET 2 5 0
SET 2 6 1
SET 2 8 0
SET 2 9 1
SET 2 10 0
SET 2 12 1
SET 2 13 0
SET 3 0 1
SET 3 1 0
SET 3 2 0
SET 3 4 0
SET 3 6 1
SET 3 8 1
SET 3 9 0
SET 3 12 0
SET 3 14 0
SET 4 2 0
SET 4 3 1
SET 4 5 0
SET 4 10 0
SET 4 12 0
SET 4 13 0
SET 4 14 0
SET 5 0 0
SET 5 2 0
SET 5 5 1
SET 5 6 1
SET 5 7 1
SET 5 8 0
SET 5 9 1
SET 5 10 0
SET 5 11 1
SET 5 12 0
SET 5 14 0
SET 6 0 1
SET 6 2 1
SET 6 4 0
SET 6 5 1
SET 6 10 1
SET 6 13 0
SET 6 14 1
SET 7 5 1
SET 7 7 1
SET 7 9 0
SET 7 12 1
SET 7 13 0
SET 8 2 0
SET 8 3 0
SET 8 4 0
SET 8 5 1
SET 8 6 0
SET 8 7 1
SET 8 9 1
SET 8 12 0
SET 8 14 0
SET 9 0 0
SET 9 2 0
SET 9 3 0
SET 9 10 1
SET 9 11 1
SET 9 13 1
STORE Shingle
EMPTY 8 25
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 7 1
SET 0 9 1
SET 0 11 1
SET 0 12 1
SET 0 14 1
SET 0 15 1
SET 0 16 1
SET 0 19 1
SET 0 20 1
SET 0 24 1
SET 1 0 1
SET 1 1 1
SET 1 3 1
SET 1 4 1
SET 1 6 1
SET 1 8 1
SET 1 9 1
SET 1 11 1
SET 1 12 1
SET 1 15 1
SET 1 21 1
SET 1 23 1
SET 2 0 1
SET 2 3 1
SET 2 4 1
SET 2 9 1
SET 2 12 1
SET 2 13 1
