READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-10-4-0.txt
STORE Jackass
RECALL Jackass
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-08-4-0.txt
SUBMATRIX 16 17 18 19 12 13 14 15 4 5 6 7 0 1 2 3
INVERT
PRINT 10
RECALL Jackass
SUBMATRIX 0 1 3 5 6 7 10 11 12 14 16 17 20 21 22 24 25 26 27 28 29 30 32 33 34 35 37 38 39
PRINT 8
RECALL Jackass
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-09-4-0.txt
SUBMATRIX 16 17 18 19 28 29 30 31 12 13 14 15 0 1 2 3
INVERT
WRITE Jericho.txt
RECALL Jackass
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-11-4-3.txt
SUBMATRIX 36 37 38 39 32 33 34 35 20 21 22 23 28 29 30 31
INVERT
PRINT 13
VAL 15 8
RECALL Jackass
+= 35 5
STORE Experience
PRINT 4
RECALL Experience
+= 27 13
STORE Shipmen
WRITE Perspire.txt
ALL
RECALL Experience
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-11-4-1.txt
SUBMATRIX 36 37 38 39 32 33 34 35 16 17 18 19
INVERT
WRITE Bedlam.txt
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-03-4-1.txt
STORE Wallop
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-08-4-0.txt
STORE Dome
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-10-04-4-4.txt
STORE Foursquare
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-06-4-3.txt
STORE Frankfurt
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-05-4-3.txt
STORE Cavendish
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-02-4-4.txt
STORE Repetitive
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-02-3-4.txt
STORE Farina
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-04-4-3.txt
STORE Cultivable
RECALL Cavendish
RECALL Frankfurt
INVERT
WRITE Simulcast.txt
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-03-3-1.txt
STORE Form
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-11-03-4-0.txt
STORE Rhinoceros
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-02-4-2.txt
STORE How
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-02-4-0.txt
STORE Hydrochemistry
EMPTY 15 22
SET 0 4 1
SET 0 6 1
SET 0 7 1
SET 0 9 1
SET 0 10 1
SET 0 12 1
SET 0 15 1
SET 0 17 1
SET 0 21 1
SET 1 3 1
SET 1 4 1
SET 1 8 1
SET 1 9 1
SET 1 10 1
SET 1 11 1
SET 1 12 1
SET 1 13 1
SET 1 16 1
SET 1 17 1
SET 1 18 1
SET 1 21 1
SET 2 1 1
SET 2 5 1
SET 2 7 1
SET 2 9 1
SET 2 10 1
SET 2 13 1
SET 2 14 1
SET 2 15 1
SET 2 16 1
SET 2 20 1
SET 2 21 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 5 1
SET 3 8 1
SET 3 9 1
SET 3 12 1
SET 3 15 1
SET 3 20 1
SET 4 0 1
SET 4 1 1
SET 4 2 1
SET 4 3 1
SET 4 4 1
SET 4 6 1
SET 4 7 1
SET 4 8 1
SET 4 9 1
SET 4 11 1
SET 4 12 1
SET 4 13 1
SET 4 14 1
SET 4 15 1
SET 4 16 1
SET 4 18 1
SET 4 20 1
SET 5 1 1
SET 5 7 1
SET 5 8 1
SET 5 10 1
SET 5 13 1
SET 5 14 1
SET 5 16 1
SET 5 18 1
SET 5 19 1
SET 6 0 1
SET 6 3 1
SET 6 5 1
SET 6 9 1
SET 6 10 1
SET 6 11 1
SET 6 12 1
SET 6 13 1
SET 6 14 1
SET 6 15 1
SET 6 16 1
SET 6 18 1
SET 6 21 1
SET 7 1 1
SET 7 3 1
SET 7 4 1
SET 7 5 1
SET 7 11 1
SET 7 12 1
SET 7 13 1
SET 7 14 1
SET 7 20 1
SET 7 21 1
SET 8 0 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 8 4 1
SET 8 6 1
SET 8 7 1
SET 8 8 1
SET 8 10 1
SET 8 13 1
SET 8 14 1
SET 8 15 1
SET 9 0 1
SET 9 1 1
SET 9 2 1
SET 9 5 1
SET 9 7 1
SET 9 9 1
SET 9 10 1
SET 9 11 1
SET 9 12 1
SET 9 13 1
SET 9 14 1
SET 9 17 1
SET 9 18 1
SET 9 21 1
SET 10 2 1
SET 10 5 1
SET 10 6 1
SET 10 7 1
SET 10 8 1
SET 10 9 1
SET 10 11 1
SET 10 14 1
SET 10 15 1
SET 10 16 1
SET 10 17 1
SET 10 19 1
SET 10 20 1
SET 10 21 1
SET 11 5 1
SET 11 9 1
SET 11 11 1
SET 11 12 1
SET 11 15 1
SET 11 17 1
SET 12 0 1
SET 12 1 1
SET 12 2 1
SET 12 3 1
SET 12 7 1
SET 12 11 1
SET 12 12 1
SET 12 15 1
