READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-03-4-2.txt
STORE Chamois
EMPTY 1 11
SET 0 0 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 10 1
STORE Inaugural
SET 0 3 0
SET 0 5 0
SET 0 6 0
SET 0 7 1
SET 0 8 1
SET 0 9 1
STORE Bookstore
EMPTY 13 18
SET 0 0 1
SET 0 1 1
SET 0 3 1
SET 0 4 1
SET 0 8 1
SET 0 9 1
SET 0 12 1
SET 0 14 1
SET 0 15 1
SET 1 0 1
SET 1 1 1
SET 1 5 1
SET 1 8 1
SET 1 9 1
SET 1 10 1
SET 1 13 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 2 0 1
SET 2 1 1
SET 2 3 1
SET 2 4 1
SET 2 10 1
SET 2 12 1
SET 2 13 1
SET 2 14 1
SET 2 15 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 4 1
SET 3 5 1
SET 3 6 1
SET 3 17 1
SET 4 0 1
SET 4 1 1
SET 4 4 1
SET 4 9 1
SET 4 11 1
SET 4 13 1
SET 4 15 1
SET 4 16 1
SET 4 17 1
SET 5 0 1
SET 5 3 1
SET 5 5 1
SET 5 6 1
SET 5 8 1
SET 5 9 1
SET 5 11 1
SET 5 12 1
SET 5 14 1
SET 5 16 1
SET 5 17 1
SET 6 0 1
SET 6 2 1
SET 6 3 1
SET 6 4 1
SET 6 8 1
SET 6 11 1
SET 6 14 1
SET 6 15 1
SET 6 16 1
SET 7 0 1
SET 7 1 1
SET 7 2 1
SET 7 3 1
SET 7 6 1
SET 7 7 1
SET 7 8 1
SET 7 11 1
SET 7 13 1
SET 7 15 1
SET 7 16 1
SET 7 17 1
SET 8 1 1
SET 8 2 1
SET 8 4 1
SET 8 5 1
SET 8 7 1
SET 8 8 1
SET 8 10 1
SET 8 11 1
SET 8 13 1
SET 8 14 1
SET 9 0 1
SET 9 1 1
SET 9 2 1
SET 9 3 1
SET 9 4 1
SET 9 5 1
SET 9 6 1
SET 9 8 1
SET 9 11 1
SET 9 12 1
SET 9 14 1
SET 9 16 1
SET 10 0 1
SET 10 1 1
SET 10 2 1
SET 10 3 1
SET 10 4 1
SET 10 5 1
SET 10 7 1
SET 10 11 1
SET 10 13 1
SET 10 15 1
SET 10 16 1
