READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-07-4-4.txt
STORE Bittersweet
RECALL Bittersweet
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-06-4-1.txt
SUBMATRIX 16 17 18 19 4 5 6 7 12 13 14 15 8 9 10 11 0 1 2 3
INVERT
PRINT 1
RECALL Bittersweet
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-07-4-4.txt
SUBMATRIX 4 5 6 7 12 13 14 15 16 17 18 19 0 1 2 3
INVERT
WRITE Gait.txt
EMPTY 13 3
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 1 0 1
SET 2 0 1
SET 2 1 1
SET 3 0 1
SET 3 1 1
SET 4 2 1
SET 5 0 1
SET 6 0 1
SET 6 2 1
SET 7 0 1
SET 8 0 1
SET 8 1 1
SET 9 2 1
SET 10 2 1
SET 11 0 1
SET 11 1 1
SET 12 1 1
SET 12 2 1
STORE Was
SET 0 2 0
SET 1 1 1
SET 3 0 0
SET 3 1 0
SET 4 1 1
SET 4 2 0
SET 5 1 1
SET 5 2 1
SET 6 2 0
SET 7 1 1
SET 7 2 1
SET 8 0 0
SET 8 2 1
SET 9 0 1
SET 9 2 0
SET 10 2 0
SET 11 0 0
SET 11 1 0
SET 12 1 0
STORE Spangle
EMPTY 10 22
SET 0 2 1
SET 0 7 1
SET 0 9 1
SET 0 11 1
SET 0 13 1
SET 0 14 1
SET 0 15 1
SET 0 16 1
SET 0 19 1
SET 0 21 1
SET 1 0 1
SET 1 2 1
SET 1 3 1
SET 1 5 1
SET 1 6 1
SET 1 8 1
SET 1 10 1
SET 1 11 1
SET 1 12 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 1 20 1
SET 2 1 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 8 1
SET 2 9 1
SET 2 10 1
SET 2 11 1
SET 2 14 1
SET 2 15 1
SET 2 16 1
SET 2 19 1
SET 2 21 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 5 1
SET 3 6 1
SET 3 8 1
SET 3 9 1
SET 3 11 1
SET 3 12 1
SET 3 14 1
SET 3 15 1
SET 3 17 1
SET 3 18 1
SET 4 0 1
SET 4 1 1
SET 4 2 1
SET 4 3 1
SET 4 4 1
SET 4 5 1
SET 4 6 1
SET 4 8 1
SET 4 11 1
SET 4 12 1
SET 4 14 1
SET 4 16 1
SET 4 18 1
SET 4 19 1
SET 4 20 1
SET 4 21 1
SET 5 0 1
SET 5 1 1
SET 5 3 1
SET 5 7 1
SET 5 9 1
SET 5 11 1
SET 5 12 1
SET 5 13 1
SET 5 18 1
SET 5 20 1
SET 5 21 1
SET 6 3 1
SET 6 5 1
SET 6 7 1
SET 6 15 1
SET 6 16 1
SET 6 20 1
SET 7 2 1
SET 7 3 1
SET 7 4 1
SET 7 6 1
SET 7 8 1
SET 7 10 1
SET 7 11 1
SET 7 12 1
SET 7 13 1
SET 7 14 1
SET 7 15 1
SET 7 17 1
SET 7 18 1
SET 8 1 1
SET 8 9 1
SET 8 10 1
SET 8 11 1
SET 8 15 1
SET 8 16 1
SET 8 17 1
SET 8 19 1
SET 8 20 1
SET 9 2 1
SET 9 3 1
SET 9 7 1
SET 9 9 1
SET 9 12 1
SET 9 13 1
SET 9 14 1
SET 9 17 1
SET 9 18 1
SET 9 19 1
STORE Levitate
SET 0 0 1
SET 0 1 1
SET 0 2 0
SET 0 3 1
SET 0 5 1
SET 0 6 1
SET 0 7 0
SET 0 8 1
SET 0 11 0
SET 0 13 0
SET 0 16 0
SET 0 17 1
SET 0 20 1
SET 0 21 0
SET 1 3 0
SET 1 6 0
SET 1 11 0
SET 1 12 0
SET 1 14 0
SET 1 15 0
SET 1 16 0
SET 1 18 1
SET 1 20 0
SET 1 21 1
SET 2 0 1
SET 2 2 1
SET 2 5 0
SET 2 9 0
SET 2 11 0
SET 2 12 1
SET 2 14 0
SET 2 17 1
SET 2 19 0
SET 2 20 1
SET 3 1 0
SET 3 5 0
SET 3 6 0
SET 3 9 0
SET 3 10 1
SET 3 12 0
SET 3 14 0
SET 3 17 0
SET 3 18 0
SET 4 0 0
SET 4 2 0
SET 4 7 1
SET 4 8 0
SET 4 9 1
SET 4 11 0
SET 4 12 0
SET 4 14 0
SET 4 16 0
SET 4 18 0
SET 4 20 0
SET 5 1 0
SET 5 2 1
SET 5 3 0
SET 5 4 1
SET 5 6 1
SET 5 8 1
SET 5 10 1
SET 5 11 0
SET 5 12 0
SET 5 15 1
SET 5 17 1
SET 6 0 1
SET 6 4 1
SET 6 5 0
SET 6 7 0
SET 6 8 1
SET 6 9 1
SET 6 10 1
SET 6 12 1
SET 6 13 1
SET 6 16 0
SET 6 17 1
SET 6 18 1
SET 6 21 1
SET 7 3 0
SET 7 4 0
SET 7 6 0
SET 7 11 0
SET 7 13 0
SET 7 14 0
SET 7 16 1
SET 7 17 0
SET 7 18 0
SET 7 21 1
SET 8 1 0
SET 8 2 1
SET 8 3 1
SET 8 5 1
SET 8 6 1
SET 8 7 1
SET 8 8 1
SET 8 10 0
SET 8 11 0
SET 8 12 1
SET 8 13 1
SET 8 14 1
SET 8 15 0
SET 8 20 0
SET 9 5 1
SET 9 6 1
SET 9 8 1
SET 9 9 0
SET 9 10 1
SET 9 11 1
SET 9 15 1
SET 9 17 0
SET 9 19 0
SET 9 21 1
STORE Tarpaper
VAL 7 8
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-09-4-4.txt
STORE Boatswain
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-08-4-1.txt
STORE Spontaneous
