READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-08-4-0.txt
STORE Alkaloid
RECALL Alkaloid
INVERT
WRITE Forrest.txt
RECALL Alkaloid
INVERT
PRINT 3
EMPTY 2 3
SET 0 1 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
STORE Explanation
SET 0 0 1
SET 0 2 1
STORE Antares
EMPTY 12 18
SET 0 2 1
SET 0 3 1
SET 0 6 1
SET 0 8 1
SET 0 10 1
SET 0 16 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 7 1
SET 1 10 1
SET 1 12 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 1 17 1
SET 2 0 1
SET 2 1 1
SET 2 4 1
SET 2 5 1
SET 2 7 1
SET 2 8 1
SET 2 13 1
SET 2 14 1
SET 2 16 1
SET 2 17 1
SET 3 0 1
SET 3 1 1
SET 3 5 1
SET 3 10 1
SET 3 14 1
SET 3 15 1
SET 4 5 1
SET 4 6 1
SET 4 8 1
SET 4 12 1
SET 4 14 1
SET 4 15 1
SET 5 0 1
SET 5 5 1
SET 5 6 1
SET 5 7 1
SET 5 8 1
SET 5 9 1
SET 5 10 1
SET 5 12 1
SET 5 15 1
SET 6 0 1
SET 6 2 1
SET 6 3 1
SET 6 5 1
SET 6 7 1
SET 6 8 1
SET 6 9 1
SET 6 11 1
SET 6 12 1
SET 6 13 1
SET 6 16 1
SET 6 17 1
SET 7 0 1
SET 7 7 1
SET 7 8 1
SET 7 12 1
SET 7 13 1
SET 7 15 1
SET 7 17 1
SET 8 0 1
SET 8 1 1
SET 8 3 1
SET 8 5 1
SET 8 8 1
SET 8 9 1
SET 8 14 1
SET 8 15 1
SET 8 16 1
SET 9 1 1
SET 9 5 1
SET 9 7 1
SET 9 8 1
SET 9 11 1
SET 9 12 1
SET 9 14 1
SET 9 15 1
SET 9 17 1
SET 10 0 1
SET 10 1 1
SET 10 2 1
SET 10 4 1
SET 10 10 1
SET 10 15 1
SET 11 4 1
SET 11 6 1
SET 11 8 1
SET 11 9 1
SET 11 11 1
SET 11 12 1
SET 11 13 1
SET 11 14 1
SET 11 15 1
STORE Clairvoyant
SET 0 0 1
SET 0 10 0
SET 0 11 1
SET 0 12 1
SET 0 14 1
SET 0 15 1
SET 0 16 0
SET 0 17 1
SET 1 1 1
SET 1 2 1
SET 1 4 0
SET 1 5 0
SET 1 6 0
SET 1 7 0
SET 1 10 0
SET 1 16 0
SET 2 0 0
SET 2 4 0
SET 2 6 1
SET 2 9 1
SET 2 13 0
SET 2 15 1
SET 3 1 0
SET 3 5 0
SET 3 8 1
