READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-03-3-3.txt
STORE Anthropology
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-11-4-0.txt
STORE Chandler
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-02-4-0.txt
STORE Straggle
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-03-4-4.txt
STORE Victor
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-06-4-2.txt
STORE Oslo
RECALL Straggle
+= 0 4
STORE Trailhead
WRITE Longue.txt
RECALL Straggle
WRITE Dead.txt
EMPTY 9 21
SET 0 0 1
SET 0 1 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 8 1
SET 0 9 1
SET 0 14 1
SET 0 15 1
SET 0 18 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 5 1
SET 1 6 1
SET 1 8 1
SET 1 11 1
SET 1 12 1
SET 1 15 1
SET 1 16 1
SET 1 17 1
SET 1 19 1
SET 1 20 1
SET 2 3 1
SET 2 4 1
SET 2 9 1
SET 2 12 1
SET 2 15 1
SET 2 16 1
SET 2 17 1
SET 2 18 1
SET 2 19 1
SET 3 0 1
SET 3 5 1
SET 3 6 1
SET 3 10 1
SET 3 14 1
SET 3 15 1
SET 3 16 1
SET 3 17 1
SET 3 18 1
SET 3 19 1
SET 3 20 1
SET 4 0 1
SET 4 1 1
SET 4 2 1
SET 4 6 1
SET 4 7 1
SET 4 9 1
SET 4 10 1
SET 4 11 1
SET 4 12 1
SET 4 14 1
SET 4 16 1
SET 4 18 1
SET 5 2 1
SET 5 3 1
SET 5 5 1
SET 5 8 1
SET 5 11 1
SET 5 14 1
SET 5 16 1
SET 5 20 1
SET 6 3 1
SET 6 4 1
SET 6 5 1
SET 6 7 1
SET 6 8 1
SET 6 10 1
SET 6 11 1
SET 6 15 1
SET 6 20 1
SET 7 0 1
SET 7 4 1
SET 7 5 1
SET 7 7 1
SET 7 9 1
SET 7 13 1
SET 7 16 1
SET 7 19 1
SET 8 1 1
SET 8 4 1
SET 8 7 1
SET 8 8 1
SET 8 9 1
SET 8 17 1
SET 8 19 1
SET 8 20 1
STORE Andrea
SET 0 0 0
SET 0 1 0
SET 0 2 1
SET 0 5 0
SET 0 8 0
SET 0 9 0
SET 0 13 1
SET 0 14 0
SET 0 16 1
SET 0 17 1
SET 0 18 0
SET 0 19 1
SET 1 1 0
SET 1 2 0
SET 1 4 1
SET 1 7 1
SET 1 8 0
SET 1 9 1
SET 1 11 0
SET 1 13 1
SET 1 14 1
SET 1 15 0
SET 1 17 0
SET 1 18 1
SET 1 19 0
SET 2 0 1
SET 2 1 1
SET 2 2 1
SET 2 5 1
SET 2 8 1
SET 2 10 1
SET 2 13 1
SET 2 14 1
SET 2 15 0
SET 2 16 0
SET 2 17 0
SET 2 19 0
SET 2 20 1
SET 3 0 0
SET 3 1 1
SET 3 5 0
SET 3 6 0
SET 3 8 1
SET 3 10 0
SET 3 11 1
SET 3 12 1
SET 3 13 1
SET 3 15 0
SET 4 2 0
SET 4 5 1
SET 4 9 0
SET 4 10 0
SET 4 12 0
SET 4 15 1
SET 4 18 0
SET 4 19 1
SET 4 20 1
SET 5 0 1
SET 5 3 0
SET 5 4 1
SET 5 8 0
SET 5 9 1
SET 5 10 1
SET 5 11 0
SET 5 15 1
SET 5 16 0
SET 5 18 1
SET 6 2 1
SET 6 3 0
SET 6 4 0
SET 6 6 1
SET 6 10 0
SET 6 13 1
SET 6 15 0
SET 6 16 1
SET 6 18 1
SET 7 2 1
SET 7 3 1
SET 7 4 0
SET 7 8 1
SET 7 10 1
SET 7 11 1
SET 7 12 1
SET 7 15 1
SET 7 19 0
SET 8 0 1
SET 8 1 0
SET 8 2 1
SET 8 6 1
SET 8 7 0
SET 8 9 0
SET 8 10 1
SET 8 11 1
SET 8 15 1
SET 8 16 1
SET 8 17 0
STORE Triode
EMPTY 5 20
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 5 1
SET 0 8 1
SET 0 9 1
SET 0 10 1
SET 0 12 1
SET 0 13 1
SET 0 14 1
SET 0 15 1
SET 0 16 1
SET 0 17 1
SET 0 18 1
SET 1 0 1
SET 1 6 1
SET 1 8 1
SET 1 9 1
SET 1 10 1
SET 1 11 1
SET 1 12 1
SET 1 13 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 1 18 1
SET 2 1 1
SET 2 3 1
SET 2 5 1
SET 2 11 1
SET 2 12 1
SET 2 14 1
SET 2 16 1
SET 2 19 1
SET 3 3 1
SET 3 4 1
SET 3 7 1
SET 3 8 1
SET 3 9 1
SET 3 13 1
SET 3 16 1
SET 3 18 1
SET 4 1 1
SET 4 4 1
SET 4 5 1
SET 4 7 1
SET 4 8 1
SET 4 9 1
SET 4 10 1
SET 4 11 1
SET 4 13 1
SET 4 15 1
SET 4 17 1
SET 4 18 1
STORE Tift
SET 0 0 0
SET 0 4 1
SET 0 5 0
SET 0 6 1
SET 0 7 1
SET 0 8 0
SET 0 9 0
SET 0 12 0
SET 0 13 0
SET 0 14 0
SET 0 15 0
SET 0 18 0
SET 1 0 0
SET 1 1 1
SET 1 4 1
SET 1 7 1
SET 1 10 0
SET 1 11 0
SET 1 13 0
SET 1 14 0
SET 1 15 0
SET 1 16 0
SET 1 17 1
SET 1 18 0
SET 2 1 0
SET 2 3 0
SET 2 4 1
SET 2 7 1
SET 2 8 1
SET 2 10 1
SET 2 11 0
SET 2 13 1
SET 2 14 0
SET 2 16 0
SET 2 17 1
SET 2 18 1
SET 2 19 0
