READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-08-4-4.txt
STORE Sappy
VAL 31 12
RECALL Sappy
PRINT 12
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-08-4-2.txt
STORE Tolerate
SUM Sappy Tolerate
STORE Feminine
WRITE Geoduck.txt
RECALL Perseverant
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-05-4-2.txt
STORE Uris
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-04-4-1.txt
STORE Startup
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-02-3-2.txt
STORE Angelina
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-08-4-0.txt
STORE Mermaid
RECALL Startup
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-09-4-0.txt
SUBMATRIX 20 21 22 23 32 33 34 35 24 25 26 27 28 29 30 31 12 13 14 15
INVERT
PRINT 12
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-04-4-4.txt
STORE Cyanide
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-02-4-4.txt
STORE Melinda
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-10-05-4-3.txt
STORE Paddy
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-03-4-1.txt
STORE Steelmake
ALL
VAL 8 1
RECALL Paddy
SWAP 4 1
STORE Imprecate
WRITE Tenderfoot.txt
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-05-4-0.txt
STORE Artemisia
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-12-4-0.txt
STORE Tot
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-07-4-2.txt
STORE Trash
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-02-4-2.txt
STORE Transpose
EMPTY 11 16
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 8 1
SET 0 9 1
SET 0 11 1
SET 0 13 1
SET 1 4 1
SET 1 5 1
SET 1 8 1
SET 1 11 1
SET 1 12 1
SET 1 13 1
SET 1 14 1
SET 2 1 1
SET 2 6 1
SET 2 7 1
SET 2 8 1
SET 2 10 1
SET 2 11 1
SET 2 12 1
SET 2 13 1
SET 2 15 1
SET 3 0 1
SET 3 1 1
SET 3 4 1
SET 3 5 1
SET 3 6 1
SET 3 7 1
SET 3 8 1
SET 3 9 1
SET 3 10 1
SET 3 13 1
SET 3 15 1
SET 4 0 1
SET 4 1 1
SET 4 3 1
SET 4 6 1
SET 4 7 1
SET 4 9 1
SET 4 10 1
SET 4 11 1
SET 4 12 1
SET 5 3 1
SET 5 5 1
SET 5 6 1
SET 5 8 1
SET 5 9 1
SET 5 11 1
SET 5 14 1
SET 6 0 1
SET 6 4 1
SET 6 8 1
SET 6 9 1
SET 6 13 1
SET 6 14 1
SET 6 15 1
SET 7 0 1
SET 7 1 1
SET 7 2 1
SET 7 5 1
SET 7 6 1
SET 7 7 1
SET 7 10 1
SET 7 12 1
SET 8 0 1
SET 8 2 1
SET 8 4 1
SET 8 5 1
SET 8 8 1
SET 8 9 1
SET 8 10 1
SET 8 11 1
SET 8 15 1
SET 9 0 1
SET 9 2 1
SET 9 3 1
SET 9 4 1
SET 9 6 1
SET 9 9 1
SET 9 10 1
SET 9 13 1
SET 10 0 1
SET 10 5 1
SET 10 7 1
SET 10 8 1
SET 10 9 1
SET 10 10 1
SET 10 11 1
SET 10 13 1
SET 10 14 1
SET 10 15 1
STORE Intimacy
SET 0 1 0
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 8 0
SET 0 13 0
SET 0 14 1
SET 1 7 1
SET 1 8 0
SET 1 10 1
SET 1 12 0
SET 1 14 0
SET 1 15 1
SET 2 0 1
SET 2 1 0
SET 2 3 1
SET 2 7 0
SET 2 10 0
SET 2 11 0
SET 2 14 1
SET 3 2 1
SET 3 3 1
SET 3 4 0
SET 3 6 0
SET 3 7 0
SET 3 9 0
SET 3 12 1
SET 3 14 1
SET 3 15 0
SET 4 0 0
SET 4 1 0
SET 4 3 0
SET 4 4 1
SET 4 5 1
SET 4 9 0
SET 4 10 0
SET 4 11 0
SET 4 12 0
SET 4 13 1
SET 4 14 1
SET 4 15 1
SET 5 0 1
SET 5 1 1
SET 5 2 1
SET 5 7 1
SET 5 8 0
SET 5 11 0
SET 5 12 1
SET 5 13 1
SET 6 0 0
SET 6 4 0
SET 6 5 1
SET 6 6 1
SET 6 7 1
SET 6 8 0
SET 6 9 0
SET 6 10 1
SET 6 12 1
SET 6 13 0
SET 7 3 1
SET 7 5 0
SET 7 12 0
SET 7 13 1
SET 8 1 1
SET 8 3 1
SET 8 5 0
SET 8 6 1
SET 8 8 0
SET 8 12 1
SET 8 14 1
SET 9 2 0
SET 9 3 0
SET 9 4 0
SET 9 9 0
SET 9 12 1
SET 10 2 1
SET 10 5 0
SET 10 11 0
SET 10 13 0
SET 10 15 0
STORE Frye
EMPTY 3 1
SET 0 0 1
SET 1 0 1
STORE Jacobus
SET 0 0 0
SET 2 0 1
STORE Wrought
RECALL Imprecate
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-06-4-2.txt
SUBMATRIX 4 5 6 7 16 17 18 19 0 1 2 3
INVERT
WRITE Amount.txt
EMPTY 1 18
SET 0 0 1
SET 0 2 1
SET 0 4 1
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 10 1
SET 0 11 1
SET 0 14 1
SET 0 16 1
STORE Mynah
SET 0 1 1
SET 0 4 0
SET 0 6 0
