READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-03-4-2.txt
STORE Invent
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-08-4-3.txt
STORE Imposture
PRODUCT Invent Imposture
STORE Went
PRINT 10
RECALL Went
WRITE Cognitive.txt
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-11-4-4.txt
STORE Resorcinol
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-06-4-4.txt
STORE Rape
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-07-4-1.txt
STORE Sporadic
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-10-4-4.txt
STORE Elite
ALL
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-11-02-4-4.txt
STORE Copywriter
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-03-4-4.txt
STORE Bred
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-02-3-3.txt
STORE Polyhedron
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-06-4-0.txt
STORE Assume
RECALL Copywriter
SWAP 4 7
STORE Monrovia
PRINT 17
VAL 4 25
EMPTY 4 7
SET 0 4 1
SET 0 5 1
SET 1 1 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 2 2 1
SET 2 3 1
SET 2 5 1
SET 3 1 1
SET 3 2 1
SET 3 5 1
SET 3 6 1
STORE Reuben
SET 0 0 1
SET 0 2 1
SET 0 3 1
SET 0 4 0
SET 0 5 0
SET 1 0 1
SET 1 4 0
SET 1 5 0
SET 2 3 0
SET 2 6 1
SET 3 0 1
SET 3 4 1
SET 3 5 0
SET 3 6 0
STORE Allude
EMPTY 5 11
SET 0 0 1
SET 0 1 1
SET 0 5 1
SET 0 9 1
SET 0 10 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 7 1
SET 2 0 1
SET 2 1 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 6 1
SET 2 8 1
SET 2 10 1
SET 3 1 1
SET 3 6 1
SET 3 7 1
SET 3 9 1
SET 4 1 1
SET 4 4 1
SET 4 7 1
SET 4 9 1
STORE Molasses
SET 0 0 0
SET 0 1 0
SET 0 2 1
SET 0 5 0
SET 0 6 1
SET 0 7 1
SET 0 8 1
SET 0 9 0
SET 1 1 0
SET 1 4 0
SET 1 5 0
SET 1 6 0
SET 2 0 0
SET 2 2 1
SET 2 3 0
SET 2 4 0
SET 2 5 0
SET 2 7 1
SET 2 8 0
SET 2 9 1
SET 2 10 0
SET 3 0 1
SET 3 1 0
SET 3 4 1
SET 3 6 0
SET 3 9 0
SET 3 10 1
SET 4 1 0
SET 4 2 1
SET 4 4 0
SET 4 5 1
SET 4 7 0
SET 4 8 1
SET 4 10 1
STORE Bask
VAL 0 4
EMPTY 1 10
SET 0 3 1
SET 0 5 1
SET 0 6 1
SET 0 9 1
STORE Cyanate
SET 0 1 1
SET 0 5 0
SET 0 6 0
SET 0 9 0
STORE Needy
EMPTY 8 2
SET 0 0 1
SET 0 1 1
SET 1 0 1
SET 2 0 1
SET 3 0 1
SET 5 0 1
SET 5 1 1
SET 6 0 1
SET 6 1 1
SET 7 1 1
STORE Ambrosial
SET 0 0 0
SET 0 1 0
SET 1 1 1
SET 4 0 1
SET 7 0 1
STORE Spurn
RECALL Polyhedron
WRITE Fritz.txt
EMPTY 13 16
STORE Hangar
RECALL Elite
WRITE Rope.txt
ALL
VAL 35 15
VAL 19 2
RECALL Elite
RECALL Bred
INVERT
PRINT 6
RECALL Rape
PRINT 10
RECALL Ambrosial
PRINT 2
EMPTY 4 16
SET 0 0 1
SET 0 7 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 0 15 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 9 1
SET 1 10 1
SET 1 11 1
SET 1 15 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 7 1
SET 2 8 1
SET 2 9 1
SET 2 11 1
SET 2 13 1
SET 2 14 1
SET 3 2 1
SET 3 3 1
SET 3 7 1
SET 3 8 1
SET 3 11 1
SET 3 13 1
STORE Perth
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 7 0
SET 0 9 1
SET 0 10 0
SET 0 12 0
SET 0 13 0
SET 0 14 1
SET 0 15 0
SET 1 1 0
SET 1 4 0
SET 1 6 1
SET 1 8 1
SET 1 9 0
SET 1 12 1
SET 1 13 1
SET 1 14 1
SET 2 0 1
SET 2 4 0
SET 2 7 0
SET 2 9 0
SET 2 10 1
SET 2 11 0
SET 2 12 1
SET 2 13 0
SET 3 0 1
SET 3 12 1
SET 3 13 0
SET 3 15 1
STORE Bartok
EMPTY 12 25
SET 0 0 1
SET 0 2 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 9 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 0 14 1
SET 0 15 1
SET 0 17 1
SET 0 23 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 7 1
SET 1 8 1
SET 1 10 1
SET 1 13 1
SET 1 15 1
SET 1 17 1
SET 1 23 1
SET 1 24 1
SET 2 1 1
SET 2 3 1
SET 2 6 1
SET 2 10 1
SET 2 11 1
SET 2 14 1
SET 2 15 1
SET 2 16 1
SET 2 20 1
SET 2 23 1
SET 3 0 1
SET 3 3 1
SET 3 6 1
SET 3 7 1
SET 3 9 1
SET 3 10 1
SET 3 11 1
SET 3 12 1
SET 3 13 1
SET 3 15 1
SET 3 17 1
SET 3 19 1
SET 3 20 1
SET 3 23 1
SET 3 24 1
SET 4 0 1
SET 4 1 1
SET 4 3 1
SET 4 4 1
SET 4 7 1
SET 4 13 1
SET 4 14 1
SET 4 18 1
SET 4 21 1
SET 4 23 1
SET 4 24 1
SET 5 0 1
SET 5 1 1
SET 5 4 1
SET 5 9 1
SET 5 16 1
SET 5 17 1
SET 5 19 1
SET 5 20 1
SET 5 22 1
SET 5 24 1
SET 6 0 1
SET 6 4 1
SET 6 5 1
SET 6 9 1
SET 6 10 1
SET 6 13 1
SET 6 15 1
SET 6 16 1
SET 6 19 1
SET 6 20 1
SET 7 0 1
SET 7 2 1
SET 7 4 1
SET 7 5 1
SET 7 6 1
SET 7 7 1
SET 7 13 1
SET 7 14 1
SET 7 16 1
SET 7 18 1
SET 7 20 1
SET 8 0 1
SET 8 1 1
SET 8 3 1
SET 8 4 1
SET 8 5 1
SET 8 7 1
SET 8 8 1
SET 8 14 1
SET 8 15 1
SET 8 17 1
SET 8 18 1
SET 8 20 1
SET 8 21 1
SET 8 23 1
SET 8 24 1
SET 9 0 1
SET 9 4 1
SET 9 6 1
SET 9 9 1
SET 9 11 1
SET 9 13 1
SET 9 14 1
SET 9 15 1
SET 9 18 1
SET 9 20 1
SET 9 22 1
SET 9 24 1
SET 10 0 1
SET 10 2 1
SET 10 3 1
SET 10 6 1
SET 10 9 1
SET 10 10 1
SET 10 12 1
SET 10 17 1
SET 10 18 1
SET 10 20 1
SET 10 21 1
SET 10 22 1
SET 10 23 1
SET 11 0 1
SET 11 1 1
SET 11 3 1
SET 11 4 1
SET 11 6 1
SET 11 7 1
SET 11 10 1
SET 11 12 1
SET 11 13 1
SET 11 14 1
SET 11 15 1
SET 11 18 1
SET 11 22 1
SET 11 23 1
SET 11 24 1
STORE Spencerian
SET 0 1 1
SET 0 4 1
SET 0 5 0
SET 0 7 0
SET 0 12 0
SET 0 13 0
SET 0 16 1
SET 0 19 1
SET 0 22 1
SET 1 2 0
SET 1 4 0
SET 1 6 0
SET 1 8 0
SET 1 10 0
SET 1 11 1
SET 1 17 0
SET 1 19 1
SET 1 21 1
SET 1 22 1
SET 1 23 0
SET 1 24 0
SET 2 0 1
SET 2 2 1
SET 2 5 1
SET 2 6 0
SET 2 7 1
SET 2 9 1
SET 2 15 0
SET 2 16 0
SET 2 19 1
SET 2 24 1
SET 3 0 0
SET 3 1 1
SET 3 2 1
SET 3 7 0
SET 3 8 1
SET 3 9 0
SET 3 12 0
SET 3 15 0
SET 3 19 0
SET 3 20 0
SET 3 22 1
SET 3 23 0
SET 3 24 0
SET 4 0 0
SET 4 2 1
SET 4 4 0
SET 4 6 1
