JMID FILE
Format: 1  ntracks: 10  Division: 240
TRACK 1
      0 META       FF 01 6 43 68 75 72 63 68
      0 PROGRM   C0  19
      0 CONTROL  B0   7 126
      0 NOTE-ON  90  69  89
      0 NOTE-ON  90  81  89
     24 CONTROL  B0  10   9
      6 NOTE-OFF 80  81  64
      0 NOTE-OFF 80  69  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  79  89
     30 NOTE-OFF 80  67  64
     10 NOTE-OFF 80  79  64
      5 NOTE-ON  90  69  89
      0 NOTE-ON  90  81  89
    855 NOTE-OFF 80  81  64
      0 NOTE-OFF 80  69  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  79  89
     30 NOTE-OFF 80  67  64
     10 NOTE-OFF 80  79  64
      5 NOTE-ON  90  65  89
      0 NOTE-ON  90  77  89
     30 NOTE-OFF 80  65  64
     10 NOTE-OFF 80  77  64
      5 NOTE-ON  90  64  89
      0 NOTE-ON  90  76  89
     30 NOTE-OFF 80  64  64
     10 NOTE-OFF 80  76  64
      5 NOTE-ON  90  62  89
      0 NOTE-ON  90  74  89
     30 NOTE-OFF 80  62  64
     10 NOTE-OFF 80  74  64
      5 NOTE-ON  90  61  89
      0 NOTE-ON  90  73  89
    525 NOTE-OFF 80  73  64
      0 NOTE-OFF 80  61  64
     30 NOTE-ON  90  74  89
      0 NOTE-ON  90  62  89
    300 NOTE-OFF 80  62  64
      0 NOTE-OFF 80  74  64
    885 NOTE-ON  90  57  89
      0 NOTE-ON  90  69  89
     30 NOTE-OFF 80  69  64
      0 NOTE-OFF 80  57  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  67  89
     30 NOTE-OFF 80  55  64
     10 NOTE-OFF 80  67  64
      5 NOTE-ON  90  57  89
      0 NOTE-ON  90  69  89
    795 NOTE-OFF 80  69  64
      0 NOTE-OFF 80  57  64
     75 NOTE-ON  90  52  89
      0 NOTE-ON  90  64  89
    165 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  53  89
      0 NOTE-ON  90  65  89
    165 NOTE-OFF 80  65  64
      0 NOTE-OFF 80  53  64
     15 NOTE-ON  90  49  89
      0 NOTE-ON  90  61  89
    165 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  49  64
     15 NOTE-ON  90  50  89
      0 NOTE-ON  90  62  89
    360 NOTE-OFF 80  62  64
      0 NOTE-OFF 80  50  64
   1020 NOTE-ON  90  45  89
      0 NOTE-ON  90  57  89
     30 NOTE-OFF 80  57  64
      0 NOTE-OFF 80  45  64
     15 NOTE-ON  90  43  89
      0 NOTE-ON  90  55  89
     30 NOTE-OFF 80  43  64
     10 NOTE-OFF 80  55  64
      5 NOTE-ON  90  45  89
      0 NOTE-ON  90  57  89
    855 NOTE-OFF 80  57  64
      0 NOTE-OFF 80  45  64
     15 NOTE-ON  90  43  89
      0 NOTE-ON  90  55  89
     30 NOTE-OFF 80  43  64
     10 NOTE-OFF 80  55  64
      5 NOTE-ON  90  41  89
      0 NOTE-ON  90  53  89
     30 NOTE-OFF 80  41  64
     10 NOTE-OFF 80  53  64
      5 NOTE-ON  90  40  89
      0 NOTE-ON  90  52  89
     30 NOTE-OFF 80  40  64
     10 NOTE-OFF 80  52  64
      5 NOTE-ON  90  38  89
      0 NOTE-ON  90  50  89
     30 NOTE-OFF 80  38  64
     10 NOTE-OFF 80  50  64
      5 NOTE-ON  90  37  89
      0 NOTE-ON  90  49  89
    525 NOTE-OFF 80  49  64
      0 NOTE-OFF 80  37  64
     30 NOTE-ON  90  50  89
      0 NOTE-ON  90  38  89
    300 NOTE-OFF 80  38  64
      0 NOTE-OFF 80  50  64
    885 NOTE-ON  90  38  89
    495 NOTE-ON  90  49  89
    465 NOTE-ON  90  52  89
    495 NOTE-ON  90  55  89
    465 NOTE-ON  90  58  89
    495 NOTE-ON  90  61  89
    465 NOTE-ON  90  64  89
    885 NOTE-OFF 80  55  64
     60 NOTE-OFF 80  49  64
      0 NOTE-OFF 80  52  64
      0 NOTE-OFF 80  58  64
      0 NOTE-OFF 80  61  64
     15 NOTE-OFF 80  64  64
      0 NOTE-ON  90  62  89
      0 NOTE-ON  90  57  89
      0 NOTE-ON  90  50  89
      0 NOTE-ON  90  55  89
    465 NOTE-OFF 80  55  64
     30 NOTE-ON  90  52  89
    465 NOTE-OFF 80  52  64
      0 NOTE-ON  90  54  89
    945 NOTE-OFF 80  54  64
      0 NOTE-OFF 80  38  64
      0 NOTE-OFF 80  50  64
      0 NOTE-OFF 80  57  64
      0 NOTE-OFF 80  62  64
    915 NOTE-ON  90  49  89
      0 NOTE-ON  90  61  89
     45 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  49  64
     15 NOTE-ON  90  50  89
      0 NOTE-ON  90  62  89
     45 NOTE-OFF 80  62  64
      0 NOTE-OFF 80  50  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  64  89
     45 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  49  89
      0 NOTE-ON  90  61  89
     45 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  49  64
     15 NOTE-ON  90  50  89
      0 NOTE-ON  90  62  89
     45 NOTE-OFF 80  62  64
      0 NOTE-OFF 80  50  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  64  89
     45 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  49  89
      0 NOTE-ON  90  61  89
     45 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  49  64
     15 NOTE-ON  90  50  89
      0 NOTE-ON  90  62  89
     45 NOTE-OFF 80  62  64
      0 NOTE-OFF 80  50  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  64  89
     45 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  49  89
      0 NOTE-ON  90  61  89
     45 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  49  64
     15 NOTE-ON  90  50  89
      0 NOTE-ON  90  62  89
     75 NOTE-OFF 80  62  64
      0 NOTE-OFF 80  50  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  64  89
     75 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  53  89
      0 NOTE-ON  90  65  89
     45 NOTE-OFF 80  65  64
      0 NOTE-OFF 80  53  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  67  89
     45 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  52  89
