Mitchell Wade

Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,6537889155151870262


Experiment #:,0
Rule:,0241133422133
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,2.022706239492045,2.1996877947313282,0.0,
1,2,,0.944,0.8461538461538461,2.1453379637875885,2.199687794731328,0.0,
2,8,,0.8240000000000001,0.7692307692307692,2.2096916463968794,2.199687794731328,0.0,
3,1,,0.8,0.6923076923076923,2.1848718564177836,2.103909910282364,0.0,
4,12,,0.792,0.6153846153846154,2.190211700150157,2.075869296697727,0.0,
5,6,,0.64,0.5384615384615384,2.1559437101819454,1.9877733714879842,0.0,
6,9,,0.56,0.46153846153846156,1.854966798500767,1.669180336866731,0.0,
7,10,,0.512,0.3846153846153846,1.8044346987419289,1.5465935642949384,0.0,
8,11,,0.488,0.3076923076923077,1.764074646291756,1.352030101757953,0.0,
9,7,,0.344,0.23076923076923073,1.2659897314699862,0.9912642605354289,0.0,
10,5,,0.19999999999999996,0.15384615384615385,0.7219280948873623,0.6193821946787638,0.0,
11,3,,0.12,0.07692307692307687,0.5293608652873644,0.39124356362925566,0.0,
12,4,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,1
Rule:,0443111232133
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8155474094085473,2.161978179679554,0.0,
1,10,,0.944,0.8461538461538461,2.0050557927658206,2.2577560641285177,0.0,
2,7,,0.8,0.7692307692307692,2.0445896853960157,2.1996877947313282,0.0,
3,8,,0.6799999999999999,0.6923076923076923,1.9709717725861498,2.199687794731328,0.0,
4,6,,0.528,0.6153846153846154,1.9370441188873793,2.133937566094917,0.0,
5,9,,0.44799999999999995,0.5384615384615384,1.6075003856356078,1.8339272176418302,0.0,
6,4,,0.32799999999999996,0.46153846153846156,1.415019424972769,1.669180336866731,0.0,
7,12,,0.31999999999999995,0.3846153846153846,1.3938489170902368,1.5465935642949382,0.0,
8,3,,0.24,0.3076923076923077,1.1059511220017195,1.352030101757953,0.0,
9,1,,0.21599999999999997,0.23076923076923073,1.0172652666161477,1.1451104143815827,0.0,
10,5,,0.07199999999999995,0.15384615384615385,0.43946062113177686,0.7732283485249176,0.0,
11,11,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,0.0,
12,2,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,2
Rule:,0113442142441
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.836333097201476,2.038159681645953,0.0,
1,7,,0.848,0.8461538461538461,2.001741370107965,2.1339375660949167,0.0,
2,4,,0.728,0.7692307692307692,2.1116156517367566,2.199687794731328,0.0,
3,8,,0.608,0.6923076923076923,2.0792022392500416,2.199687794731328,0.0,
4,10,,0.56,0.6153846153846154,2.025516597632831,2.1339375660949167,0.0,
5,11,,0.536,0.5384615384615384,1.988651816663626,1.9877733714879842,0.0,
6,6,,0.384,0.46153846153846156,1.7077118326133678,1.823026490712885,0.0,
7,1,,0.36,0.3846153846153846,1.6305607329092782,1.7004397181410922,0.0,
8,5,,0.21599999999999997,0.3076923076923077,1.09113139605856,1.352030101757953,0.0,
9,2,,0.16800000000000004,0.23076923076923073,0.8595099439867204,1.1451104143815827,0.0,
10,3,,0.08799999999999997,0.15384615384615385,0.4684343441528537,0.7732283485249176,0.0,
11,12,,0.07999999999999996,0.07692307692307687,0.4021791902022729,0.39124356362925566,0.0,
12,9,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,3
Rule:,0442312421224
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.914624135372462,2.038159681645953,0.0,
1,2,,0.944,0.8461538461538461,2.049399797397975,2.133937566094917,0.0,
2,1,,0.92,0.7692307692307692,2.080032408278951,2.133937566094917,0.0,
3,7,,0.776,0.6923076923076923,1.914624135372462,2.038159681645953,0.0,
4,8,,0.656,0.6153846153846154,1.95810487094379,2.038159681645953,0.0,
5,4,,0.536,0.5384615384615384,1.5754636362951406,1.7381493331928661,0.0,
